sea,country,province
Baltic Sea,LT,Lithuania
Baltic Sea,S,Vasterbotten
Pacific Ocean,AUS,Victoria
Skagerrak,N,Oslo
Skagerrak,S,Goteborg och Bohus
Atlantic Ocean,GB,Northern Ireland
North Sea,F,Nord Pas de Calais
Sea of Japan,J,Saga
Atlantic Ocean,TT,Trinidad and Tobago
Yellow Sea,ROK,South Korea
Indian Ocean,YE,Yemen
Pacific Ocean,J,Chiba
Norwegian Sea,IS,Iceland
Pacific Ocean,HCA,Choluteca
Atlantic Ocean,SMAR,Saint Martin
Atlantic Ocean,BR,Sao Paulo
Black Sea,TR,Sakarya
Sea of Japan,J,Tottori
Yellow Sea,TJ,Shandong
South China Sea,SGP,Singapore
