country,target
NCA,Christian
GUY,Christian
VIRG,Christian
J,non-Christian
AL,non-Christian
B,Christian
RIM,non-Christian
RG,non-Christian
RL,non-Christian
TT,Christian
DK,Christian
CR,Christian
MNE,Christian
EAK,Christian
BG,Christian
WAN,non-Christian
RCB,Christian
TJ,non-Christian
GE,Christian
JOR,non-Christian
LAO,non-Christian
SK,Christian
TN,non-Christian
TM,non-Christian
BRN,non-Christian
RN,non-Christian
CI,non-Christian
PE,Christian
LAR,non-Christian
GNB,non-Christian
PY,Christian
GUAD,Christian
RM,Christian
ARM,Christian
EC,Christian
CAM,Christian
D,Christian
MS,non-Christian
TO,Christian
KAZ,non-Christian
GBZ,Christian
VU,Christian
RH,Christian
SF,Christian
RC,non-Christian
WAL,non-Christian
AZ,non-Christian
M,Christian
IND,non-Christian
JA,Christian
LS,Christian
AND,Christian
G,Christian
BY,Christian
BOL,Christian
UAE,non-Christian
MK,Christian
RA,Christian
UZB,non-Christian
YV,Christian
BERM,Christian
TAD,non-Christian
CV,Christian
WAG,non-Christian
SYR,non-Christian
CY,Christian
BIH,non-Christian
WSA,non-Christian
AXA,Christian
FJI,Christian
LB,non-Christian
MA,non-Christian
ET,non-Christian
SLO,Christian
MOC,Christian
KWT,non-Christian
BRU,non-Christian
FPOL,Christian
BR,Christian
MW,Christian
E,Christian
NEP,non-Christian
