name,country,province,population,longitude,latitude
Castellon de la Plana,E,Valencia,139094.0,,
Maebashi,J,Gumma,,,
Resistencia,RA,Chaco,292350.0,-59.0,-27.3
Trowbridge,GB,Wiltshire,,,
Perth,AUS,Western Australia,1193000.0,115.85,-31.95
Bregenz,A,Vorarlberg,,9.45,47.3
Wokingham,GB,Berkshire,142900.0,,
Nyiregyhaza,H,Szabolcs Szatmar,115000.0,,
Saint Peter Port,GBG,Guernsey,,-2.6,49.6
El Mansura,ET,El Daqahliya,358000.0,,
Zlin,CZ,Jihomoravsky,198000.0,,
Juiz de Fora,BR,Minas Gerais,423913.0,,
Jhelum,PK,Pakistan,106462.0,,
Essen,D,Nordrhein Westfalen,617955.0,,
Yichun,TJ,Jiangxi,151585.0,,
Baiyin,TJ,Gansu,204970.0,,
Port Moresby,PNG,Papua New Guinea,141500.0,147.15,-9.48333
Brno,CZ,Jihomoravsky,393000.0,,
Moulmein,MYA,Mon,220000.0,,
Ciudad Madero,MEX,Tamaulipas,160331.0,,
Tampere,SF,Haeme,170097.0,23.5,61.3
Reutlingen,D,Baden Wurttemberg,107782.0,,
Arlon,B,Luxembourg,23150.0,5.8,49.7
Diyarbakir,TR,Diyarbakir,448300.0,,
Worcester,USA,Massachusetts,169759.0,-71.8667,42.2667
Braga,P,Braga,63033.0,,
Guacara,YV,Carabobo,100766.0,,
Epping Forest,GB,Essex,118200.0,,
Jiaozuo,TJ,Henan,409100.0,,
Gracias,HCA,Lempira,,,
Hospitalet de Llobregat,E,Catalonia,266242.0,,
Keflavik,IS,Iceland,6600.0,-22.5,64.0
Arkhangelsk,R,Arkhangelskaya oblast,374000.0,40.5333,64.55
Odintsovo,R,Moskovskaya oblast,129000.0,,
Libreville,G,Gabon,,9.3,0.3
Adiyaman,TR,Adiyaman,128000.0,,
Arzamas,R,Nizhegorodskaya oblast,112000.0,,
Zagorsk,R,Moskovskaya oblast,114000.0,,
Zaanstreek,NL,Noord Holland,147917.0,,
Maraba,BR,Para,147030.0,,
Manzanillo,C,Granma,107650.0,,
Darmstadt,D,Hessen,139063.0,,
Naperville,USA,Illinois,85806.0,,
Ekibastuz,KAZ,Pavlodar,141100.0,,
Barry,GB,Vale of Glamorgan,,,
Beihai,TJ,Guangxi Zhuangzu,112673.0,,
Yazd,IR,Yazd,306268.0,,
Erlangen,D,Bayern,101450.0,,
Mons,B,Hainaut,90720.0,4.5,50.4
Urawa,J,Saitama,,,
Tongi,BD,Bangladesh,181000.0,,
Castelo Branco,P,Castelo Branco,,,
Tapachula,MEX,Chiapas,138858.0,,
