name,country,population,area,capital,capprov
Zeeland,NL,365846,1791.0,Middelburg,Zeeland
Liege,B,1006081,3862.0,Liege,Liege
Kerman,IR,1862542,179916.0,Kerman,Kerman
Putumayo,CO,174219,24885.0,Mocoa,Putumayo
Darfur,SUD,3093699,508684.0,al Fasher,Darfur
Pest,H,957900,6394.0,Budapest,Budapest (munic.)
Pernambuco,BR,7404559,98937.0,Recife,Pernambuco
Nei Monggol,TJ,22600000,1183000.0,Hohhot,Nei Monggol
Philippines,RP,74480848,,Manila,Philippines
Permskaya oblast,R,3009400,160600.0,Perm,Permskaya oblast
El Minufiya,ET,2449000,1532.0,Shibin el Kom,El Minufiya
Latvia,LV,2468982,,Riga,Latvia
Soer Trondelag,N,246824,,Trondheim,Soer Trondelag
Hamadan,IR,1651320,19784.0,Hamadan,Hamadan
Kasai Occidental,ZRE,3465756,156967.0,Kananga,Kasai Occidental
Virginia,USA,6733996,105586.0,Richmond,Virginia
Huanuco,PE,722669,36938.0,Huanuco,Huanuco
Akershus,N,393217,,Oslo,Oslo
BL,CH,252331,517.0,Liestal,BL
Siirt,TR,243435,5406.0,Siirt,Siirt
Piaui,BR,2676098,252378.0,Teresina,Piaui
Vaupes,CO,26178,65268.0,Mitu,Vaupes
Kurskaya oblast,R,1346900,29800.0,Kursk,Kurskaya oblast
Nara,J,1430862,3692.0,Nara,Nara
Basque Country,E,2075561,7235.0,Vitoria Gasteiz,Basque Country
Zhambyl,KAZ,1039600,144300.0,Zhambyl,Zhambyl
Hedmark,N,186355,,Hamar,Hedmark
Maryland,USA,5094289,27091.0,Annapolis,Maryland
Bermuda,BERM,67837,,Hamilton,Bermuda
Sogn og Fjordane,N,106116,,Hermannsverk,Sogn og Fjordane
Braganca,P,158300,6608.0,Braganca,Braganca
Saga,J,884316,2433.0,Saga,Saga
Aqmola,KAZ,845700,92000.0,Aqmola,Aqmola
Prahova,RO,877000,4694.0,Ploiesti,Prahova
Mayotte,MAYO,223765,,Mamoutzou,Mayotte
Dolj,RO,772000,7413.0,Craiova,Dolj
Comoros,COM,569237,,Moroni,Comoros
Calarasi,RO,351000,5075.0,Calarasi,Calarasi
Rep. of Altay,R,201600,92600.0,Gorno Altaysk,Rep. of Altay
Novgorodskaya oblast,R,742600,55300.0,Novgorod,Novgorodskaya oblast
Diyala,IRQ,955112,19076.0,Baqubah,Diyala
Zamojskie,PL,490800,6980.0,Zamosc,Zamojskie
Lunda Sul,ANG,155000,56985.0,Saurimo,Lunda Sul
Diourbel,SN,619700,4359.0,Diourbel,Diourbel
Plockie,PL,518600,5117.0,Plock,Plockie
French Guiana,FGU,151187,,Cayenne,French Guiana
Kuwait,KWT,1950047,,Kuwait,Kuwait
Blekinge,S,151168,2941.0,Karlskrona,Blekinge
Aomori,J,1481663,9619.0,Aomori,Aomori
Oslo,N,449337,,Oslo,Oslo
Qena,ET,2493000,1851.0,Qena,Qena
New Mexico,USA,1729751,314925.0,Santa Fe,New Mexico
Brabant,B,2253794,3358.0,Brussels,Brabant
Cuanza Norte,ANG,378000,24110.0,Ndalatando,Cuanza Norte
