island,country,province
Panarea,I,Calabria
Pitcairn,PITC,Pitcairn Islands
Uvea,WAFU,Wallis and Futuna
Olkhon,R,Rep. of Buryatiya
Lundy,GB,Devon
Tutuila,AMSA,American Samoa
Leyte,RP,Philippines
Hispaniola,RH,Haiti
Efate,VU,Vanuatu
Krakatau,RI,Indonesia
Pulau Panjang,COCO,Cocos Islands
Prince of Wales Island,CDN,Northwest Territories
Tobago,TT,Trinidad and Tobago
Great Britain,GB,Shropshire
Sokotra,YE,Yemen
Santiago,CV,Cape Verde
Lefkas,GR,Ionioi Nisoi
Vulcano,I,Calabria
Bioko,GQ,Equatorial Guinea
Orkney Mainland,GB,Orkneys
Cuba,C,Holguin
Jamaica,JA,Jamaica
Lampedusa,I,Sicilia
Cayman Brac,CAYM,Cayman Islands
Honshu,J,Fukushima
Prince Edward Island,CDN,Prince Edward Island
Gotland,S,Gotland
Taiwan,RC,Taiwan
Long Island,USA,New York
Great Britain,GB,North Yorkshire
Mayotte,MAYO,Mayotte
Baffin Island,CDN,Northwest Territories
Batam,RI,Indonesia
Grenada,WG,Grenada
Vancouver Island,CDN,British Columbia
Great Britain,GB,Cumbria
Tahiti,FPOL,French Polynesia
Timor,RI,Indonesia
Great Britain,GB,Bridgend
Great Britain,GB,Cheshire
Guam,GUAM,Guam
South Andaman Island,IND,Andaman and Nicobar Is.
Norfolk Island,NORF,Norfolk Island
Honshu,J,Nara
Teneriffa,E,Canary Islands
Cangaroo Island,AUS,South Australia
Hokkaido,J,Hokkaido
Formentera,E,Balearic Islands
Honshu,J,Yamanashi
Bohol,RP,Philippines
Shikoku,J,Kagawa
Grand Comoro,COM,Comoros
Honshu,J,Ibaraki
Honshu,J,Tochigi
Timor,TL,Timor-Leste
Great Britain,GB,Caerphilly
Isle of Wight,GB,Isle of Wight
Rhum,GB,Highland
Great Britain,GB,Central
Borkum,D,Niedersachsen
Great Britain,GB,Northamptonshire
South Ronaldsay,GB,Orkneys
Great Britain,GB,Norfolk
San Clemente Island,USA,California
Madagaskar,RM,Toliara
Great Britain,GB,Highland
Tortola,BVIR,British Virgin Islands
Ellesmere Island,CDN,Northwest Territories
Korfu,GR,Ionioi Nisoi
Honshu,J,Yamaguchi
Guadalcanal,SLB,Solomon Islands
Santa Maria,P,Azores
Shikoku,J,Ehime
