schoolid,schoolname,schoolcity,schoolstate,schoolnick
masslowell,University of Massachusetts Lowell,Lowell,MA,River Hawks
colbyme,Colby College,Waterville,ME,Mules
olddom,Old Dominion University,Norfolk,VA,Monarchs
montreatnc,Montreat College,Montreat,NC,Cavaliers
glenvilst,Glenville State College,Glenville,WV,Pioneers
charlsouth,Charleston Southern University,Charleston,SC,Buccaneers
philly,Philadelphia University,Philadelphia,PA,Rams
monroecc,Monroe Community College,Brighton,NY,Tribunes
stanselm,Saint Anselm College,Manchester,NH,Hawks
lincolnmo,Lincoln University of Missouri,Jefferson City,MO,Blue Tigers
norleans,University of New Orleans,New Orleans,LA,Privateers
calpolypom,California State Polytechnic University-Pomona,Pomona,CA,Broncos
miamifl,University of Miami,Coral Gables,FL,Hurricanes
flbarry,Barry University,Miami Shores,FL,Buccaneers
bluefield,Bluefield College,Bluefield,VA,Rams
tusculum,Tusculum College,Greeneville,TN,Pioneers
middlbryvt,Middlebury College,Middlebury,VT,Panthers
cornell,Cornell University,Ithaca,NY,Big Red
johnshpkns,Johns Hopkins University,Baltimore,MD,Blue Jays
sindiana,University of Southern Indiana,Evansville,IN,Screaming Eagles
niagara,Niagara University,Lewiston,NY,Purple Eagles
wiscmilw,University of Wisconsin-Milwaukee,Milwaukee,WI,Panthers
lanecol,Lane College,Jackson,TN,Dragons
riponwi,Ripon College,Ripon,WI,Red Hawks
ekentucky,Eastern Kentucky University,Richmond,KY,Colonels
olivetmi,Olivet College,Olivet,MI,Comets
wake,Wake Forest University,Winston-Salem,NC,Demon Deacons
umbc,"University of Maryland, Baltimore County",Catonsville,MD,Retrievers
stjohns,St. John's University,Jamaica,NY,Red Storm
sandiego,University of San Diego,San Diego,CA,Toreros
lutheria,Luther College,Decorah,IA,Norse
nmhighland,New Mexico Highlands University,Las Vegas,NM,Cowboys
rosehulman,Rose-Hulman Institute of Technology,Terre Haute,IN,Engineers
dickinson,Dickinson College,Carlisle,PA,Red Devils
providence,Providence College,Providence,RI,Friars
wabashin,Wabash College,Crawfordsville,IN,Little Giants
wilbrforce,Wilberforce University,Wilberforce,OH,Bulldogs
wmichigan,Western Michigan University,Kalamazoo,MI,Broncos
otterbein,Otterbein College,Westerville,OH,Cardinals
millersvil,Millersville University of Pennsylvania,Millersville,PA,Marauders
nicholls,Nicholls State University,Thibodeaux,LA,Colonels
stcloudst,St. Cloud State University,Saint Cloud,MN,Huskies
ncstate,North Carolina State University,Raleigh,NC,Wolfpack
lemoynowen,LeMoyne-Owen College,Memphis,TN,Magicians
txtech,Texas Tech University,Lubbock,TX,Red Raiders
nkentucky,Northern Kentucky University,Highland Heights,KY,Norse
brandeisma,Brandeis University,Waltham,MA,Judges
nebraska,University of Nebraska,Lincoln,NE,Huskers
cumbrlndtn,Cumberland University,Lebanon,TN,Bulldogs
setonhall,Seton Hall University,South Orange,NJ,Pirates
utahvalley,Utah Valley University,Orem,UT,Wolverines
florida,University of Florida,Gainesville,FL,Gators
rockhurst,Rockhurst University,Kansas City,MO,Hawks
staugustne,Saint Augustine's College,Raleigh,NC,Falcons
duquesne,Duquesne University,Pittsburgh,PA,Dukes
stlouis,Saint Louis University,Saint Louis,MO,Billikens
detroit,University of Detroit Mercy,Detroit,MI,Titans
cameronok,Cameron University,Lawton,OK,Aggies
buenavista,Buena Vista University,Storm Lake,IA,Beavers
dominican,Dominican College,Orangeburg,NY,Chargers
fordham,Fordham University,Bronx,NY,Rams
illinoisst,Illinois State University,Normal,IL,Redbirds
allegheny,Allegheny College,Meadville,PA,Gators
wminsterpa,Westminster College,New Wilmington,PA,Titans
carthagewi,Carthage College,Kenosha,WI,Redmen
wioshkosh,University of Wisconsin-Oshkosh,Oshkosh,WI,Titans
creighton,Creighton University,Omaha,NE,Bluejays
albany,"University at Albany, State University of New York",Albany,NY,Great Danes
midlndluth,Midland Lutheran College,Fremont,NE,Warriors
oakland,Oakland University,Rochester,MI,Grizzlies
csstanisl,"California State University, Stanislaus",Turlock,CA,Warriors
nwokstate,Northwestern Oklahoma State University,Alva,OK,Rangers
loyolano,Loyola University New Orleans,New Orleans,LA,Wolfpack
shorterga,Shorter College,Rome,GA,Hawks
almami,Alma College,Alma,MI,Scots
swesternks,Southwestern College,Winfield,KS,Moundbuilders
wlmcarey,William Carey College,Hattiesburg,MS,Crusaders
vatech,Virginia Polytechnic Institute & State University,Blacksburg,VA,Hokies
georgiast,Georgia State University,Atlanta,GA,Panthers
grvalleyst,Grand Valley State University,Allendale,MI,Lakers
mercyhurst,Mercyhurst College,Erie,PA,Lakers
ucla,"University of California, Los Angeles",Los Angeles,CA,Bruins
maryhrdbay,University of Mary Hardin-Baylor,Belton,TX,Crusaders
minnesota,University of Minnesota,Minneapolis,MN,Golden Gophers
wisuperior,University of Wisconsin-Superior,Superior,WI,Yellowjackets
coppinst,Coppin State College,Baltimore,MD,Eagles
ucirvine,"University of California, Irvine",Irvine,CA,Anteaters
ferrisst,Ferris State University,Big Rapids,MI,Bulldogs
lsu,Louisiana State University,Baton Rouge,LA,Tigers
missouri,University of Missouri,Columbia,MO,Tigers
duke,Duke University,Durham,NC,Blue Devils
gatech,Georgia Institute of Technology,Atlanta,GA,Yellow Jackets
ecentralok,East Central University,Ada,OK,Tigers
clevst,Cleveland State University,Cleveland,OH,Vikings
lorasia,Loras College,Dubuque,IA,Duhawks
mowestern,Missouri Western State College,Saint Joseph,MO,Griffons
uconn,University of Connecticut,Storrs,CT,Huskies
montana,University of Montana-Missoula,Missoula,MT,Grizzlies
olivetnaz,Olivet Nazarene University,Bourbonnais,IL,Tigers
emichigan,Eastern Michigan University,Ypsilanti,MI,Eagles
njcity,New Jersey City University,Jersey City,NJ,Gothic Knights
smethodist,Southern Methodist University,Dallas,TX,Mustangs
savstate,Savannah State University,Savannah,GA,Tigers
navy,United States Naval Academy,Annapolis,MD,Midshipmen
marquette,Marquette University,Milwaukee,WI,Golden Eagles
uncwilm,University of North Carolina at Wilmington,Wilmington,NC,Seahawks
pbsc,Palm Beach State College,Lake Worth,FL,Panthers
wofford,Wofford College,Spartanburg,SC,Terriers
columbia,Columbia University,New York,NY,Lions
stmichaels,Saint Michael's College,Colchester,VT,Purple Knights
yale,Yale University,New Haven,CT,Bulldogs
manhattan,Manhattan College,Riverdale,NY,Jaspers
iupui,Indiana University-Purdue University Indianapolis,Indianapolis,IN,Jaguars
weberst,Weber State University,Ogden,UT,Wildcats
indianast,Indiana State University,Terre Haute,IN,Sycamores
riogrande,University of Rio Grande,Rio Grande,OH,Redmen
ursinus,Ursinus College,Collegeville,PA,Bears
wvstate,West Virginia State College,Institute,WV,Yellow Jackets
newhaven,University of New Haven,New Haven,CT,Chargers
washcollmd,Washington College,Chestertown,MD,Shoremen
clemson,Clemson University,Clemson,SC,Tigers
silledward,Southern Illinois University Edwardsville,Edwardsville,IL,Cougars
ohvalley,Ohio Valley University,Vienna,WV,Fighting Scots
williamsma,Williams College,Williamston,MA,Ephs
mesast,Mesa State College,Grand Junction,CO,Mavericks
georgia,University of Georgia,Athens,GA,Bulldogs
georgemas,George Mason University,Fairfax,VA,Patriots
csdomhills,"California State University, Dominguez Hills",Carson,CA,Toros
nebellevue,Bellevue University,Bellevue,NE,Bruins
estroud,East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,Warriors
canisius,Canisius College,Buffalo,NY,Griffs
kansasst,Kansas State University,Manhattan,KS,Wildcats
quinnipiac,Quinnipiac University,Hamden,CT,Bobcats
smaine,University of Southern Maine,Gorham,ME,Huskies
sulrossst,Sul Ross State University,Alpine,TX,Lobos
chicost,"California State University, Chico",Chico,CA,Wildcats
uniontn,Union University,Jackson,TN,Bulldogs
rowannj,Rowan University,Glassboro,NJ,Profs
knoxil,Knox College (and Lombard College),Galesburg,IL,Prairie Fire
mntclairst,Montclair State University,Upper Montclair,NJ,Red Hawks
mariettaoh,Marietta College,Marietta,OH,Pioneers
amherstma,Amherst College,Amherst,MA,Lord Jeffs
stjosephs,Saint Joseph's University,Philadelphia,PA,Hawks
ucriver,"University of California, Riverside",Riverside,CA,Highlanders
georgefox,George Fox University,Newberg,OR,Bruins
trumanst,Truman State University,Kirksville,MO,Bulldogs
ecarolina,East Carolina University,Greenville,NC,Pirates
robertmor,Robert Morris University,Moon Township,PA,Colonials
oregonst,Oregon State University,Corvallis,OR,Beavers
armstratl,Armstrong Atlantic State University,Savannah,GA,Pirates
swmost,Missouri State University,Springfield,MO,Bears
lemoyne,LeMoyne College,Syracuse,NY,Dolphins
towson,Towson University,Towson,MD,Tigers
stleo,Saint Leo University,Saint Leo,FL,Lions
longbeach,"California State University, Long Beach",Long Beach,CA,49ers
walabama,University of West Alabama,Livingston,AL,Tigers
lafayette,Lafayette College,Easton,PA,Leopards
morehouse,Morehouse College,Atlanta,GA,Maroon Tigers
stxavieril,Saint Xavier University,Chicago,IL,Cougars
cncrdiacol,Concordia College,Moorhead,MN,Cobbers
ohwesleyan,Ohio Wesleyan University,Delaware,OH,Battling Bishops
newyorku,New York University,New York,NY,Violets
ncolorado,University of Northern Colorado,Greeley,CO,Bears
lewisil,Lewis University,Romeoville,IL,Flyers
tamucomm,Texas A&M University-Commerce,Commerce,TX,Lions
sacstate,"California State University, Sacramento",Sacramento,CA,Hornets
mercer,Mercer University,Macon,GA,Bears
sliprock,Slippery Rock University of Pennsylvania,Slippery Rock,PA,The Rock
jacksonst,Jackson State University,Jackson,MS,Tigers
missst,Mississippi State University,Starkville,MS,Bulldogs
hendrixar,Hendrix College,Conway,AR,Warriors
eutah,College of Eastern Utah,Price,UT,Golden Eagles
elon,Elon University,Elon,NC,Phoenix
alabamast,Alabama State University,Montgomery,AL,Hornets
franklinin,Franklin College,Franklin,IN,Grizzlies
valpo,Valparaiso University,Valparaiso,IN,Crusaders
hamlinemn,Hamline University,St. Paul,MN,Pipers
unlv,"University of Nevada, Las Vegas",Las Vegas,NV,Rebels
newhamp,University of New Hampshire,Durham,NH,Wildcats
ptparkpa,Point Park University,Pittsburgh,PA,Pioneers
scranton,University of Scranton,Scranton,PA,Royals
shepherdwv,Shepherd College,Shepherdstown,WV,Rams
norwichvt,Norwich University,Northfield,VT,Cadets
albanyst,Albany State University,Albany,GA,Golden Rams
sterlingks,Sterling University,Sterling,KS,Warriors
gaswestern,Georgia Southwestern State University,Americus,GA,Hurricanes
ulamo,University of Louisiana at Monroe,Monroe,LA,Indians
coastcar,Coastal Carolina University,Conway,SC,Chanticleers
alverniapa,Alvernia College,Reading,PA,Crusaders
tntech,Tennessee Technological University,Cookeville,TN,Golden Eagles
amerintl,American International College,Springfield,MA,Yellow Jackets
murrayst,Murray State University,Murray,KY,Thoroughbreds
bethcook,Bethune-Cookman College,Daytona Beach,FL,Wildcats
coloradost,Colorado State University,Fort Collins,CO,Rams
clrmuddscr,Claremont McKenna College,Claremont,CA,Stags
wagner,Wagner College,Staten Island,NY,Seahawks
wshngtonmo,Washington University in Saint Louis,Saint Louis,MO,Bears
centreky,Centre College,Danville,KY,Colonels
albrightpa,Albright College,Reading,PA,Lions
sonomast,Sonoma State University,Rohnert Park,CA,Seawolves
radford,Radford University,Radford,VA,Highlanders
nebomaha,University of Nebraska at Omaha,Omaha,NE,Mavericks
calutheran,California Lutheran University,Thousand Oaks,CA,Kingsmen
lakeforest,Lake Forest College,Lake Forest,IL,Foresters
sunybuff,State University of New York at Buffalo,Buffalo,NY,Bulls
crngmellon,Carnegie Mellon University,Pittsburgh,PA,Tartans
movalley,Missouri Valley College,Marshall,MO,Vikings
centralst,Central State University,Wilberforce,OH,Marauders
nillinois,Northern Illinois University,DeKalb,IL,Huskies
concordny,Concordia College,Bronxville,NY,Clippers
quincy,Quincy University,Quincy,IL,Hawks
cconnst,Central Connecticut State University,New Britain,CT,Blue Devils
longisland,"Long Island University, Brooklyn Campus",Brooklyn,NY,Blackbirds
uofsouth,University of the South,Sewanee,TN,Tigers
biolaca,Biola University,La Mirada,CA,Eagles
kansas,University of Kansas,Lawrence,KS,Jayhawks
pepperdine,Pepperdine University,Malibu,CA,Waves
utsa,University of Texas at San Antonio,San Antonio,TX,Roadrunners
keenest,Keene State College,Keene,NH,Owls
gonzaga,Gonzaga University,Spokane,WA,Bulldogs
piedmontga,Piedmont College,Demorest,GA,Lions
syracuse,Syracuse University,Syracuse,NY,Orangemen
ucsd,"University of California, San Diego",La Jolla,CA,Tritons
lenoirrhyn,Lenoir-Rhyne College,Hickory,NC,Bears
philsmith,Philander Smith College,Little Rock,AR,Panthers
vermont,University of Vermont,South Burlington,VT,Catamounts
tulsa,University of Tulsa,Tulsa,OK,Golden Hurricane
princeton,Princeton University,Princeton,NJ,Tigers
txwesleyan,Texas Wesleyan University,Fort Worth,TX,Rams
mastersca,The Master's College,Santa Clarita,CA,Mustangs
grossmont,Grossmont College,El Cajon,CA,
evansville,University of Evansville,Evansville,IN,Purple Aces
hawaiipac,Hawai'i Pacific University,Honolulu,HI,Sea Warriors
jksonvilst,Jacksonville State University,Jacksonville,AL,Gamecocks
inbethel,Bethel College,Mishawaka,IN,Pilots
usc,University of Southern California,Los Angeles,CA,Trojans
norfolkst,Norfolk State University,Norfolk,VA,Spartans
plymouth,Plymouth State University,Plymouth,NH,Panthers
fresnost,"California State University, Fresno",Fresno,CA,Bulldogs
stbonny,St. Bonaventure University,St. Bonaventure,NY,Bonnies
adrianmi,Adrian College,Adrian,MI,Bulldogs
wchester,West Chester University of Pennsylvania,West Chester,PA,Golden Rams
villanova,Villanova University,Villanova,PA,Wildcats
denisonoh,Denison University,Granville,OH,Big Red
birmsouth,Birmingham-Southern College,Birmingham,AL,Panthers
tarletonst,Tarleton State University,Stephenville,TX,Texans
bowdoinme,Bowdoin College,Brunswick,ME,Polar Bears
messiah,Messiah College,Grantham,PA,Falcons
portland,University of Portland,Portland,OR,Pilots
smiss,University of Southern Mississippi,Hattiesburg,MS,Golden Eagles
alcornst,Alcorn State University,Lorman,MS,Braves
newberry,Newberry College,Newberry,SC,Indians
strose,College of Saint Rose,Albany,NY,Golden Knights
upenn,University of Pennsylvania,Philadelphia,PA,Quakers
iowast,Iowa State University,Ames,IA,Cyclones
oklahoma,University of Oklahoma,Norman,OK,Sooners
lubbchrist,Lubbock Christian University,Lubbock,TX,Chaparrals
utchat,University of Tennessee at Chattanooga,Chattanooga,TN,Mocs
toledo,University of Toledo,Toledo,OH,Rockets
warnerpac,Warner Pacific College,Portland,OR,Knights
swarthmore,Swarthmore College,Swarthmore,PA,Garnet Tide
pfeiffer,Pfeiffer University,Misenheimer,NC,Falcons
sfaustin,Stephen F. Austin State University,Nacogdoches,TX,Lumberjacks
lincolnmem,Lincoln Memorial University,Harrogate,TN,Railsplitters
grandview,Grand View College,Des Moines,IA,Vikings
bucknell,Bucknell University,Lewisburg,PA,Bison
dartmouth,Dartmouth College,Hanover,NH,Big Green
akron,University of Akron,Akron,OH,Zips
grcanyon,Grand Canyon University,Phoenix,AZ,Antelopes
wconnst,Western Connecticut State University,Danbury,CT,Colonials
niowa,University of Northern Iowa,Cedar Falls,IA,Panthers
mnmorris,"University of Minnesota, Morris",Morris,MN,Cougars
mtstmarys,Mount St. Mary's College and Seminary,Emmitsburg,MD,Mountaineers
eurekail,Eureka College,Eureka,IL,Red Devils
holycross,College of the Holy Cross,Worcester,MA,Crusaders
maryland,University of Maryland,College Park,MD,Terrapins
trinitytx,Trinity University,San Antonio,TX,Tigers
stambrseia,St. Ambrose University,Davenport,IA,Fighting Bees
rice,Rice University,Houston,TX,Owls
bethanywv,Bethany College,Bethany,WV,Bison
delawarest,Delaware State University,Dover,DE,Hornets
albionmi,Albion College,Albion,MI,Britons
westmontca,Westmont College,Santa Barbara,CA,Warriors
stetson,Stetson University,DeLand,FL,Hatters
nevada,"University of Nevada, Reno",Reno,NV,Wolfpack
carkansas,University of Central Arkansas,Conway,AR,Bears
baconeok,Bacone College,Muskogee,OK,Warriors
hartford,University of Hartford,Hartford,CT,Hawks
umassdartm,University of Massachusetts Dartmouth,North Dartmouth,MA,Corsairs
ilwesleyan,Illinois Wesleyan University,Bloomington,IL,Titans
umes,University of Maryland Eastern Shore,Princess Anne,MD,Fighting Hawks
miamioh,Miami University,Oxford,OH,Red Hawks
pacificor,Pacific University,Forest Grove,OR,Boxers
emoryhenry,Emory & Henry College,Emory,VA,Wasps
deltast,Delta State University,Cleveland,MS,Statesmen
monmouth,Monmouth University,West Long Branch,NJ,Hawks
wingate,Wingate University,Wingate,NC,Bulldogs
occidental,Occidental College,Los Angeles,CA,Tigers
hardinsimm,Hardin-Simmons University,Abilene,TX,Cowboys
hartwickny,Hartwick College,Oneonta,NY,Hawks
humboldtst,Humboldt State University,Arcata,CA,Lumberjacks
willmary,College of William and Mary,Williamsburg,VA,Tribe
catawba,Catawba College,Salisbury,NC,Indians
calpoly,"California State Polytechnic University, San Luis Obispo",San Luis Obispo,CA,Mustangs
unionny,Union College,Schenectady,NY,Dutchmen
shipnsburg,Shippensburg University of Pennsylvania,Shippensburg,PA,Red Raiders
mobileal,University of Mobile,Mobile,AL,Rams
stthomasmn,University of St. Thomas,St. Paul,MN,Tommies
stjosephin,Saint Joseph's College,Renssalaer,IN,Pumas
memphis,University of Memphis,Memphis,TN,Tigers
hawaii,University of Hawai'i at Manoa,Honolulu,HI,Rainbows
andersonsc,Anderson College,Anderson,SC,Trojans
shaw,Shaw University,Raleigh,NC,Bears
mtennst,Middle Tennessee State University,Murfreesboro,TN,Blue Raiders
uncashe,University of North Carolina at Asheville,Asheville,NC,Bulldogs
neastern,Northeastern University,Boston,MA,Huskies
charleswv,University of Charleston,Charleston,WV,Golden Eagles
gacollege,Georgia College and State University,Milledgeville,GA,Bobcats
ohio,Ohio University,Athens,OH,Bobcats
blackbrnil,Blackburn College,Carlinville,IL,Battlin' Beavers
floridaam,Florida Agricultural and Mechanical University,Tallahassee,FL,Rattlers
wpaterson,William Paterson University,Wayne,NJ,Pioneers
ilcollege,Illinois College,Jacksonville,IL,Blueboys
lee,Lee University,Cleveland,TN,Flames
upperiowa,Upper Iowa University,Fayette,IA,Peacocks
kalamazoo,Kalamazoo College,Kalamazoo,MI,Hornets
aquinasmi,Aquinas College,Grand Rapids,MI,Saints
loyolachi,Loyola University of Chicago,Chicago,IL,Ramblers
campbell,Campbell University,Buies Creek,NC,Camels
friendsks,Friends University,Wichita,KS,Falcons
edinboro,Edinboro University of Pennsylvania,Edinboro,PA,Fighting Scots
siena,Siena College,Loudonville,NY,Saints
txsouth,Texas Southern University,Houston,TX,Tigers
wcarolina,Western Carolina University,Cullowhee,NC,Catamounts
stmarysmn,Saint Mary's University of Minnesota,Winona,MN,Cardinals
