yearid,round,playerid,teamid,lgid,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
1997,ALCS,daviser01,BAL,AL,6,13,1,2,0,0,1,1,0,0.0,1,3,1.0,0.0,0.0,0.0,0.0
1996,ALDS2,newsowa01,TEX,AL,2,1,0,0,0,0,0,0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0
2006,WS,infanom01,DET,AL,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1951,WS,irvinmo01,NY1,NL,6,24,3,11,0,1,0,2,2,1.0,2,1,0.0,0.0,0.0,0.0,0.0
1917,WS,gandich01,CHA,AL,6,23,1,6,1,0,0,5,1,0.0,0,2,0.0,0.0,0.0,0.0,0.0
1948,WS,kennebo01,CLE,AL,3,2,0,1,0,0,0,1,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1993,WS,masonro01,PHI,NL,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2005,NLDS1,mabryjo01,SLN,NL,2,2,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1992,NLCS,espyce01,PIT,NL,4,3,0,2,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1974,ALCS,etchean01,BAL,AL,2,6,0,2,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1996,WS,foxan01,NYA,AL,4,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1986,WS,ojedabo01,NYN,NL,1,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1885,WS,bushodo01,SL4,AA,4,13,1,2,0,0,0,0,0,,0,0,0.0,,,,
1997,NLCS,maddugr01,ATL,NL,2,3,0,0,0,0,0,0,0,0.0,0,2,0.0,0.0,1.0,0.0,0.0
1964,WS,simmocu01,SLN,NL,2,4,0,2,0,0,0,1,0,0.0,0,1,0.0,0.0,1.0,0.0,0.0
2003,WS,contrjo01,NYA,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2012,NLDS1,molinya01,SLN,NL,5,17,3,2,0,0,0,1,0,0.0,5,1,,,,,
1951,WS,rignebi01,NY1,NL,4,4,0,1,0,0,0,1,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1936,WS,malonpa02,NYA,AL,2,1,0,1,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1988,ALCS,burksel01,BOS,AL,4,17,2,4,1,0,0,1,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0
1996,ALCS,anderbr01,BAL,AL,5,21,5,4,1,0,1,1,0,0.0,3,5,0.0,0.0,0.0,0.0,0.0
2012,ALCS,jeterde01,NYA,AL,1,5,0,1,0,0,0,0,0,0.0,1,2,,,,,
1970,WS,carbobe01,CIN,NL,4,8,0,0,0,0,0,0,0,1.0,2,3,0.0,0.0,0.0,0.0,1.0
1910,WS,bakerfr01,PHA,AL,5,22,6,9,3,1,0,4,0,3.0,2,1,0.0,0.0,0.0,0.0,0.0
1932,WS,tinnibu01,CHN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1990,WS,bordimi01,OAK,AL,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1982,ALCS,gantnji01,ML4,AL,5,16,1,3,0,0,0,2,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
2003,NLCS,hollato01,FLO,NL,4,3,2,3,1,0,0,2,0,0.0,1,0,1.0,0.0,0.0,0.0,0.0
1998,NLDS2,hitchst01,SDN,NL,1,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1966,WS,kennejo03,LAN,NL,2,5,0,1,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
2002,ALDS1,jeterde01,NYA,AL,4,16,6,8,0,0,2,3,0,0.0,2,3,0.0,0.0,0.0,1.0,0.0
2001,ALDS1,cabrejo02,CLE,AL,2,1,1,1,0,0,0,1,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0
1993,WS,griffal01,TOR,AL,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1973,NLCS,normafr01,CIN,NL,1,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
1988,WS,eckerde01,OAK,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2009,NLDS2,victosh01,PHI,NL,4,17,4,6,1,0,1,1,1,0.0,1,1,0.0,0.0,1.0,0.0,0.0
1997,NLDS2,maddugr01,ATL,NL,1,2,0,0,0,0,0,0,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
1987,WS,gagnegr01,MIN,AL,7,30,5,6,1,0,1,3,0,0.0,1,6,0.0,0.0,0.0,0.0,0.0
2012,WS,vogelry01,SFN,NL,1,0,0,0,0,0,0,0,0,0.0,0,0,,,,,
2002,WS,shinjts01,SFN,NL,3,6,1,1,0,0,0,0,0,0.0,0,3,0.0,0.0,1.0,0.0,0.0
