playerid,yearid,stint,glf,gcf,grf
cramedo01,1938,1,0.0,148.0,0.0
mcclula01,1910,1,1.0,0.0,0.0
griffbe01,1924,1,0.0,2.0,0.0
orourji01,1884,1,86.0,0.0,0.0
brennad01,1915,1,0.0,0.0,1.0
crawfsa01,1914,1,0.0,0.0,157.0
restedi01,1949,1,0.0,47.0,14.0
spaldal01,1876,1,9.0,1.0,0.0
medwijo01,1943,1,42.0,0.0,0.0
smithal01,1897,1,14.0,2.0,2.0
orourji01,1876,1,9.0,60.0,0.0
fislewe01,1875,1,0.0,1.0,9.0
kreevmi01,1945,2,0.0,40.0,0.0
litwhda01,1940,1,2.0,3.0,31.0
goebeed01,1922,1,2.0,1.0,13.0
daleyto01,1914,1,14.0,10.0,0.0
brownge01,1911,1,0.0,0.0,2.0
larosha01,1914,1,10.0,10.0,0.0
lushbi01,1903,1,89.0,0.0,12.0
mccaual01,1884,1,0.0,0.0,3.0
secorfr01,1946,1,9.0,0.0,0.0
healyjo01,1888,1,0.0,0.0,1.0
strunam01,1917,1,0.0,146.0,0.0
gedeoel01,1939,1,0.0,4.0,1.0
casege01,1944,1,83.0,7.0,28.0
chrisll01,1922,1,30.0,0.0,2.0
flagsir01,1921,1,6.0,2.0,5.0
weintph01,1933,1,0.0,0.0,6.0
murphed02,1915,1,0.0,0.0,58.0
hinespa01,1887,1,0.0,109.0,0.0
davisge01,1896,1,3.0,0.0,0.0
bannoji01,1895,1,1.0,0.0,121.0
mullipa01,1946,1,0.0,1.0,75.0
jonesja02,1883,1,0.0,0.0,3.0
wiltsho01,1904,1,,,
griffto01,1919,1,0.0,0.0,125.0
westsa01,1938,1,0.0,41.0,0.0
mertesa01,1899,1,16.0,47.0,46.0
balenmi01,1913,1,8.0,0.0,0.0
taittdo01,1931,1,38.0,0.0,0.0
hodnech01,1884,1,0.0,1.0,5.0
isbelfr01,1907,1,5.0,0.0,0.0
walkecu01,1921,1,0.0,46.0,13.0
dalyto01,1887,1,2.0,3.0,3.0
jonesda01,1901,1,14.0,0.0,0.0
wasdeji01,1943,2,39.0,22.0,5.0
lewisfr01,1884,2,0.0,8.0,0.0
marshdo01,1908,2,0.0,1.0,2.0
whitnji01,1886,1,2.0,9.0,11.0
fostepo01,1900,1,1.0,0.0,11.0
triplco01,1944,1,41.0,1.0,2.0
cusicto01,1885,1,0.0,1.0,0.0
willike01,1922,1,137.0,17.0,0.0
duncapa01,1919,1,27.0,0.0,0.0
martyjo01,1941,1,0.0,131.0,1.0
allisdo01,1874,1,0.0,3.0,44.0
phillda01,1950,1,0.0,70.0,103.0
vanroma01,1939,1,25.0,0.0,0.0
manushe01,1928,1,154.0,0.0,0.0
morseha01,1911,1,1.0,0.0,0.0
lewisfr01,1883,1,0.0,38.0,0.0
wardpi01,1893,2,1.0,0.0,39.0
ganzeba01,1928,1,4.0,2.0,2.0
careyma01,1929,1,0.0,2.0,2.0
robinwi01,1887,1,0.0,1.0,0.0
oconnji01,1924,1,1.0,15.0,14.0
westlwa01,1951,2,11.0,29.0,28.0
obrieda01,1889,1,136.0,0.0,0.0
mannija01,1877,1,1.0,10.0,1.0
barrysh01,1904,2,0.0,13.0,17.0
thomabi01,1902,1,2.0,0.0,1.0
norenir01,1954,1,55.0,23.0,49.0
welchcu01,1892,1,0.0,63.0,0.0
deckeha01,1890,2,2.0,0.0,2.0
murnati01,1873,1,0.0,24.0,6.0
brackgi01,1937,1,37.0,44.0,21.0
mcdonte01,1914,1,0.0,0.0,29.0
kanejo01,1908,1,0.0,120.0,7.0
gordosi01,1953,1,137.0,0.0,0.0
boylebu01,1930,1,0.0,1.0,0.0
kleinch01,1936,1,0.0,0.0,29.0
melesa01,1954,2,3.0,0.0,13.0
bresnro01,1906,1,0.0,39.0,3.0
falchan01,1884,1,3.0,0.0,0.0
barclge01,1903,1,107.0,0.0,0.0
flemile01,1939,1,1.0,0.0,2.0
purcebl01,1885,1,66.0,1.0,0.0
paulege01,1919,2,0.0,2.0,7.0
vosmijo01,1944,1,5.0,0.0,7.0
davidbi01,1911,1,0.0,74.0,0.0
fredejo01,1929,1,0.0,143.0,0.0
rossch01,1943,1,73.0,0.0,0.0
parksbi01,1875,2,2.0,0.0,0.0
jensewo01,1935,1,138.0,0.0,2.0
wheelha01,1880,1,1.0,0.0,0.0
dooinre01,1910,1,1.0,1.0,1.0
schaege01,1910,1,8.0,13.0,5.0
keelewi01,1894,1,0.0,0.0,128.0
arnovmo01,1940,1,36.0,0.0,1.0
clemech01,1939,1,7.0,0.0,0.0
mathebo01,1877,1,1.0,0.0,0.0
hallge01,1872,1,3.0,51.0,0.0
conrowi01,1909,1,2.0,3.0,0.0
schulfr01,1907,1,1.0,0.0,91.0
millsev01,1873,1,0.0,1.0,0.0
mctamji01,1889,1,0.0,139.0,0.0
brownpe01,1886,1,31.0,82.0,0.0
dailyco01,1886,1,1.0,0.0,0.0
pooleed01,1900,1,1.0,0.0,0.0
lowrepe01,1952,1,63.0,35.0,6.0
ottme01,1939,1,0.0,0.0,96.0
lushbi01,1896,1,10.0,14.0,68.0
beschbo01,1908,1,32.0,0.0,0.0
marshdo01,1906,1,1.0,3.0,13.0
willike01,1927,1,110.0,4.0,0.0
pabsted01,1890,2,4.0,0.0,0.0
gedneco01,1875,1,67.0,0.0,1.0
chapmbe01,1932,1,81.0,0.0,86.0
benjast01,1942,1,0.0,25.0,21.0
smithpo01,1881,3,1.0,4.0,3.0
smithsy01,1908,1,0.0,1.0,0.0
marshwi01,1947,1,0.0,0.0,155.0
snydepo01,1879,1,0.0,0.0,2.0
fieldsa01,1875,1,0.0,0.0,1.0
munyajo01,1890,1,0.0,2.0,0.0
koyer01,1939,1,110.0,3.0,3.0
palysst01,1955,2,55.0,0.0,0.0
pickeol01,1908,1,0.0,27.0,71.0
jamiech01,1916,1,24.0,2.0,15.0
stonege01,1906,1,154.0,0.0,0.0
dalryab01,1879,1,66.0,1.0,4.0
kellge01,1955,1,1.0,0.0,0.0
wisebi01,1882,1,,,
staintu01,1946,1,11.0,18.0,37.0
jackssa01,1871,1,0.0,1.0,0.0
ruckejo01,1941,1,0.0,142.0,0.0
kinerra01,1955,1,87.0,0.0,0.0
coreyfr01,1882,1,5.0,10.0,0.0
durhajo01,1902,1,1.0,0.0,2.0
hoopeha01,1923,1,0.0,0.0,143.0
fitzped01,1917,1,4.0,6.0,7.0
englecl01,1909,1,119.0,16.0,0.0
garrifo01,1945,1,5.0,0.0,0.0
spencst01,1940,1,6.0,0.0,9.0
mccreto01,1898,2,0.0,46.0,5.0
laroqsa01,1890,1,1.0,0.0,0.0
quinnpa02,1875,3,0.0,9.0,1.0
tebeage01,1887,1,80.0,1.0,3.0
minosmi01,1953,1,145.0,0.0,2.0
houtzle01,1899,1,1.0,4.0,0.0
gagusch01,1884,1,0.0,17.0,4.0
hanlone01,1887,1,1.0,117.0,0.0
moorege03,1945,1,1.0,0.0,99.0
mcnamge01,1922,1,0.0,0.0,3.0
speaktr01,1916,1,0.0,151.0,0.0
dolanco01,1902,1,1.0,140.0,0.0
callani01,1905,1,71.0,1.0,21.0
pafkoan01,1944,1,0.0,123.0,1.0
woodlge01,1949,1,82.0,12.0,5.0
toolest01,1888,1,2.0,0.0,0.0
falkbi01,1924,1,134.0,0.0,0.0
mccreto01,1902,1,1.0,0.0,3.0
usherbo01,1946,1,23.0,32.0,25.0
