yearid,teamid,lgid,playerid,salary
2002,OAK,AL,zitoba01,295000
1990,BOS,AL,greenmi01,1225000
1990,OAK,AL,phelpke01,825000
1997,NYA,AL,posadjo01,158500
1994,TEX,AL,pavliro01,237500
2012,SFN,NL,crawfbr01,481000
2009,BOS,AL,greenni01,550000
1992,BOS,AL,reardje01,2633334
2005,SEA,AL,putzjj01,360000
2004,ARI,NL,mantema01,7000000
2011,MIN,AL,hughedu01,429000
2009,KCA,AL,mechegi01,11400000
2012,CHN,NL,stewaia01,2237500
2007,TEX,AL,hairsje02,750000
1995,BOS,AL,berryda01,200000
1988,SEA,AL,cottohe01,90000
1998,SDN,NL,ashbyan01,4125000
1992,BAL,AL,parenma01,180000
2006,TEX,AL,castrfa01,327000
1993,KCA,AL,howarda02,193000
1986,BAL,AL,bordiri01,250000
1985,HOU,NL,reynocr01,350000
1997,MON,NL,widgech01,152500
2012,SDN,NL,alonsyo01,1400000
2000,DET,AL,cruzde01,1975000
1994,COL,NL,hubbatr01,109000
2004,BAL,AL,hairsje02,1650000
1991,CHA,AL,radinsc01,130000
2010,SDN,NL,mujiced01,419800
1990,CHA,AL,longbi01,257500
2005,TBA,AL,baezda01,3750000
2011,HOU,NL,quinthu01,1000000
2002,ANA,AL,anderga01,5000000
1996,CHN,NL,navarja01,3600000
2010,PIT,NL,iwamuak01,4850000
2007,MIL,NL,nixla01,390000
1986,MON,NL,winnihe01,87500
1999,BOS,AL,veraswi01,200000
2012,SEA,AL,gutiefr01,5812500
1990,CHN,NL,lancale01,300000
1997,SEA,AL,buhneja01,4827962
1992,CIN,NL,roberbi01,1550000
2007,KCA,AL,welleto01,635000
1998,HOU,NL,gutieri01,850000
2005,BOS,AL,millewa04,1500000
1993,SLN,NL,zeileto01,1025000
2005,FLO,NL,easleda01,750000
2010,CLE,AL,peraljh01,4850000
2008,ARI,NL,salazje01,393000
1998,SDN,NL,hamiljo02,3250000
2012,TBA,AL,scottlu01,5000000
2008,SLN,NL,schumsk01,396000
1990,KCA,AL,stillku01,795000
2001,MIN,AL,santajo01,212500
1993,COL,NL,youngge02,310000
1996,SDN,NL,ashbyan01,2000000
2008,LAN,NL,garcino01,9516697
2005,LAA,AL,erstada01,8250000
1992,HOU,NL,ramirra01,400000
2001,KCA,AL,beltrca01,425000
1994,CHN,NL,veresra01,160000
1992,CAL,AL,hayesvo01,2200000
1995,SLN,NL,gilkebe01,1625000
2003,PHI,NL,coggida01,320000
2006,NYN,NL,woodwch01,825000
1989,PHI,NL,jordari02,95000
1990,NYA,AL,polonlu01,200000
1989,PHI,NL,harrigr01,325000
1997,BAL,AL,johnsmi02,150000
1993,CAL,AL,myersgr01,525000
2001,MIL,NL,stullev01,216000
2004,LAN,NL,beltrad01,5000000
1988,CIN,NL,esaskni01,460000
1993,TOR,AL,sojolu01,290000
2006,MIN,AL,castrju01,1000000
2000,COL,NL,hammoje01,3183333
1995,SFN,NL,mulhote01,1250000
1998,CIN,NL,jacksda04,170000
2005,CLE,AL,riskeda01,1425000
2007,DET,AL,rodnefe01,1000000
1989,SFN,NL,hammaat01,983334
1999,KCA,AL,steinbl01,207500
2009,ATL,NL,diazma02,1237500
1999,MIL,NL,valenjo03,3036095
1994,BOS,AL,hatchbi01,650000
2012,TOR,AL,lawribr01,482500
2005,LAN,NL,ericksc01,525000
2004,CLE,AL,davisja02,326800
2010,ATL,NL,reyesjo03,410000
1999,TOR,AL,greenwi01,1000000
2009,COL,NL,buchhta01,1055000
1997,COL,NL,wrighja01,169500
1987,ATL,NL,hubbagl01,555000
1994,KCA,AL,hamelbo01,110000
1997,TEX,AL,pavliro01,2850000
2004,FLO,NL,nunezab02,300000
1999,PHI,NL,schilcu01,5250000
2000,ATL,NL,hubbatr01,400000
1997,CIN,NL,nunnajo01,190000
1992,CHA,AL,guilloz01,1900000
1999,TEX,AL,kolbda01,200000
1996,SDN,NL,verasda01,109000
2009,MIN,AL,dickera01,525000
1999,TOR,AL,brumfja01,240000
1991,ML4,AL,plesada01,1000000
1988,LAN,NL,griffal01,750000
2006,ATL,NL,jonesan01,13500000
1989,SLN,NL,thompmi02,505000
1995,NYA,AL,hitchst01,125000
1990,KCA,AL,davisst02,1166667
1989,SEA,AL,bradlsc01,330000
2007,CHA,AL,molingu01,380000
1988,SEA,AL,bradlsc01,130000
2000,SFN,NL,benarma01,1125000
1994,MON,NL,fasseje01,315000
2000,NYA,AL,kellyro01,800000
2002,BOS,AL,sanchre01,700000
2003,ATL,NL,byrdpa01,3000000
2007,SDN,NL,maddugr01,10000000
1997,CIN,NL,boonebr01,1700000
1996,NYA,AL,pavlada01,120000
1997,BOS,AL,jeffere01,1900000
1996,CAL,AL,palmeor01,113500
2000,KCA,AL,posesc01,232500
2002,COL,NL,harnipe01,250000
1992,SDN,NL,hurstbr01,3000000
2004,SFN,NL,frankwa01,360000
2002,CIN,NL,silvajo01,650000
2000,OAK,AL,magnami01,900000
2005,NYN,NL,martipe02,10875000
1996,PIT,NL,merceor01,2700000
2009,PHI,NL,werthja01,2500000
1987,NYA,AL,washicl01,480000
1993,HOU,NL,kileda01,247500
1985,ATL,NL,dedmoje01,150000
1988,HOU,NL,pankoji01,150000
1990,LAN,NL,bittije01,113000
2008,FLO,NL,garciha01,390000
1993,LAN,NL,karroer01,435000
1989,PIT,NL,bellja01,85000
2009,CHA,AL,dyeje01,11500000
1989,NYA,AL,gerenbo01,70000
2001,MON,NL,irabuhi01,2500000
1994,FLO,NL,natalro01,147500
1997,DET,AL,milleor01,337500
2000,PHI,NL,ariasal01,550000
2012,BOS,AL,matsuda01,10333333
1995,COL,NL,britojo01,109000
1999,COL,NL,watkipa01,208000
1987,SDN,NL,bochybr01,135000
1998,CHA,AL,rizzoto01,170000
1990,NYA,AL,ceronri01,600000
2012,CLE,AL,choosh01,4900000
2008,PHI,NL,zagurmi01,392500
2006,ATL,NL,reitsch01,2750000
1996,CAL,AL,ontivst02,225000
2006,TBA,AL,huffau01,6916667
1993,PIT,NL,neaglde01,140000
1999,CHN,NL,mulhote01,2925000
1986,OAK,AL,andujjo01,1233333
1994,OAK,AL,noboaju01,120000
2000,ATL,NL,mulhote01,2975000
2002,BAL,AL,gilge01,200000
1988,PHI,NL,grossgr01,320000
2006,LAA,AL,colonba01,14000000
2002,MIL,NL,bakopa01,750000
2005,DET,AL,marotmi01,405000
1989,KCA,AL,bannifl01,900000
1992,TOR,AL,warddu01,2425000
2009,MIL,NL,stettmi01,407500
1999,CLE,AL,depause01,200000
1998,LAN,NL,castrju01,240000
1998,CIN,NL,larkiba01,5300000
2003,MIL,NL,sexsori01,5125000
1995,NYA,AL,boggswa01,4724316
1995,SFN,NL,bartosh01,109000
1996,CAL,AL,easleda01,305000
2008,PIT,NL,marteda01,2150000
1997,ANA,AL,erstada01,175000
1999,SEA,AL,hinchbr01,200000
2003,ARI,NL,mantema01,7083333
1992,SLN,NL,cormirh01,120000
1988,NYA,AL,leiteal01,67000
1994,SDN,NL,whitewa02,695000
1985,PHI,NL,schmimi01,2130300
2000,TBA,AL,flahejo01,2947410
1993,COL,NL,castivi02,120000
2004,COL,NL,bernead01,320000
1999,MIL,NL,vinafe01,2000000
2003,ATL,NL,gryboke01,315000
1994,CHA,AL,karkoro01,1429167
2000,DET,AL,haltesh01,236000
1997,KCA,AL,carrahe01,560000
