id,lgid,teamid,franchid,name,park
74,AL,LAA,ANA,Los Angeles Angels of Anaheim,Angel Stadium
243,NL,NY3,NYU,New York Mutuals,Union Grounds (Brooklyn)
221,NL,IN3,IND,Indianapolis Hoosiers,Athletic Park I
304,UA,BLU,BLU,Baltimore Monumentals,
48,AL,CAL,ANA,California Angels,Dodger Stadium
258,NL,PIT,PIT,Pittsburg Alleghenys,Recreation Park
54,AL,CLE,CLE,Cleveland Blues,League Park I
280,NL,SLN,STL,St. Louis Cardinals,Busch Stadium III
18,AA,KC2,KCC,Kansas City Cowboys,Exposition Park
5,AA,BR3,LAD,Brooklyn Atlantics,Washington Park I
41,AL,BAL,BAL,Baltimore Orioles,Oriole Park at Camden Yards
220,NL,IN1,IBL,Indianapolis Blues,South Street Park
78,AL,MIN,MIN,Minnesota Twins,Target Field
120,FL,BUF,BFL,Buffalo Buffeds,
51,AL,CHA,CHW,Chicago White Sox,South Side Park II
1,AA,BL2,BLO,Baltimore Orioles,Newington Park
43,AL,BOS,BOS,Boston Americans,Huntington Avenue Grounds
239,NL,NY1,SFG,New York Giants,Polo Grounds III
50,AL,CHA,CHW,Chicago White Sox,Comiskey Park II
22,AA,NY4,NYP,New York Metropolitans,Polo Grounds I West Diamond
211,NL,FLO,FLA,Florida Marlins,Joe Robbie Stadium
159,NL,BFN,BUF,Buffalo Bisons,Olympic Park I
52,AL,CHA,CHW,Chicago White Sox,South Side Park II/Comiskey Park
295,PL,BFP,BFB,Buffalo Bisons,
138,NA,FW1,KEK,Fort Wayne Kekiongas,Hamilton Field
131,NA,BR2,BRA,Brooklyn Atlantics,Capitoline Grounds
108,AL,TOR,TOR,Toronto Blue Jays,Exhibition Stadium /Skydome
275,NL,SL3,SBS,St. Louis Brown Stockings,Sportsman's Park I
73,AL,LAA,ANA,Los Angeles Angels,Wrigley Field (LA)
181,NL,BSN,ATL,Boston Rustlers,South End Grounds III
249,NL,PHI,PHI,Philadelphia Phillies,Baker Bowl/Shibe Park
299,PL,CLP,CLI,Cleveland Infants,
287,NL,TRN,TRT,Troy Trojans,Haymakers' Grounds
262,NL,PIT,PIT,Pittsburgh Pirates,Forbes Field/Three Rivers Stadium
124,FL,KCF,KCP,Kansas City Packers,
101,AL,TBA,TBD,Tampa Bay Devil Rays,Tropicana Field
70,AL,KCA,KCR,Kansas City Royals,Municipal Stadium II
10,AA,CL3,CLV,Cleveland Blues,National League Park II
46,AL,BOS,BOS,Boston Red Sox,Huntington Avenue Grounds
189,NL,CHN,CHC,Chicago White Stockings,Lake Front Park I
191,NL,CHN,CHC,Chicago White Stockings,Lake Front Park II
17,AA,KC2,KCC,Kansas City Cowboys,Association Park I
246,NL,NYN,NYM,New York Mets,Shea Stadium
99,AL,SLA,BAL,St. Louis Browns,Sportsman's Park III
284,NL,SLN,STL,St. Louis Cardinals,Sportsman's Park IV/Busch Stadium II
283,NL,SLN,STL,St. Louis Cardinals,Sportsman's Park IV
87,AL,OAK,OAK,Oakland Athletics,McAfee Coliseum
210,NL,FLO,FLA,Florida Marlins,Dolphin Stadium
29,AA,RC2,ROC,Rochester Broncos,Culver Field I
194,NL,CIN,CIN,Cincinnati Reds,Cinergy Field
310,UA,PHU,PHK,Philadelphia Keystones,
207,NL,COL,COL,Colorado Rockies,Coors Field
286,NL,SR1,SYR,Syracuse Stars,Newell Park
193,NL,CIN,CIN,Cincinnati Redlegs,Crosley Field
158,NL,ATL,ATL,Atlanta Braves,Turner Field
78,AL,MIN,MIN,Minnesota Twins,Target Field
203,NL,CL4,CLV,Cleveland Spiders,League Park I
296,PL,BRP,BWW,Brooklyn Ward's Wonders,
206,NL,CN1,CNR,Cincinnati Reds,Bank Street Grounds
312,UA,SPU,STP,St. Paul White Caps,
124,FL,KCF,KCP,Kansas City Packers,
27,AA,PT1,PIT,Pittsburg Alleghenys,Exposition Park I
62,AL,CLE,CLE,Cleveland Naps,League Park II
228,NL,LS3,LOU,Louisville Colonels,Eclipse Park II
58,AL,CLE,CLE,Cleveland Indians,League Park II
90,AL,OAK,OAK,Oakland Athletics,Oakland Coliseum
84,AL,NYA,NYY,New York Yankees,Yankee Stadium I
164,NL,BRO,LAD,Brooklyn Bridegrooms,Washington Park III
55,AL,CLE,CLE,Cleveland Bronchos,League Park I
11,AA,CL5,CBK,Columbus Buckeyes,Recreation Park I
301,PL,PHP,PHQ,Philadelphia Athletics,
38,AL,ANA,ANA,Anaheim Angels,Angels Stadium of Anaheim
219,NL,HOU,HOU,Houston Colt .45's,Colt Stadium
194,NL,CIN,CIN,Cincinnati Reds,Cinergy Field
289,NL,TRN,TRT,Troy Trojans,Troy Ball Club Grounds
108,AL,TOR,TOR,Toronto Blue Jays,Exhibition Stadium /Skydome
188,NL,CHN,CHC,Chicago White Stockings,23rd Street Grounds
223,NL,KCN,KCN,Kansas City Cowboys,Association Park
25,AA,PH4,PHA,Philadelphia Athletics,Oakdale Park
184,NL,CHN,CHC,Chicago Colts,West Side Park II
256,NL,PHI,PHI,Philadelphia Quakers,Recreation Park
3,AA,BL3,BLO,Baltimore Orioles,Oriole Park
244,NL,NYN,NYM,New York Mets,Citi Field
152,NA,WS4,NAT,Washington Nationals,Nationals Grounds
274,NL,SFN,SFG,San Francisco Giants,Seals Stadium
7,AA,BR3,LAD,Brooklyn Grays,Washington Park I
279,NL,SLN,STL,St. Louis Cardinals,Busch Stadium II
218,NL,HOU,HOU,Houston Astros,Minute Maid Park
105,AL,TEX,TEX,Texas Rangers,Rangers Ballpark in Arlington
56,AL,CLE,CLE,Cleveland Indians,Cleveland Stadium
261,NL,PIT,PIT,Pittsburgh Pirates,Forbes Field
249,NL,PHI,PHI,Philadelphia Phillies,Baker Bowl/Shibe Park
293,NL,WOR,WOR,Worcester Ruby Legs,Worcester Driving Park Grounds
176,NL,BSN,ATL,Boston Braves,Braves Field
236,NL,MON,WSN,Montreal Expos,Stade Olympique/Hiram Bithorn Stadium
254,NL,PHI,PHI,Philadelphia Phillies,Veterans Stadium
204,NL,CL4,CLV,Cleveland Spiders,National League Park
5,AA,BR3,LAD,Brooklyn Atlantics,Washington Park I
23,AA,NY4,NYP,New York Metropolitans,St. George Cricket Grounds
198,NL,CIN,CIN,Cincinnati Reds,League Park I in Cincinnati
1,AA,BL2,BLO,Baltimore Orioles,Newington Park
277,NL,SLN,STL,St. Louis Browns,Robison Field
118,FL,BRF,BTT,Brooklyn Tip-Tops,
119,FL,BUF,BFL,Buffalo Blues,
18,AA,KC2,KCC,Kansas City Cowboys,Exposition Park
