awardid,yearid,lgid,playerid,pointswon,pointsmax,votesfirst
MVP,2005,AL,cantujo01,1,392,0.0
MVP,1972,AL,kalinal01,4,336,0.0
Rookie of the Year,1961,NL,curtija01,1,16,1.0
MVP,1922,AL,meusebo01,6,64,0.0
Cy Young,1993,NL,greento01,2,140,0.0
MVP,1960,AL,berrayo01,21,336,0.0
MVP,1958,NL,adcocjo01,2,336,0.0
MVP,1933,NL,traynpi01,20,80,
MVP,1982,AL,ripkeca01,3,392,0.0
MVP,2011,AL,teixema01,5,392,0.0
MVP,1973,AL,colemjo05,6,336,0.0
Cy Young,1999,AL,hernaro01,1,140,0.0
MVP,1947,AL,mitchda01,4,336,0.0
MVP,1985,NL,hernake01,61,336,0.0
Rookie of the Year,1987,NL,jamesch02,1,120,0.0
MVP,1947,AL,boudrlo01,168,336,1.0
MVP,2004,NL,pujolal01,247,448,1.0
MVP,1992,NL,daultda01,100,336,0.0
MVP,1955,NL,loganjo01,24,336,0.0
MVP,2000,NL,bondsba01,279,448,6.0
MVP,1953,NL,crandde01,1,336,0.0
MVP,1950,NL,newcodo01,14,336,0.0
MVP,2006,NL,wrighda03,70,448,0.0
Rookie of the Year,1955,NL,bessedo01,2,24,2.0
MVP,1964,AL,lockdo01,1,280,0.0
MVP,1948,AL,mccosba01,4,336,0.0
MVP,1950,NL,konstji01,286,336,18.0
MVP,1979,NL,seaveto01,9,336,0.0
MVP,2002,NL,vidrojo01,1,448,0.0
MVP,1913,NL,sweenbi02,6,64,0.0
MVP,1911,AL,austiji01,2,64,0.0
MVP,1990,NL,wallati01,36,336,0.0
MVP,2002,NL,schilcu01,53,448,0.0
MVP,1957,AL,mcdougi01,165,336,4.0
MVP,1932,NL,wanerll01,6,80,0.0
Cy Young,1980,AL,gurala01,1,140,0.0
MVP,1912,NL,tesreje01,6,64,0.0
Cy Young,1983,NL,mcmurcr01,3,120,0.0
MVP,1973,NL,brocklo01,65,336,0.0
MVP,1963,AL,foxne01,2,280,0.0
MVP,1912,NL,alexape01,1,64,0.0
MVP,1963,AL,rolliri01,5,280,0.0
Rookie of the Year,1991,AL,maynebr01,1,140,0.0
MVP,1962,AL,cashno01,3,280,0.0
MVP,1925,NL,friscfr01,13,80,
Cy Young,1978,NL,tekulke01,12,120,0.0
Rookie of the Year,1980,NL,oestero01,16,120,1.0
MVP,1938,NL,youngpe01,19,336,
MVP,1971,AL,hunteca01,1,336,0.0
MVP,1996,AL,knoblch01,8,392,0.0
Cy Young,1990,AL,clemero02,77,140,8.0
MVP,1990,AL,guilloz01,10,392,0.0
MVP,1963,NL,malonji01,7,280,0.0
MVP,1978,NL,suttebr01,5,336,0.0
MVP,1972,AL,otisam01,1,336,0.0
MVP,1942,AL,dickebi01,12,336,0.0
MVP,1970,AL,olivato01,157,336,5.0
Rookie of the Year,1991,NL,lankfra01,28,120,0.0
MVP,1942,AL,judniwa01,14,336,0.0
MVP,1980,AL,wilsowi02,169,392,1.0
MVP,1983,AL,dotsori01,3,392,0.0
MVP,2006,NL,jonesan01,29,448,0.0
MVP,1912,NL,merklfr01,4,64,0.0
Rookie of the Year,1994,NL,carrahe01,3,140,0.0
MVP,1942,NL,kurowwh01,6,336,0.0
MVP,1970,NL,gastoci01,5,336,0.0
Rookie of the Year,1953,NL,jablora01,3,24,3.0
Cy Young,1979,AL,koosmje01,5,140,0.0
MVP,1993,AL,molitpa01,209,392,0.0
MVP,1952,AL,sainjo01,3,336,0.0
MVP,1922,AL,heilmha01,8,64,
MVP,1965,AL,batteea01,22,280,0.0
Cy Young,1982,AL,quiseda01,40,140,4.0
MVP,1985,AL,murraed02,130,392,0.0
Rookie of the Year,1991,NL,barbebr01,3,120,0.0
MVP,1984,AL,mattido01,113,392,0.0
Rookie of the Year,2006,NL,cainma01,4,160,0.0
MVP,1962,AL,bunniji01,8,280,0.0
MVP,1963,AL,kalinal01,148,280,1.0
Rookie of the Year,1997,NL,morrima01,25,140,0.0
Rookie of the Year,1995,AL,radkebr01,1,140,0.0
MVP,1927,AL,orourfr01,6,64,0.0
MVP,1961,NL,spahnwa01,31,224,0.0
Cy Young,1988,NL,hershor01,120,120,24.0
MVP,1939,AL,cronijo01,15,336,0.0
MVP,1935,AL,aukerel01,2,80,0.0
MVP,1964,AL,radatdi01,37,280,0.0
MVP,1962,AL,donovdi01,64,280,0.0
MVP,1994,NL,morriha02,18,392,0.0
MVP,1995,AL,belleal01,300,392,11.0
Rookie of the Year,1999,NL,mcglike01,1,160,0.0
MVP,1949,NL,hodgegi01,29,336,0.0
MVP,1942,NL,beazljo01,24,336,0.0
Rookie of the Year,2000,AL,zitoba01,1,140,0.0
MVP,2005,NL,utleych01,22,448,0.0
MVP,1911,NL,wagneho01,23,64,
MVP,1993,NL,wettejo01,1,392,0.0
MVP,1971,AL,lolicmi01,155,336,1.0
MVP,1988,AL,hurstbr01,15,392,0.0
MVP,1998,NL,walkela01,7,448,0.0
MVP,1946,AL,robinaa01,12,336,0.0
MVP,1933,AL,cronijo01,62,80,2.0
MVP,1994,AL,knoblch01,8,392,0.0
MVP,1977,AL,thompja01,6,392,0.0
MVP,1958,NL,crandde01,48,336,0.0
MVP,1987,AL,mattido01,92,392,0.0
MVP,1980,AL,brettge01,335,392,17.0
MVP,1914,AL,moriage02,1,64,0.0
MVP,2009,AL,kubelja01,3,392,0.0
MVP,1988,AL,violafr01,39,392,0.0
MVP,2002,NL,sheffga01,6,448,0.0
MVP,1993,NL,jeffegr01,28,392,0.0
MVP,1981,NL,dawsoan01,215,336,2.0
MVP,1984,AL,ripkeca01,1,392,0.0
MVP,1948,NL,hattogr01,3,336,0.0
Rookie of the Year,1951,NL,nichoch02,4,24,4.0
Rookie of the Year,1960,NL,howarfr01,12,24,12.0
MVP,1965,AL,grantmu01,74,280,0.0
Cy Young,1961,ML,fordwh01,9,18,9.0
MVP,1982,NL,smithlo01,218,336,8.0
MVP,1937,AL,applilu01,5,80,0.0
MVP,1926,AL,meusebo01,3,64,0.0
MVP,1963,NL,ellswdi01,7,280,0.0
MVP,1927,AL,heilmha01,35,64,0.0
MVP,1950,NL,musiast01,158,336,1.0
MVP,1935,AL,allenjo02,5,80,0.0
Rookie of the Year,1993,AL,gatesbr01,7,140,0.0
MVP,1958,NL,aaronha01,166,336,0.0
Rookie of the Year,1991,NL,stantmi02,1,120,0.0
Rookie of the Year,1994,NL,trachst01,22,140,0.0
Cy Young,2010,NL,hudsoti01,39,224,0.0
MVP,2009,AL,riverma01,17,392,0.0
MVP,1977,NL,mcgratu01,2,336,0.0
Rookie of the Year,1990,NL,grissma02,1,120,0.0
MVP,1925,AL,combsea01,6,64,0.0
MVP,1914,NL,mccarle01,3,64,0.0
MVP,1969,AL,mclaide01,85,336,0.0
MVP,1931,AL,earnsge01,12,80,
MVP,1950,NL,roberro01,68,336,0.0
MVP,2008,NL,fieldpr01,11,448,0.0
MVP,1984,NL,schmimi01,55,336,0.0
MVP,1974,AL,perryga01,18,336,0.0
Cy Young,1989,AL,eckerde01,3,140,0.0
MVP,1986,NL,krukomi01,8,336,0.0
MVP,1926,AL,pennohe01,32,64,
Cy Young,1981,NL,carltst01,50,120,5.0
MVP,2010,NL,rolensc01,26,448,0.0
MVP,1964,AL,marisro01,4,280,0.0
Cy Young,2002,NL,schilcu01,90,160,0.0
MVP,1986,NL,basske01,73,336,0.0
MVP,1969,AL,jacksre01,110,336,0.0
Rookie of the Year,1952,AL,whitesa02,7,24,7.0
MVP,1964,AL,pizarju01,8,280,0.0
Rookie of the Year,2003,AL,teixema01,9,140,1.0
MVP,2006,NL,utleych01,98,448,0.0
MVP,1994,NL,coninje01,4,392,0.0
MVP,1956,AL,bauerha01,8,336,0.0
Rookie of the Year,1999,AL,garcifr02,45,140,1.0
Rookie of the Year,1982,NL,bedrost01,4,120,0.0
Cy Young,1956,ML,fordwh01,1,16,1.0
MVP,1986,NL,scottmi03,33,336,0.0
MVP,1952,NL,darkal01,24,336,0.0
MVP,1977,AL,sundbji01,30,392,0.0
Rookie of the Year,1966,AL,ageeto01,16,20,16.0
MVP,1974,AL,fingero01,21,336,0.0
MVP,1984,NL,gossari01,34,336,0.0
Cy Young,2000,NL,kileda01,8,160,1.0
MVP,2000,AL,jeterde01,44,392,0.0
Rookie of the Year,1961,NL,willibi01,10,16,10.0
MVP,1951,NL,thomsbo01,62,336,1.0
MVP,1946,NL,walkedi02,159,336,0.0
MVP,1927,NL,stephri01,3,80,0.0
Cy Young,2010,NL,hallaro01,224,224,32.0
MVP,1964,AL,stuardi01,3,280,0.0
MVP,1980,AL,yountro01,8,392,0.0
MVP,1940,AL,aukerel01,1,336,0.0
MVP,1969,AL,messean01,2,336,0.0
Cy Young,1982,AL,petryda01,1,140,0.0
MVP,1984,NL,samueju01,1,336,0.0
MVP,1977,AL,hobsobu01,4,392,0.0
MVP,1966,NL,alouma01,36,280,0.0
MVP,1964,NL,ellissa01,13,280,0.0
MVP,2011,NL,leecl02,12,448,0.0
Cy Young,1989,NL,garresc01,4,120,0.0
MVP,1936,AL,dickebi01,29,80,
MVP,1943,NL,marioma01,20,336,0.0
