playerid,last_name,first_name,season_id,conference,league_id,games_played,minutes,points,o_rebounds,d_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,fg_attempted,fg_made,ft_attempted,ft_made,three_attempted,three_made
lucasje01,Lucas,Jerry,1965,East,NBA,1,23,10.0,,,19.0,0.0,,,,,11.0,4.0,2.0,2.0,,
ricegl01,Rice,Glen,1997,East,NBA,1,16,16.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,6.0,0.0,0.0,6.0,4.0
stackje01,Stackhouse,Jerry,2000,East,NBA,1,15,7.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,8.0,3.0,2.0,0.0,1.0,1.0
russebi01,Russell,Bill,1964,East,NBA,1,33,17.0,,,13.0,5.0,,,,,12.0,7.0,9.0,3.0,,
mcdyean01,McDyess,Antonio,2000,West,NBA,1,15,8.0,3.0,5.0,8.0,2.0,1.0,0.0,0.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0
danieme01,Daniels,Mel,1971,West,ABA,1,26,21.0,1.0,8.0,9.0,1.0,,,1.0,4.0,14.0,8.0,8.0,5.0,0.0,0.0
meschto01,Meschery,Tom,1962,West,NBA,1,8,3.0,,,1.0,1.0,,,,,3.0,1.0,2.0,1.0,,
mariosh01,Marion,Shawn,2005,West,NBA,1,17,14.0,4.0,4.0,8.0,0.0,1.0,1.0,0.0,1.0,9.0,5.0,7.0,4.0,0.0,0.0
jonesla01,Jones,Larry,1967,West,ABA,1,28,14.0,3.0,10.0,13.0,2.0,,,3.0,3.0,10.0,6.0,3.0,2.0,0.0,0.0
shuege01,Shue,Gene,1958,West,NBA,1,31,13.0,,,4.0,3.0,,,,,11.0,6.0,2.0,1.0,,
mcginge01,McGinnis,George,1973,West,ABA,1,30,14.0,7.0,4.0,11.0,1.0,1.0,0.0,8.0,3.0,21.0,7.0,0.0,0.0,0.0,0.0
oaklech01,Oakley,Charles,1993,East,NBA,1,11,2.0,,,3.0,3.0,,,,,3.0,1.0,0.0,0.0,,
dampilo01,Dampier,Louie,1968,East,ABA,1,38,14.0,0.0,2.0,2.0,6.0,,,2.0,2.0,14.0,5.0,3.0,3.0,4.0,1.0
jabalwa01,Jabali,Warren,1973,West,ABA,1,24,6.0,1.0,1.0,2.0,3.0,1.0,0.0,4.0,2.0,15.0,3.0,1.0,0.0,5.0,0.0
smithad01,Smith,Adrian,1965,East,NBA,1,26,24.0,,,8.0,3.0,,,,,18.0,9.0,6.0,6.0,,
garneke01,Garnett,Kevin,2006,West,NBA,1,14,7.0,4.0,2.0,6.0,4.0,1.0,0.0,2.0,1.0,8.0,3.0,2.0,1.0,0.0,0.0
