year,lgid,tmid,franchid,confid,divid,rank,confrank,playoff,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,o_tmrebound,d_tmrebound,homewon,homelost,awaywon,awaylost,neutwon,neutloss,confwon,confloss,divwon,divloss,pace,won,lost,games,min,arena,attendance,bbtmid
1957,NBA,DET,DET,,WD,2,0,DF,Detroit Pistons,2746,7295,2093,2774,0,0,0,0,5168,1264,1807,0,0,0,7585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7754,783,0,14,14,13,18,6,7,0,0,18,18,0,33,39,72,17380.0,Detroit Olympia,32767,DET
1958,NBA,DET,DET,,WD,3,0,DS,Detroit Pistons,2811,7305,1943,2627,0,0,0,0,4860,1317,1881,0,0,0,7565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7657,735,0,13,17,8,20,7,7,0,0,17,19,0,28,44,72,17455.0,Detroit Olympia,32767,DET
1959,NBA,DET,DET,,WD,2,0,DS,Detroit Pistons,3146,7920,2075,2847,0,0,0,0,5491,1472,1983,0,0,0,8367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8624,1003,0,17,14,6,21,7,10,0,0,20,19,0,30,45,75,18175.0,Detroit Olympia,32767,DET
1960,NBA,DET,DET,,WD,3,0,DS,Detroit Pistons,3481,8357,2408,3240,0,0,0,0,5813,1866,2157,0,0,0,9370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9558,910,0,20,11,3,19,11,15,0,0,18,21,0,34,45,79,19035.0,Detroit Olympia,32767,DET
1960,NBA,LAL,LAL,,WD,2,0,DF,Los Angeles Lakers,3401,8430,2204,2999,0,0,0,0,5816,1728,2043,0,0,0,9006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9010,639,0,16,12,8,20,12,11,0,0,19,20,0,36,43,79,19035.0,Los Angeles Memorial Sports Arena,32767,LAL
1961,NBA,DET,DET,,WD,3,0,DF,Detroit Pistons,3472,8366,2290,3142,0,0,0,0,5823,1723,2040,0,0,0,9234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9369,871,0,16,14,8,17,13,12,0,0,24,22,0,37,43,80,19250.0,Cobo Arena,32767,DET
1961,NBA,LAL,LAL,,WD,1,0,F,Los Angeles Lakers,3552,8315,2378,3240,0,0,0,0,5600,1878,2057,0,0,0,9482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9306,548,0,26,5,18,13,10,8,0,0,33,13,0,54,26,80,19425.0,Los Angeles Memorial Sports Arena,32767,LAL
1962,NBA,DET,DET,,WD,3,0,DS,Detroit Pistons,3534,8188,2044,2852,0,0,0,0,5315,1731,2181,0,0,0,9112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9408,790,0,14,16,8,19,12,11,0,0,19,27,0,34,46,80,19300.0,Cobo Arena,32767,DET
1962,NBA,LAL,LAL,,WD,1,0,F,Los Angeles Lakers,3506,7948,2230,2931,0,0,0,0,5282,1739,1775,0,0,0,9242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8992,711,0,27,7,20,17,6,3,0,0,33,13,0,53,27,80,19350.0,Los Angeles Memorial Sports Arena,32767,LAL
1963,NBA,DET,DET,,WD,5,0,,Detroit Pistons,3346,7943,1928,2685,0,0,0,0,5145,1633,2235,0,0,0,8620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9238,685,0,9,21,6,25,8,11,0,0,13,33,0,23,57,80,19300.0,Cobo Arena,32767,DET
1963,NBA,LAL,LAL,,WD,3,0,DS,Los Angeles Lakers,3272,7438,2230,2910,0,0,0,0,5025,1676,1997,0,0,0,8774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8692,629,0,24,12,15,21,3,5,0,0,24,22,0,42,38,80,19275.0,Los Angeles Memorial Sports Arena,32767,LAL
1964,NBA,DET,DET,,WD,4,0,,Detroit Pistons,3467,8297,1747,2537,0,0,0,0,5394,1609,2058,0,0,0,8681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8954,690,0,13,17,11,20,7,12,0,0,18,22,0,31,49,80,19325.0,Cobo Arena,32767,DET
1964,NBA,LAL,LAL,,WD,1,0,F,Los Angeles Lakers,3336,7628,2276,2984,0,0,0,0,5231,1601,1998,0,0,0,8948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8795,618,0,25,13,21,16,3,2,0,0,25,15,0,49,31,80,19350.0,Los Angeles Memorial Sports Arena,32767,LAL
1965,NBA,DET,DET,,WD,5,0,,Detroit Pistons,3475,8502,1877,2734,0,0,0,0,5427,1569,2016,0,0,0,8827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9373,680,0,13,17,4,22,5,19,0,0,11,29,0,22,58,80,19200.0,Cobo Arena,32767,DET
1965,NBA,LAL,LAL,,WD,1,0,F,Los Angeles Lakers,3597,8109,2363,3057,0,0,0,0,5334,1936,2035,0,0,0,9557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9309,611,0,28,11,13,21,4,3,0,0,29,11,0,45,35,80,19250.0,Los Angeles Memorial Sports Arena,32767,LAL
