id,year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l
2,1946,QF,M,NYK,NBA,CLR,NBA,2,1
11,1947,DT,A,BLB,NBA,CHS,NBA,1,0
31,1949,DSF,J,AND,NBA,TRI,NBA,2,1
34,1950,DSF,J,NYK,NBA,BOS,NBA,2,0
39,1950,DSF,J,ROC,NBA,FTW,NBA,2,1
42,1951,DSF,J,SYR,NBA,PHW,NBA,2,1
44,1951,DF,K,MNL,NBA,ROC,NBA,3,1
50,1952,F,O,MNL,NBA,NYK,NBA,4,1
75,1956,DF,K,BOS,NBA,SYR,NBA,3,0
86,1957,DSF,J,DET,NBA,CIN,NBA,2,0
87,1958,DF,K,BOS,NBA,SYR,NBA,4,3
88,1958,DSF,J,SYR,NBA,NYK,NBA,2,0
110,1962,DF,K,LAL,NBA,STL,NBA,4,3
115,1963,DF,K,SFW,NBA,STL,NBA,4,3
118,1964,DSF,J,PHI,NBA,CIN,NBA,3,1
123,1965,DSF,J,BOS,NBA,CIN,NBA,3,2
124,1965,F,O,BOS,NBA,LAL,NBA,4,3
128,1966,DSF,J,BOS,NBA,NYK,NBA,3,1
147,1968,DSF,J,LAL,NBA,SFW,NBA,4,2
196,1975,F,O,BOS,NBA,PHO,NBA,4,2
199,1975,CSF,M,GSW,NBA,DET,NBA,4,2
207,1976,CF,N,POR,NBA,LAL,NBA,4,0
222,1977,CSF,M,DEN,NBA,MIL,NBA,4,3
225,1978,CFR,L,PHI,NBA,NJN,NBA,2,0
227,1978,CSF,M,WSB,NBA,ATL,NBA,4,3
232,1978,CSF,M,PHO,NBA,KCK,NBA,4,1
234,1979,CF,N,PHI,NBA,BOS,NBA,4,1
247,1980,CFR,L,PHI,NBA,IND,NBA,2,0
248,1980,CSF,M,BOS,NBA,CHI,NBA,4,0
257,1981,CFR,L,WSB,NBA,NJN,NBA,2,0
258,1981,CSF,M,BOS,NBA,WSB,NBA,4,1
284,1983,F,O,BOS,NBA,LAL,NBA,4,3
285,1983,CF,N,LAL,NBA,PHO,NBA,4,2
286,1983,CFR,L,LAL,NBA,KCK,NBA,3,0
294,1984,CFR,L,BOS,NBA,CLE,NBA,3,1
295,1984,CFR,L,MIL,NBA,CHI,NBA,3,1
298,1984,CSF,M,BOS,NBA,DET,NBA,4,2
304,1984,CFR,L,UTA,NBA,HOU,NBA,3,2
307,1985,CF,N,BOS,NBA,MIL,NBA,4,0
309,1985,CFR,L,MIL,NBA,NJN,NBA,3,0
310,1985,CFR,L,ATL,NBA,DET,NBA,3,1
313,1985,CSF,M,MIL,NBA,PHI,NBA,4,3
320,1985,CSF,M,HOU,NBA,DEN,NBA,4,2
322,1986,CF,N,BOS,NBA,DET,NBA,4,3
324,1986,CFR,L,DET,NBA,WSB,NBA,3,0
326,1986,CFR,L,MIL,NBA,PHI,NBA,3,2
331,1986,CFR,L,HOU,NBA,POR,NBA,3,1
335,1986,CSF,M,SEA,NBA,HOU,NBA,4,2
345,1987,CFR,L,LAL,NBA,SAS,NBA,3,0
348,1987,CFR,L,DEN,NBA,SEA,NBA,3,2
349,1987,CSF,M,DAL,NBA,DEN,NBA,4,2
356,1988,CSF,M,DET,NBA,MIL,NBA,4,0
363,1988,CSF,M,LAL,NBA,SEA,NBA,4,0
364,1988,CSF,M,PHO,NBA,GSW,NBA,4,1
384,1990,CFR,L,DET,NBA,ATL,NBA,3,2
385,1990,CSF,M,CHI,NBA,PHI,NBA,4,1
387,1990,F,O,CHI,NBA,LAL,NBA,4,1
392,1990,CFR,L,POR,NBA,SEA,NBA,3,2
396,1991,CFR,L,BOS,NBA,IND,NBA,3,0
398,1991,CFR,L,CLE,NBA,NJN,NBA,3,1
405,1991,CFR,L,POR,NBA,LAL,NBA,3,1
406,1991,CFR,L,SEA,NBA,GSW,NBA,3,1
407,1991,CFR,L,UTA,NBA,LAC,NBA,3,2
414,1992,CFR,L,CLE,NBA,NJN,NBA,3,2
442,1994,CFR,L,CHI,NBA,CHH,NBA,3,1
447,1994,F,O,HOU,NBA,ORL,NBA,4,0
448,1994,CF,N,HOU,NBA,SAS,NBA,4,2
454,1994,CSF,M,HOU,NBA,PHO,NBA,4,3
455,1995,CF,N,CHI,NBA,ORL,NBA,4,0
461,1995,CSF,M,ORL,NBA,ATL,NBA,4,1
464,1995,CFR,L,HOU,NBA,LAL,NBA,3,1
467,1995,CFR,L,UTA,NBA,POR,NBA,3,2
471,1996,CFR,L,CHI,NBA,WSB,NBA,3,0
472,1996,CFR,L,NYK,NBA,CHH,NBA,3,0
492,1997,F,O,CHI,NBA,UTA,NBA,4,2
494,1997,CFR,L,LAL,NBA,POR,NBA,3,1
512,1998,CFR,L,UTA,NBA,SAC,NBA,3,2
521,1999,CSF,M,NYK,NBA,MIA,NBA,4,3
530,2000,CF,N,PHI,NBA,MIL,NBA,4,3
532,2000,CFR,L,MIL,NBA,ORL,NBA,3,1
540,2000,CFR,L,SAC,NBA,PHO,NBA,3,1
542,2000,CFR,L,DAL,NBA,UTA,NBA,3,2
548,2001,CFR,L,DET,NBA,TOR,NBA,3,2
570,2002,CFR,L,LAL,NBA,MIN,NBA,4,2
574,2002,CSF,M,DAL,NBA,SAC,NBA,4,3
584,2003,CFR,L,SAS,NBA,MEM,NBA,4,0
607,2005,CFR,L,CLE,NBA,WAS,NBA,4,2
608,2005,CFR,L,MIA,NBA,CHI,NBA,4,2
610,2005,CSF,M,MIA,NBA,NJN,NBA,4,1
614,2005,CFR,L,DAL,NBA,MEM,NBA,4,0
623,2006,CFR,L,DET,NBA,ORL,NBA,4,0
644,2007,CFR,L,LAL,NBA,DEN,NBA,4,0
654,2008,CFR,L,BOS,NBA,CHI,NBA,4,3
655,2008,CSF,M,CLE,NBA,ATL,NBA,4,0
658,2008,CF,N,LAL,NBA,DEN,NBA,4,2
666,2009,CFR,L,ORL,NBA,CHA,NBA,4,0
709,2011,CSF,M,OKC,NBA,LAL,NBA,4,1
712,1988,F,O,DET,NBA,LAL,NBA,4,0
717,1967,DSF,B,PTP,ABA,INA,ABA,3,0
720,1968,F,D,OAK,ABA,INA,ABA,4,1
722,1968,DF,C,OAK,ABA,NOB,ABA,4,0
725,1968,DSF,B,NOB,ABA,DLC,ABA,4,3
727,1969,F,D,INA,ABA,LAS,ABA,4,2
729,1969,DF,C,LAS,ABA,DNR,ABA,4,1
756,1973,F,D,NYA,ABA,UTS,ABA,4,1
757,1973,DF,C,NYA,ABA,KEN,ABA,4,0
758,1973,DF,C,UTS,ABA,INA,ABA,4,3
759,1973,DSF,B,KEN,ABA,CAR,ABA,4,0
761,1973,DSF,B,INA,ABA,SAA,ABA,4,3
763,1973,DT,A,SDA,ABA,DNR,ABA,1,0
766,1974,DF,C,INA,ABA,DNA,ABA,4,3
