id,playerid,year,stint,tmid,lgid,gp,gs,minutes,points,orebounds,drebounds,rebounds,assists,steals,blocks,turnovers,pf,fgattempted,fgmade,ftattempted,ftmade,threeattempted,threemade,postgp,postgs,postminutes,postpoints,postorebounds,postdrebounds,postrebounds,postassists,poststeals,postblocks,postturnovers,postpf,postfgattempted,postfgmade,postftattempted,postftmade,postthreeattempted,postthreemade,note
12,abdulka01,1973,1,MIL,NBA,81,0,3548,2191,287,891,1178,386,112,283,0,238,1759,948,420,295,0,0,16,0,758,515,67,186,253,78,20,39,0,41,402,224,91,67,0,0,
13,abdulka01,1974,1,MIL,NBA,65,0,2747,1949,194,718,912,264,65,212,0,205,1584,812,426,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,abdulka01,1978,1,LAL,NBA,80,0,3157,1903,207,818,1025,431,76,316,282,230,1347,777,474,349,0,0,8,0,367,228,18,83,101,38,8,33,29,26,152,88,62,52,0,0,
18,abdulka01,1979,1,LAL,NBA,82,0,3143,2034,190,696,886,371,81,280,297,216,1383,835,476,364,1,0,15,0,618,479,51,130,181,46,17,58,55,51,346,198,105,83,0,0,
19,abdulka01,1980,1,LAL,NBA,80,0,2976,2095,197,624,821,272,59,228,249,244,1457,836,552,423,1,0,3,0,134,80,13,37,50,12,3,8,11,14,65,30,28,20,0,0,
722,artesro01,2003,1,IND,NBA,73,0,2714,1333,100,285,385,272,152,50,202,194,1112,468,439,322,242,75,15,0,585,276,24,74,98,48,21,16,37,45,259,98,85,61,66,19,
1835,blaylmo01,1993,1,ATL,NBA,81,0,2915,1118,117,307,424,789,212,44,196,144,1079,444,159,116,341,114,11,0,415,143,16,39,55,98,24,5,32,22,141,48,30,25,64,22,
2802,bryanko01,1999,1,LAL,NBA,66,0,2524,1485,108,308,416,323,106,62,182,220,1183,554,403,331,144,46,22,0,857,465,26,72,98,97,32,32,55,89,394,174,126,95,64,22,
2805,bryanko01,2002,1,LAL,NBA,82,0,3402,2461,106,458,564,481,181,67,288,218,1924,868,713,601,324,124,12,0,531,385,16,45,61,62,14,1,42,35,317,137,104,86,62,25,
2806,bryanko01,2003,1,LAL,NBA,65,0,2447,1557,103,256,359,330,112,28,171,176,1178,516,533,454,217,71,22,0,973,539,18,86,104,121,42,7,61,59,460,190,166,135,97,24,
2808,bryanko01,2005,1,LAL,NBA,80,0,3277,2832,71,354,425,360,147,30,250,233,2173,978,819,696,518,180,7,0,314,195,4,40,44,36,8,3,33,25,145,72,48,37,35,14,
2809,bryanko01,2006,1,LAL,NBA,77,0,3140,2430,75,364,439,413,111,36,255,205,1757,813,768,667,398,137,5,0,215,164,1,25,26,22,5,2,22,10,130,60,37,34,28,10,
2810,bryanko01,2007,1,LAL,NBA,82,0,3193,2323,94,422,516,442,151,40,257,227,1690,775,742,623,415,150,21,0,863,633,18,101,119,117,35,8,70,59,463,222,194,157,106,32,
2811,bryanko01,2008,1,LAL,NBA,82,0,2965,2201,90,339,429,399,120,37,210,189,1712,800,564,483,336,118,23,23,940,695,19,104,123,126,38,21,59,59,530,242,197,174,106,37,
2981,busedo01,1976,1,IND,NBA,81,0,2947,646,66,204,270,685,281,16,0,129,639,266,145,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3650,chambwi01,1971,1,LAL,NBA,82,0,3469,1213,0,0,1572,329,0,0,0,196,764,496,524,221,0,0,15,0,703,220,0,0,315,49,0,0,0,47,142,80,122,60,0,0,
3651,chambwi01,1972,1,LAL,NBA,82,0,3542,1084,0,0,1526,365,0,0,0,191,586,426,455,232,0,0,17,0,801,177,0,0,383,60,0,0,0,48,116,64,98,49,0,0,
3743,cheekma01,1982,1,PHI,NBA,79,0,2465,990,53,156,209,543,184,31,179,182,745,404,240,181,6,1,13,0,483,212,11,28,39,91,26,2,34,23,165,83,64,45,2,1,
3746,cheekma01,1985,1,PHI,NBA,82,0,3270,1266,55,180,235,753,207,28,238,160,913,490,335,282,17,4,12,0,519,250,13,43,56,85,13,3,32,18,182,94,73,62,7,0,
4380,cowenda01,1975,1,BOS,NBA,78,0,3101,1479,335,911,1246,325,94,71,0,314,1305,611,340,257,0,0,18,0,798,378,87,209,296,83,22,13,0,85,341,156,87,66,0,0,
4722,dandrbo01,1978,1,WSB,NBA,78,0,2629,1589,109,338,447,365,71,57,222,259,1260,629,401,331,0,0,19,0,787,439,45,95,140,105,14,15,59,71,368,174,110,91,0,0,
5152,debusda01,1969,1,NYK,NBA,79,0,2627,1152,0,0,790,194,0,0,0,244,1082,488,256,176,0,0,19,0,701,305,0,0,220,46,0,0,0,63,309,130,68,45,0,0,
5153,debusda01,1970,1,NYK,NBA,81,0,2891,1263,0,0,901,220,0,0,0,237,1243,523,312,217,0,0,12,0,488,197,0,0,156,22,0,0,0,40,202,84,44,29,0,0,
5154,debusda01,1971,1,NYK,NBA,80,0,3072,1233,0,0,901,291,0,0,0,219,1218,520,265,193,0,0,16,0,616,266,0,0,193,37,0,0,0,51,242,109,64,48,0,0,
5155,debusda01,1972,1,NYK,NBA,77,0,2827,1258,0,0,787,259,0,0,0,215,1224,532,260,194,0,0,17,0,632,265,0,0,179,58,0,0,0,57,265,117,40,31,0,0,
5156,debusda01,1973,1,NYK,NBA,71,0,2699,1282,134,623,757,253,67,39,0,222,1212,559,217,164,0,0,12,0,404,144,25,74,99,38,7,4,0,36,166,63,29,18,0,0,
5720,dumarjo01,1989,1,DET,NBA,75,0,2578,1335,60,152,212,368,63,2,145,129,1058,508,330,297,55,22,20,0,754,364,18,26,44,95,22,0,54,37,284,130,113,99,19,5,
5722,dumarjo01,1991,1,DET,NBA,82,0,3192,1635,82,106,188,375,71,12,193,145,1311,587,475,412,120,49,5,0,221,84,5,3,8,16,5,1,7,11,68,32,19,15,10,5,
5723,dumarjo01,1992,1,DET,NBA,77,0,3094,1809,63,85,148,308,78,7,138,141,1454,677,397,343,299,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5745,duncati01,1999,1,SAS,NBA,74,0,2875,1716,262,656,918,234,66,165,242,210,1281,628,603,459,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5746,duncati01,2000,1,SAS,NBA,82,0,3174,1820,259,738,997,245,70,192,242,247,1406,702,662,409,27,7,13,0,526,317,54,134,188,49,14,35,50,43,246,120,119,76,1,1,
5747,duncati01,2001,1,SAS,NBA,82,0,3329,2089,268,774,1042,307,61,203,263,217,1504,764,701,560,10,1,9,0,380,248,28,102,130,45,6,39,37,22,181,82,101,83,3,1,
5748,duncati01,2002,1,SAS,NBA,81,0,3181,1884,259,784,1043,316,55,237,248,231,1392,714,634,450,22,6,24,0,1021,593,96,273,369,127,15,79,76,78,412,218,232,157,7,0,
