year,lgid,tmid,franchid,confid,divid,rank,confrank,playoff,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,o_tmrebound,d_tmrebound,homewon,homelost,awaywon,awaylost,neutwon,neutloss,confwon,confloss,divwon,divloss,pace,won,lost,games,min,arena,attendance,bbtmid
2001,NBA,HOU,HOU,WC,MW,5,11,,Хьюстон Рокетс,2837,6629,1402,1893,496,1480,1025,2411,3436,1482,1476,537,1156,445,7572,3191,6875,1221,370,1028,1623,1045,2507,3552,1838,1647,576,988,415,7973,0,0,18,23,10,31,0,0,18,34,9,15,0,28,54,82,19980.0,Центр Compaq,32767,HOU
2001,NBA,ATL,ATL,EC,CD,6,12,,Атланта Хокс,2901,6610,1486,1942,423,1194,955,2445,3400,1656,1702,667,1275,350,7711,3065,6675,1456,472,1329,1957,1004,2521,3525,1856,1647,705,1239,509,8058,0,0,23,18,10,31,0,0,21,33,11,17,0,33,49,82,19780.0,Филипс Арена,32767,ATL
1989,NBA,NJN,NJN,EC,AT,6,13,,Нью-Джерси Нетс,3157,7415,1754,2350,140,506,1363,2324,3687,1475,1952,774,1360,481,8208,3403,7020,1906,141,420,2491,1144,2590,3734,1871,1886,768,1419,478,8853,0,0,13,28,4,37,0,0,13,41,9,17,0,17,65,82,19705.0,Брендан Берри Арена,32767,NJN
1949,NBA,SYR,PHI,,ED,1,0,"Здравствуйте! Я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Сиракузские Националс,1869,5276,1691,2396,0,0,0,0,0,1473,1833,0,0,0,5429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4908,0,0,31,1,15,12,5,0,0,0,9,1,0,51,13,64,15560.0,Колизей на выставке штата,0,SYR
1947,PBLA,OKD,OKD,,SO,6,0,,Оклахома-Сити Драйлеры,79,0,58,93,0,0,0,0,0,0,91,0,0,0,216,80,0,64,108,0,0,0,0,0,0,71,0,0,0,224,0,0,1,1,1,1,0,1,0,0,0,0,0,2,3,5,,Муниципальный аудиториум,0,
1967,NBA,LAL,LAL,,WD,2,0,"Здравствуйте! Я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Лос-Анджелес Лейкерс,3827,8031,2283,3143,0,0,0,0,5225,1983,2152,0,0,0,9937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9477,654,0,30,11,18,19,4,0,0,0,28,12,0,52,30,82,19865.0,Форум,32767,LAL
1991,NBA,HOU,HOU,WC,MW,3,9,,Хьюстон Рокетс,3273,6894,1491,2020,329,959,1074,2432,3506,2058,1769,656,1378,571,8366,3391,7317,1529,196,574,1985,1232,2406,3638,2131,1673,743,1174,384,8507,0,0,28,13,14,27,0,0,26,28,12,14,0,42,40,82,19880.0,Встреча,32767,HOU
1997,NBA,MIL,MIL,EC,CD,7,13,,Милвоки Бакс,2918,6399,1663,2167,249,703,1035,2236,3271,1649,1915,733,1383,357,7748,2911,6319,1779,304,929,2393,1001,2260,3261,1746,1808,765,1348,398,7905,0,0,21,20,15,26,0,0,20,34,9,19,0,36,46,82,19930.0,Брадли-центр,32767,MIL
2005,NBA,BOS,BOS,EC,AT,3,11,,Бостон Селтикс,2951,6322,1664,2204,467,1290,813,2432,3245,1716,2033,578,1359,422,8033,2944,6462,1825,446,1265,2457,910,2369,3279,1763,1837,688,1210,404,8159,0,0,21,20,12,29,0,0,19,33,10,6,0,33,49,82,19880.0,ТД Банкнорт Гарден,32767,BOS
1998,NBA,ATL,ATL,EC,CD,2,4,Компьютерная наука,Атланта Хокс,1539,3760,1040,1422,197,644,676,1499,2175,782,987,346,745,260,4315,1598,3873,784,190,634,1076,581,1369,1950,895,1202,379,675,243,4170,0,0,16,9,15,10,0,0,27,18,15,8,0,31,19,50,12075.0,Грузинский дом,32767,ATL
