coachid,year,tmid,lgid,stint,notes,g,w,l,t,postg,postw,postl,postt
kellyre01c,1968,LAK,NHL,1,,76,24,42,10,11,4,7,0
moorege01c,1974,IND,WHA,1,,78,18,57,3,,,,
neilsro01c,1998,PHI,NHL,1,,82,37,26,19,6,2,4,0
martija02c,2006,FLO,NHL,1,,82,35,31,16,,,,
rossar01c,1929,BOS,NHL,1,,44,38,5,1,6,3,3,0
macmibi01c,1980,COR,NHL,1,,80,22,45,13,,,,
dudleri01c,1989,BUF,NHL,1,,80,45,27,8,6,2,4,0
cherrdo01c,1976,BOS,NHL,1,,80,49,23,8,14,8,6,0
schmimi01c,1955,BOS,NHL,1,,70,23,34,13,,,,
suttebr02c,2007,NJD,NHL,1,,82,46,29,7,5,1,4,0
dayha01c,1944,TOR,NHL,1,,50,24,22,4,13,8,5,0
johnsbo02c,1985,CAL,NHL,1,,80,40,31,9,22,12,10,0
bergemi03c,1981,QUE,NHL,1,,80,33,31,16,16,7,9,0
brophjo01c,1987,TOR,NHL,1,,80,21,49,10,6,2,4,0
francem01c,1982,STL,NHL,1,,32,10,19,3,,,,
eddolfr01c,1954,CHI,NHL,1,,70,13,40,17,,,,
pilouru01c,1974,WIJ,WHA,3,,28,16,9,3,,,,
martija02c,2009,MTL,NHL,1,,82,39,33,10,19,9,10,0
patrile01c,1915,VA1,PCHA,1,,18,5,13,0,,,,
watsoph01c,1959,NYR,NHL,1,,15,3,9,3,,,,
wilsojo01c,1976,COR,NHL,1,,80,20,46,14,,,,
arboual01c,1989,NYI,NHL,1,,80,31,38,11,5,1,4,0
nykolmi01c,1980,TOR,NHL,2,,40,15,15,10,3,0,3,0
berenre01c,1981,STL,NHL,1,,68,28,34,6,,,,
lalonne01c,1930,OTS,NHL,1,,44,10,30,4,,,,
magnuke01c,1981,CHI,NHL,1,,52,18,24,10,,,,
robinla01c,1995,LAK,NHL,1,,82,24,40,18,,,,
savarde01c,2006,CHI,NHL,2,,61,24,30,7,,,,
irvindi01c,1931,TOR,NHL,2,,43,23,15,5,7,5,1,1
bergemi03c,1983,QUE,NHL,1,,80,42,28,10,9,5,4,0
quinnpa01c,1978,PHI,NHL,2,,30,18,8,4,8,3,5,0
mauripa01c,2007,TOR,NHL,1,,82,36,35,11,,,,
oconnmi01c,2002,BOS,NHL,2,,9,3,3,3,5,1,4,0
johnsed01c,1982,PIT,NHL,1,,80,18,53,9,,,,
hareto01c,1909,COB,NHA,1,,12,4,8,0,,,,
schmimi01c,1959,BOS,NHL,1,,70,28,34,8,,,,
johnsto01c,1972,BOS,NHL,1,,52,31,16,5,,,,
quinnmi01c,1915,QU1,NHA,1,,24,10,12,2,,,,
gormato01c,1936,MTM,NHL,1,,48,22,17,9,5,2,3,0
boudrbr01c,2009,WAS,NHL,1,,82,54,15,13,7,3,4,0
hartlbo01c,1999,COL,NHL,1,,82,42,29,11,17,11,6,0
delveal01c,1974,DET,NHL,1,,80,23,45,12,,,,
wilsoro02c,2000,WAS,NHL,1,,82,41,31,10,6,2,4,0
rossar01c,1932,BOS,NHL,1,,48,25,15,8,5,2,3,0
quinnpa01c,1990,VAN,NHL,2,,26,9,13,4,6,2,4,0
plantja01c,1973,QUN,WHA,1,,78,38,36,4,,,,
lowro01c,1998,EDM,NHL,1,,82,33,37,12,4,0,4,0
creampi01c,1987,PIT,NHL,1,,80,36,35,9,,,,
bowmasc01c,1998,DET,NHL,2,,77,39,31,7,10,6,4,0
boondi01c,1913,MOW,NHA,1,,15,4,11,0,,,,
sonmogl01c,1972,MFS,WHA,1,,59,28,28,3,,,,
murrate01c,1991,WAS,NHL,1,,80,45,27,8,7,3,4,0
brookhe01c,1987,MNS,NHL,1,,80,19,48,13,,,,
lalonne01c,1925,SAS,WCHL,1,,30,18,11,1,2,0,1,1
hitchke01c,1995,DAL,NHL,2,,43,15,23,5,,,,
martija02c,1996,OTT,NHL,1,,82,31,36,15,7,3,4,0
murdobo01c,1990,WIN,NHL,1,,80,26,43,11,,,,
barkldo01c,1970,DET,NHL,2,,40,10,23,7,,,,
pulfobo01c,1973,LAK,NHL,1,,78,33,33,12,5,1,4,0
murraan01c,2000,LAK,NHL,1,,82,38,31,13,13,7,6,0
arboual01c,1991,NYI,NHL,1,,80,34,35,11,,,,
abelsi01c,1962,DET,NHL,1,,70,32,25,13,11,5,6,0
macdopa01c,1981,LAK,NHL,1,,42,13,24,5,,,,
satorte01c,1986,NYR,NHL,1,,19,5,10,4,,,,
patrile01c,1933,NYR,NHL,1,,48,21,19,8,2,0,1,1
muckljo01c,1997,NYR,NHL,2,,25,8,15,2,,,,
neilsro01c,1989,NYR,NHL,1,,80,36,31,13,10,5,5,0
quinnpa01c,1998,TOR,NHL,1,,82,45,30,7,17,9,8,0
agnewga01c,2006,CBS,NHL,2,interim,5,0,4,1,,,,
abelsi01c,1961,DET,NHL,1,,70,23,33,14,,,,
wilsojo01c,1978,PIT,NHL,1,,80,36,31,13,7,2,5,0
hlinkiv01c,2000,PIT,NHL,1,,82,42,31,9,18,9,9,0
macneal01c,1979,ATF,NHL,1,,80,35,32,13,4,1,3,0
laviope01c,2001,NYI,NHL,1,,82,42,32,8,7,3,4,0
richama01c,1972,QUN,WHA,1,,2,1,1,0,,,,
reaybi01c,1957,TOR,NHL,1,,70,21,38,11,,,,
reganla01c,1971,LAK,NHL,1,,10,2,7,1,,,,
loughcl01c,1936,CHI,NHL,1,,48,14,27,7,,,,
irvindi01c,1945,MTL,NHL,1,,50,28,17,5,9,8,1,0
brophjo01c,1978,BIR,WHA,1,,80,32,42,6,,,,
murrate01c,1999,FLO,NHL,1,,82,43,33,6,4,0,4,0
vigneal01c,2000,MTL,NHL,1,,20,5,13,2,,,,
gillda01c,1926,OTS,NHL,1,,44,30,10,4,6,3,0,3
simpste01c,1995,WIN,NHL,1,,82,36,40,6,6,2,4,0
patrile01c,1937,NYR,NHL,1,,48,27,15,6,3,1,2,0
holmgpa01c,1992,HAR,NHL,1,,84,26,52,6,,,,
lalonne01c,1919,MTL,NHL,1,,24,13,11,0,,,,
schmimi01c,1965,BOS,NHL,1,,70,21,43,6,,,,
tortojo01c,2006,TBL,NHL,1,,82,44,33,5,6,2,4,0
bowneri01c,1997,NYI,NHL,1,,63,22,32,9,,,,
abelsi01c,1967,DET,NHL,1,,74,27,35,12,,,,
cheevge01c,1983,BOS,NHL,1,,80,49,25,6,3,0,3,0
saccojo01c,2009,COL,NHL,1,,82,43,30,9,6,2,4,0
lalonne01c,1923,SAC,WCHL,1,,30,15,12,3,,,,
vigneal01c,2007,VAN,NHL,1,,82,39,33,10,,,,
inglibi01c,1978,BUF,NHL,2,,56,28,18,10,3,1,2,0
trembma02c,1996,MTL,NHL,1,,82,31,36,15,5,1,4,0
ivanto01c,1953,DET,NHL,1,,70,37,19,14,12,8,4,0
tessior01c,1982,CHI,NHL,1,,80,47,23,10,13,7,6,0
abelsi01c,1960,DET,NHL,1,,70,25,29,16,11,6,5,0
johnsma01c,1974,CLF,NHL,1,,48,11,28,9,,,,
arniesc01c,2010,CBS,NHL,1,,82,34,35,13,,,,
youngwe02c,1909,HAI,NHA,1,,12,4,8,0,,,,
ivanto01c,1949,DET,NHL,1,,70,37,19,14,14,8,6,0
demerja01c,1987,DET,NHL,1,,80,41,28,11,16,9,7,0
keenami01c,1985,PHI,NHL,1,,80,53,23,4,5,2,3,0
gretzwa01c,2009,PHO,NHL,1,,82,50,25,7,7,3,4,0
pagepi01c,1997,ANA,NHL,1,,82,26,43,13,,,,
ruffli01c,2009,BUF,NHL,1,,82,45,27,10,6,2,4,0
