playerid,year,ppa,sha
lawlepa01,1987,3,
pederma01,1990,7,
iafraal01,1990,11,1
picarro02,1989,1,1
archida01,1989,4,
laughcr01,1987,3,
crossdo01,1990,21,
adamsgr01,1988,1,
klimape01,1989,11,
hunteda01,1988,,1
petitmi01,1987,9,1
momesse01,1990,1,
quinnda01,1989,15,1
hardyma01,1988,5,
ledyagr01,1988,6,
fentopa01,1990,2,
mcdonhu01,1989,1,
hrdinji01,1990,4,
nichobe01,1989,37,1
josepch01,1987,6,
dineego01,1987,2,
kennede01,1988,,2
hardyma01,1987,10,1
ruffli01,1988,1,
kontoch01,1987,6,
broteaa01,1990,1,
mcbeawa01,1988,1,
kaspest01,1988,6,2
quinnda01,1990,18,
linseke01,1989,8,
rousebo01,1988,,1
manthmo01,1988,9,
smaildo01,1990,1,1
macivno01,1988,19,
murphla01,1990,19,
malondo01,1988,2,
carsoli01,1987,1,1
huberwi01,1987,14,
erickbr01,1987,6,
thibagi01,1989,2,
mckegto01,1990,7,
macdepa01,1989,2,
ruotsre01,1989,9,
creigad01,1988,7,
vaiveri01,1988,15,
makelmi01,1989,1,
goulemi01,1989,15,1
kurveto01,1990,15,
tuckejo01,1990,1,
joycebo01,1989,3,
cullejo01,1990,29,
bassebo01,1988,,1
tantito01,1990,5,
robergo01,1987,3,
sanipev01,1989,2,
paslagr01,1990,3,1
adamsgr01,1989,1,
sandsto01,1989,20,
carpebo01,1988,4,
broteaa01,1989,3,
krushmi01,1990,3,
larsore01,1988,14,
loisecl01,1990,1,1
manthmo01,1987,15,1
zezelpe01,1990,5,1
maclebr01,1988,8,
deblolu01,1990,,1
mckegto01,1989,3,
tuckejo01,1989,6,
jonssto01,1988,24,
dineego01,1988,2,
franclo01,1990,1,1
tantito01,1989,9,
huntema01,1990,4,
lemiejo01,1989,1,1
petitmi01,1990,16,
frycemi01,1988,3,
bradlbr01,1990,10,
coxecr01,1987,1,
lawtobr01,1989,1,
cyrpa01,1987,1,
cunnera01,1989,4,
bennibr01,1989,5,
wellsja01,1989,3,2
sheehne01,1987,1,
foligmi01,1990,1,
brookbo01,1989,1,2
frasecu01,1987,2,
chrisda01,1989,7,
poulida02,1989,1,1
bodgedo01,1988,25,1
allismi01,1987,5,
actonke01,1988,,1
gartnmi01,1988,9,
stastpe01,1989,23,
pederba01,1989,7,1
bullami01,1988,13,
courtge01,1987,7,
butchga01,1990,3,2
