year,lgid,tmid,oppid,w,l,t,otl
1983,NHL,NYR,NYI,4,3,0.0,
2000,NHL,CAL,FLO,0,0,1.0,0
1971,NHL,MNS,CHI,1,5,0.0,
2006,NHL,NJD,PHI,7,0,,1
2005,NHL,NJD,TBL,2,1,,1
1995,NHL,TOR,LAK,2,1,1.0,
1933,NHL,MTM,TOR,1,5,0.0,
1993,NHL,TBL,VAN,0,2,0.0,
1969,NHL,PHI,STL,1,5,2.0,
1991,NHL,BUF,DET,0,2,1.0,
1970,NHL,NYR,TOR,5,1,0.0,
1999,NHL,LAK,TBL,1,0,1.0,0
2009,NHL,BOS,FLO,2,1,,1
2002,NHL,CAL,PIT,0,1,0.0,0
1996,NHL,CHI,NJD,0,1,1.0,
1995,NHL,WIN,FLO,1,1,0.0,
1956,NHL,MTL,CHI,8,3,3.0,
2006,NHL,NJD,NYI,6,1,,1
2011,NHL,NYI,BOS,1,3,,0
1970,NHL,CLF,LAK,1,5,0.0,
1975,WHA,WIJ,TOT,9,2,0.0,
2008,NHL,EDM,TOR,1,1,,0
2011,NHL,FLO,MIN,0,0,,2
1989,NHL,MTL,NYR,3,0,0.0,
1995,NHL,NYI,BOS,1,1,2.0,
2008,NHL,NYI,DET,1,0,,0
2005,NHL,MTL,PIT,1,2,,1
1949,NHL,TOR,DET,5,8,1.0,
1988,NHL,QUE,HAR,3,4,1.0,
2002,NHL,BUF,LAK,0,1,0.0,0
1995,NHL,NYR,COL,1,1,0.0,
2001,NHL,LAK,PIT,2,0,0.0,0
1971,NHL,CLF,TOR,2,3,1.0,
2009,NHL,ATL,CBS,0,2,,0
1996,NHL,OTT,BOS,4,2,0.0,
1997,NHL,CAL,NYR,1,0,1.0,
1976,NHL,MNS,CLE,1,1,2.0,
2007,NHL,DAL,SJS,4,2,,2
1982,NHL,LAK,MNS,1,2,0.0,
1961,NHL,CHI,NYR,7,6,1.0,
1989,NHL,MNS,HAR,1,2,0.0,
1984,NHL,NYI,PIT,5,2,0.0,
1997,NHL,CAR,SJS,1,1,0.0,
1995,NHL,DAL,OTT,1,1,0.0,
2010,NHL,NYI,ATL,1,2,,1
1992,NHL,BUF,TOR,1,0,1.0,
1994,NHL,HAR,FLO,0,3,1.0,
1996,NHL,PHO,PHI,0,2,0.0,
2001,NHL,TOR,CHI,2,0,0.0,0
1982,NHL,MTL,WIN,3,0,0.0,
1997,NHL,SJS,NYI,1,1,0.0,
2006,NHL,DET,COL,2,1,,1
2000,NHL,ATL,FLO,3,1,1.0,0
2000,NHL,TOR,PHO,1,0,0.0,0
1974,WHA,NEW,VAB,3,3,0.0,
2011,NHL,WPG,LAK,1,0,,0
1993,NHL,DAL,LAK,3,0,1.0,
1991,NHL,NJD,DET,1,1,1.0,
2007,NHL,LAK,VAN,3,0,,1
1928,NHL,OTS,NYA,0,2,4.0,
2001,NHL,BOS,CAL,1,0,0.0,0
1946,NHL,CHI,NYR,4,8,0.0,
2009,NHL,PHI,NJD,5,1,,0
2009,NHL,COL,MTL,1,0,,0
1979,NHL,QUE,STL,2,2,0.0,
1975,WHA,TOT,CAC,3,6,1.0,
2000,NHL,PIT,CAL,1,0,1.0,0
1993,NHL,MTL,OTT,3,2,0.0,
1990,NHL,LAK,CAL,4,3,1.0,
1977,NHL,COR,WAS,1,2,1.0,
2005,NHL,PHO,DAL,3,4,,1
1998,NHL,STL,BOS,0,0,1.0,
2009,NHL,PHO,FLO,1,0,,0
2002,NHL,NYI,STL,1,1,0.0,0
1998,NHL,TBL,NYR,1,3,0.0,
1997,NHL,ANA,OTT,1,0,1.0,
1990,NHL,PHI,WAS,1,5,1.0,
2002,NHL,CAR,OTT,0,3,1.0,0
1999,NHL,PHI,OTT,0,2,2.0,0
2006,NHL,PIT,OTT,3,1,,0
1969,NHL,NYR,MTL,3,4,1.0,
1968,NHL,MNS,CHI,0,5,1.0,
1913,NHA,MOW,OT1,2,2,0.0,
2011,NHL,DAL,COL,2,2,,0
1997,NHL,CAR,DET,1,1,0.0,
1979,NHL,PHI,NYR,2,1,1.0,
1980,NHL,COR,NYR,3,1,0.0,
1997,NHL,CAL,PHI,1,1,0.0,
1978,WHA,BIR,WIJ,6,8,0.0,
1928,NHL,NYR,OTS,3,1,0.0,
2009,NHL,COL,CAR,1,1,,0
2003,NHL,BUF,CAL,1,0,0.0,0
1993,NHL,OTT,NYR,0,4,0.0,
