rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,last_update
3470,2005-07-05T22:49:24,883,565,2005-07-07T19:36:24,1,2006-02-15T20:30:53
3474,2005-07-05T22:59:53,97,594,2005-07-08T20:32:53,1,2006-02-15T20:30:53
3495,2005-07-05T23:50:04,2306,553,2005-07-10T01:06:04,1,2006-02-15T20:30:53
3502,2005-07-06T00:15:06,1026,126,2005-07-13T01:35:06,1,2006-02-15T20:30:53
3515,2005-07-06T00:48:55,3220,131,2005-07-09T00:15:55,1,2006-02-15T20:30:53
3530,2005-07-06T01:22:45,4542,168,2005-07-10T03:23:45,1,2006-02-15T20:30:53
3548,2005-07-06T02:23:39,4498,16,2005-07-08T07:53:39,2,2006-02-15T20:30:53
3563,2005-07-06T02:57:01,4261,210,2005-07-14T02:25:01,2,2006-02-15T20:30:53
3565,2005-07-06T03:02:58,599,97,2005-07-13T21:31:58,2,2006-02-15T20:30:53
3570,2005-07-06T03:23:43,1300,450,2005-07-14T07:28:43,2,2006-02-15T20:30:53
3596,2005-07-06T05:03:11,594,419,2005-07-07T05:30:11,2,2006-02-15T20:30:53
3604,2005-07-06T05:25:22,1380,242,2005-07-07T23:52:22,1,2006-02-15T20:30:53
3611,2005-07-06T05:37:18,4502,86,2005 - 2007 - 10T05:14:18,1,2006-02-15T20:30:53
3647,2005-07-06T07:29:17,3762,145,2005-07-13T08:32:17,1,2006-02-15T20:30:53
3660,2005-07-06T08:07:29,1129,507,2005-07-14T08:46:29,1,2006-02-15T20:30:53
3662,2005-07-06T08:11:48,3827,334,2005-07-09T12:25:48,2,2006-02-15T20:30:53
3665,2005-07-06T08:23:08,922,102,2005-07-13T13:38:08,2,2006-02-15T20:30:53
3666,2005-07-06T08:27:43,4212,347,2005-07-09T07:37:43,2,2006-02-15T20:30:53
3680,2005-07-06T09:16:10,2427,82,2005-07-08T07:52:10,2,2006-02-15T20:30:53
3684,2005-07-06T09:29:22,3261,395,2005/07-12T08:19:22,1,2006-02-15T20:30:53
3697,2005-07-06T10:07:22,1223,182,2005-07-13T14:04:22,2,2006-02-15T20:30:53
3726,2005-07-06T11:15:49,742,363,2005-07-11T05:54:49,2,2006-02-15T20:30:53
3732,2005-07-06T11:33:37,106,318,2005-07-08T08:31:37,1,2006-02-15T20:30:53
3738,2005-07-06T11:50:57,578,546,2005-07-09T08:07:57,1,2006-02-15T20:30:53
3758,2005-07-06T12:43:11,2498,48,2005-07-14T12:52:11,2,2006-02-15T20:30:53
3767,2005-07-06T13:07:27,923,582,2005-07-08T18:48:27,1,2006-02-15T20:30:53
3781,2005-07-06T13:53:41,3894,23,2005-07-15T10:03:41,1,2006-02-15T20:30:53
3796,2005-07-06T14:45:22,1649,228,2005-07-07T11:01:22,2,2006-02-15T20:30:53
3801,2005-07-06T15:05:50,4209,68,2005-07-12T12:56:50,1,2006-02-15T20:30:53
3814,2005-07-06T15:23:56,3826,306,2005-07-13T20:51:56,2,2006-02-15T20:30:53
3832,2005-07-06T16:12:23,4499,233,2005-07-12T21:29:23,1,2006-02-15T20:30:53
3852,2005-07-06T16:57:49,3329,511,2005-07-11T17:11:49,1,2006-02-15T20:30:53
3881,2005-07-06T18:35:37,143,456,2005-07-10T00:06:37,2,2006-02-15T20:30:53
3885,2005-07-06T18:43:43,1820,282,2005 - 2007 - 12T19:48:43,2,2006-02-15T20:30:53
3906,2005-07-06T19:35:55,1383,293,2005-07-15T22:35:55,1,2006-02-15T20:30:53
3940,2005-07-06T21:16:59,1502,116,2005-07-07T19:17:59,2,2006-02-15T20:30:53
3943,2005-07-06T21:22:17,1816,566,2005-07-07T21:26:17,1,2006-02-15T20:30:53
3946,2005-07-06T21:39:24,294,13,2005-07-11T16:10:24,1,2006-02-15T20:30:53
3947,2005-07-06T21:42:21,4188,324,2005-07-08T19:37:21,1,2006-02-15T20:30:53
3992,2005-07-06T23:36:56,3219,448,2005-07-15T03:13:56,1,2006-02-15T20:30:53
3995,2005-07-06T23:43:03,3990,128,2005-07-13T04:13:03,2,2006-02-15T20:30:53
3997,2005-07-06T23:46:52,3895,52,2005-07-14T05:39:52,2,2006-02-15T20:30:53
4020,2005-07-07T01:42:22,3760,471,2005-07-10T00:53:22,1,2006-02-15T20:30:53
4036,2005-07-07T02:48:00,500,397,2005-07-07T22:46:00,1,2006-02-15T20:30:53
4050,2005-07-07T03:35:33,104,528,2005-07-15T03:11:33,1,2006-02-15T20:30:53
4056,2005-07-07T03:57:36,4211,360,2005-07-09T08:53:36,2,2006-02-15T20:30:53
4062,2005-07-07T04:22:27,1323,410,2005-07-09T03:27:27,1,2006-02-15T20:30:53
4074,2005-07-07T04:49:49,2347,412,2005-07-12T04:51:49,2,2006-02-15T20:30:53
4081,2005-07-07T05:10:08,1138,284,2005-07-12T00:47:08,1,2006-02-15T20:30:53
4092,2005-07-07T05:54:18,1721,246,2005-07-16T09:14:18,1,2006-02-15T20:30:53
4103,2005-07-07T06:25:28,3632,91,2005-07-12T11:18:28,1,2006-02-15T20:30:53
4105,2005-07-07T06:31:00,439,423,2005-07-09T03:52:00,1,2006-02-15T20:30:53
4115,2005-07-07T06:52:23,102,371,2005-07-14T06:12:23,2,2006-02-15T20:30:53
4121,2005-07-07T07:13:50,2429,176,2005-07-13T04:32:50,2,2006-02-15T20:30:53
4143,2005-07-07T08:22:07,597,238,2005-07-13T11:42:07,1,2006-02-15T20:30:53
4163,2005-07-07T09:19:28,3176,376,2005-07-10T06:47:28,2,2006-02-15T20:30:53
4167,2005-07-07T09:37:08,3771,175,2005-07-16T06:16:08,2,2006-02-15T20:30:53
4180,2005-07-07T10:23:25,1704,3,2005-07-10T13:18:25,1,2006-02-15T20:30:53
4189,2005-07-07T10:51:07,1492,386,2005-07-14T14:46:07,2,2006-02-15T20:30:53
4191,2005-07-07T10:56:14,2475,390,2005-07-11T09:56:14,1,2006-02-15T20:30:53
4227,2005-07-07T12:41:36,4186,78,2005-07-15T12:33:36,1,2006-02-15T20:30:53
4229,2005-07-07T12:43:23,953,106,2005 - 07 - 13 ч. 15 м.:23,2,2006-02-15T20:30:53
4238,2005-07-07T13:22:20,3024,7,2005-07-10T07:44:20,2,2006-02-15T20:30:53
4240,2005-07-07T13:33:12,1024,65,2005-07-13T12:28:12,1,2006-02-15T20:30:53
4246,2005-07-07T13:49:03,1141,411,2005-07-09T13:01:03,1,2006-02-15T20:30:53
4249,2005-07-07T14:05:17,4185,111,2005-07-10T09:21:17,2,2006-02-15T20:30:53
4286,2005-07-07T15:36:44,4496,111,2005-07-11T13:04:44,2,2006-02-15T20:30:53
