name,country,province,population,longitude,latitude
Бакерсфилд,США,Калифорния,176264.0,-119.05,35.4167
Мерат,Индия,Утар-Прадеш,753778.0,,
Стокгольм,Здравствуйте! Как я могу вам помочь?,Стокгольм,711119.0,18.0667,59.35
Ла-Пас,Мексика,Баха-Кальфорния-Сюр,137641.0,-100.5,24.1
Rudь Слашка,ПЛ,Катовицы,170000.0,,
Хельсингборг,Здравствуйте! Как я могу вам помочь?,Малмехус,114339.0,,
Струд,ГБ,Глостершир,105400.0,,
Пецс,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Пецс (муниципий),171000.0,,
Ташкент,"Извините, но я не понимаю ваш запрос. Вы хотите, чтобы я перевел что-то с английского на русский? Пожалуйста, уточните ваш запрос, и я с радостью помогу вам.",Ташкент,2106000.0,69.3,41.3333
Мосул,Ирак,Ниневия,664221.0,43.15,36.3167
Грудзендз,ПЛ,Торунские,101000.0,,
Горно-Алтайск,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Республика Алтай,,,
Ново-Игуаку,"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Рио-де-Жанейро,801036.0,,
Пачука,Мексика,Хидальго,174013.0,,
Петаре,ВИ,Mirанда,338417.0,,
Санта-Роса,США,Калифорния,113261.0,-122.817,38.5167
Бухоро,"Извините, но я не понимаю ваш запрос. Вы хотите, чтобы я перевел что-то с английского на русский? Пожалуйста, уточните ваш запрос, и я с радостью помогу вам.",Бухоро,236000.0,,
Кирехир,ТР,Кирехир,,,
Керетаров,Мексика,Морелос,279187.0,-99.2,19.0
Чонджин,Нет,Северная Корея,520000.0,,
Пематанг-Сиантар,Ри,Индонезия,219328.0,,
Нам Динь,Да,Вьетнам,219615.0,,
Манагуа,НИХ,Никарагуа,1195000.0,-86.25,12.1667
Баракальдо,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Страна Басков,103594.0,,
Наша Lady из Помощи,"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Сергипе,103496.0,,
Анн-Арбор,США,Мичиган,109608.0,,
Батна,ДЗ,Алжир,181601.0,,
Мина,ВАН,Нигерия,120000.0,,
Донецк,УА,Донецкая,1117000.0,,
Кунсан,РОК,Южная Корея,266517.0,,
