name,islands,area,height,type,longitude,latitude
Доминиканская Республика,Малые Антильские острова,746.0,1447.0,волканический,-61.35,15.4
Бахрейн,,620.0,135.0,,50.5,26.0
Сент-Винсент,Малые Антильские острова,346.0,1300.0,волканический,-61.3,13.25
Тасмания,,67800.0,1617.0,,145.0,-42.0
Луис и Харрис,Внешние Херывыды,2170.0,,,-6.8,57.9
Остров Санта-Роза,Калифорнийские островные каналы,215.0,484.0,,-120.1,34.0
Новая Гвинея,,786000.0,4884.0,,142.0,-5.0
Бисоп Рок,Острова Силли,,,,-6.3,50.0
Фуэртевентура,Канареи,1660.0,807.0,волканический,-14.0,28.4
Ибица,Балеарские острова,572.0,476.0,,1.5,38.5
Ломбок,Острова Суматра,4725.0,3726.0,волканический,116.5,-8.4
Уестрей,Оркнейские острова,47.0,,,-3.0,59.4
Гернси,Острова Canal,194.0,,,-2.6,49.6
Ниихау,Гавайские острова,178.0,381.0,,-160.1,21.9
Тенерифе,Канареи,2034.0,3718.0,волканический,-16.6,28.3
Мохилла,Коморы,290.0,,,43.75,-12.25
Пелльворм,Северные фризы острова,37.4,2.0,,8.6,54.5
Гвадалканал,Соломоновы Острова,5358.0,2335.0,,160.2,-9.6
Великий Кайман,Каймановы острова,197.0,,,-81.23,19.18
Минданао,Филиппины,95581.0,2954.0,,124.9,7.55
Остров Сан-Мигель,Калифорнийские островные каналы,37.0,259.0,,-120.4,33.0
Фохр,Северные фризы острова,82.0,13.0,,8.5,54.7
Лангеланд,,284.0,,,10.5,55.0
Сент-Пьер,,26.0,,,-56.0,47.0
Цебу,Филиппины,5088.0,1000.0,,123.8,10.4
Южный Андаманский остров,Андаманские и Никобарские острова,1210.0,366.0,,92.5,11.4
Мая́лт,Коморы,374.0,660.0,волканический,45.13,-12.46
Крета,,8331.0,2456.0,,25.0,37.0
Ямайка,Величественные Антильские острова,10991.0,2256.0,,-77.3,18.1
Сильт,Северные фризы острова,99.0,52.5,,8.3,54.9
Филичуди,Липари,9.5,774.0,волканический,14.55,38.6
Третья,Азоры,400.0,1022.0,волканический,-27.2,38.7
Остров Ометепе,,270.0,1700.0,,-85.6,11.5
Борнхольм,,588.0,162.0,,14.9,55.1
Великая Британия,Британские острова,229850.0,1344.0,,-1.5,53.0
Тиниан,Маршальные Острова,101.0,171.0,,145.6,15.0
Сао-Джорже,Азоры,233.5,1053.0,волканический,-28.0,38.6
Лангёог,Острова Остфрисия,20.0,5.0,,7.5,53.65
Кипр,,9251.0,1952.0,,33.2,35.4
Арран,Внутренние Гебридские острова,430.0,874.0,,-5.5,55.3
Ньюфаундленд,,108860.0,814.0,,-55.8,48.6
Мэдейра,Мэдейра,794.0,1861.0,волканический,-16.0,31.0
Остров Мельвилл,,5800.0,,,131.0,-12.0
Бангка,Острова Суматра,11942.0,700.0,,106.0,2.25
Бенбекул,Внешние Херывыды,82.0,,,-7.3,57.45
Восточный Фолкленд,Фолклендские острова,6605.0,705.0,,-58.8,-51.8
Джеджу,,1845.0,1950.0,волканический,126.5,33.4
Батам,Острова Суматра,415.0,,,104.05,1.1
Остров Принс-Эдвард,,5660.0,142.0,,-63.4,46.3
Бохоль,Филиппины,4117.0,,,124.2,9.9
Нантеток,,125.0,,,-70.1,41.5
Самосир,,852.0,,волканический,98.85,2.6
Усedom,,445.0,,,14.1,53.9
Тайвань,,35801.0,3950.0,,121.0,24.0
Остров Пасхи,,163.0,,волканический,-109.35,-27.1
Файаль,Азоры,172.0,1043.0,волканический,-28.7,38.6
Пико,Азоры,442.0,2351.0,волканический,-28.4,38.5
Самос,Спорады,478.0,1434.0,,26.8,37.7
Восхождение,,91.0,,волканический,-14.4,-7.9
Хоккайдо,Япония,83456.0,2290.0,волканический,143.0,43.3
Новая Провиденция,Бахамские острова,207.0,,,-77.4,25.0
Аличути,Липари,5.2,675.0,волканический,14.4,38.6
Хонсю,Япония,230500.0,3776.0,волканический,138.6,36.3
Негрос,Филиппины,13328.0,2435.0,,123.0,10.0
Изабелла,Галапагосские острова,5436.0,1707.0,волканический,-91.3,-1.0
Сингапур,,632.6,176.0,,103.833,1.3
Бэнкс-Айленд,Канадские Арктические острова,70028.0,,,-122.1,72.85
Северный Уист,Внешние Херывыды,303.0,,,-7.1,57.4
Антигуа,Малые Антильские острова,281.0,400.0,,-61.8,17.05
Лаван,,76.0,,,53.1,26.5
Сент-Мартин,Малые Антильские острова,87.0,411.0,,-63.1,18.1
Футуна,"Футуна (или Футун) — архипелаг в южной части Тихого океана, включающий в себя острова Питкэрн, Оино и Сандвик. Эти острова являются частью Британской территории в Южной океании.",64.0,,,-178.1,-14.3
Бонаир,Малые Антильские острова,288.0,,,-68.3,12.2
Остров Котельный,,11665.0,374.0,,141.0,75.4
Южный Уист,Внешние Херывыды,320.0,,,-7.2,57.2
Бара,Внешние Херывыды,91.0,,,-7.7,57.0
Сансибар,,1658.0,135.0,,39.3,-6.1
Гран-Канария,Канареи,1560.0,1949.0,волканический,-15.6,28.0
Остров Рождества,,135.0,350.0,Корал,105.43,-10.25
Гوام,Маршальные Острова,541.0,,Корал,144.7,13.4
Великий Бермудский залив,Бermудские острова,53.3,79.0,Корал,-64.47,32.17
Аланд,Аленские острова,650.0,,,20.0,60.1
Вити Леву,Острова Фиджи,10429.0,,волканический,178.0,-17.8
Ро́дос,Спорады,1401.0,1215.0,,28.0,36.2
Ирландия,Британские острова,84421.0,1041.0,,-7.8,53.5
Боркум,Острова Остфрисия,31.0,6.0,,6.7,53.6
Микелон-Ланглад,,205.0,240.0,,-56.3,47.1
Корор,Каролины,8.0,100.0,волканический,134.5,7.3
Западная Фолклендская территория,Фолклендские острова,4532.0,700.0,,-60.1,-51.8
Тахит,Полинезийские острова,1045.0,2241.0,волканический,-149.34,-17.32
Амру́н,Северные фризы острова,20.5,32.0,,8.3,54.65
Харк,,20.5,,,50.2,29.1
Пулов Пanjang,Кокосовые острова,6.23,9.0,атолл,96.9,-12.2
Сантьяго,Острова Πράя,991.0,1394.0,волканический,-23.6,15.1
Липари,Липари,37.5,602.0,волканический,14.95,38.5
Малые Каймановы острова,Каймановы острова,20.0,,,-80.0,19.8
Миндоро,Филиппины,10244.0,,,121.1,13.0
Эфате,Вануат,900.0,647.0,,168.4,-17.8
Юист,Острова Остфрисия,16.4,3.0,,7.0,53.6
Барбуда,Малые Антильские острова,161.0,,,-61.4,17.3
Куба,Величественные Антильские острова,105806.0,1974.0,,-79.0,22.0
Керам,Молуккские острова,17100.0,3027.0,,128.0,-2.0
Молокаи,Гавайские острова,676.0,1512.0,,-157.0,21.1
Окинава,Япония,2255.0,,волканический,128.0,26.0
Олсомерский остров,Канадские Арктические острова,196236.0,2616.0,,-79.6,79.25
Соко́тра,,3579.0,1525.0,,53.9,12.5
Северный Никос,Туркские и Каймановы острова,,20.0,,-72.1,22.1
Самар,Филиппины,13080.0,,,125.1,12.0
Порту-Саньен,Мэдейра,42.0,517.0,волканический,-16.35,33.0
Исландия,,102829.0,2119.0,волканический,-18.0,65.0
Амбон,Молуккские острова,775.0,1225.0,,128.2,-3.7
"Каймановы острова, Брик",Каймановы острова,30.0,,,-79.8,19.7
Фальстер,,514.0,,,12.0,54.8
Марта-Виньярд,,232.0,,,-70.6,41.4
Тортола,Малые Антильские острова,55.0,521.0,волканический,-64.37,18.27
Вануа-Леву,Острова Фиджи,5500.0,,волканический,179.25,-16.35
Каварати,Лаккадивы,6.0,2.0,,72.6,10.6
Лефкас,Ионические острова,293.0,1158.0,,20.6,38.7
Корво,Азоры,17.5,718.0,волканический,-31.1,39.7
Оланд,,1344.0,,,17.0,57.0
Фе́рмерн,,185.0,27.2,,11.2,54.4
Флорес,Азоры,143.0,914.0,волканический,-31.2,39.5
Гозо,Мальта,67.0,176.0,,14.3,36.05
Пемб,,984.0,,,39.7,-5.2
Сардиния,,24090.0,1834.0,,9.0,40.0
Сипан,Маршальные Острова,115.0,474.0,волканический,145.75,15.2
Оркней-Мэйнленд,Оркнейские острова,492.0,,,-3.1,59.0
