city,province,country,island
Бриджтаун,Барбадос,БДС,Барбадос
Гуатамальта,Гуатамальта,С,Куба
Лервик,Шетланд,ГБ,Шетландский материк
Мытилини,Вореион Айяион,ГР,Лесбос
Кучинг,Саравак,МАЛ,Бали
Мужской,Мальдивы,МВ,Мужской
Порт-Луи,Маврикий,МЧ,Маврикий
Матлок,Дербишир,ГБ,Великая Британия
Палермо,Сицилия,я,Сицилия
Дурхем,Дурхем,ГБ,Великая Британия
Паликир,Микронезия,ФСМ,Понапе
Суракара,Индонезия,Ри,Джава
Макати,Филиппины,РП,Люсон
Сан-Круис-де-Тенерифе,Канарские острова,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Тенерифе
Уинздор,Беркшир,ГБ,Великая Британия
Хинкстон,Камбриджшир,ГБ,Великая Британия
Тунбридж-Уелз,Кент,ГБ,Великая Британия
Хониара,Соломоновы Острова,СЛБ,Гвадалканал
Мэбаши,Гумма,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Хонсю
Пекан Бару,Индонезия,Ри,Суматра
Аяччо,Курсы,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Курсы
Бинджай,Индонезия,Ри,Суматра
Пальма-де-Майорка,Балеарские острова,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Мальорка
Кيرколл,Оркнейсы,ГБ,Оркней-Мэйнленд
Боуэнсворт,Дорсет,ГБ,Великая Британия
Сингапур,Сингапур,SGП,Сингапур
Рочдейл,Больше Манчестер,ГБ,Великая Британия
Коверни,Западный Мидлендс,ГБ,Великая Британия
Калиари,Сардиния,я,Сардиния
Хейверфордвест,Пембрукшир,ГБ,Великая Британия
Виктория (Дэ Las Тунас),Лас-Тунас,С,Куба
Мата́нзас,Мата́нзас,С,Куба
Лестер,Лейпциский,ГБ,Великая Британия
Джорджтаун,Каймановы острова,Кайм,Великий Кайман
Бриджвотер,Кливленд,ГБ,Великая Британия
Ноттингем,Ноттингемшир,ГБ,Великая Британия
Нара,Нара,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Хонсю
Кингстон-апон-Халл,Хамберси́д,ГБ,Великая Британия
Окайама,Окайама,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Хонсю
Ягьякарта,Индонезия,Ри,Джава
Аомори,Аомори,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Хонсю
Чиаи,Тайвань,RC,Тайвань
Каосюань,Тайвань,RC,Тайвань
Катания,Сицилия,я,Сицилия
Чтение,Беркшир,ГБ,Великая Британия
Мансфилд,Ноттингемшир,ГБ,Великая Британия
Ньюкасл-от-Тайн,Шропшир,ГБ,Великая Британия
Мамуццо,Мая́лт,маё,Мая́лт
Хавана,Гавана,С,Куба
Тарава,Кирибати,КИР,Тарава
Сан-Хуан,Ньюфаундленд,КДН,Ньюфаундленд
Донкастер,Южный Йоркшир,ГБ,Великая Британия
Уокер,Бакингемшир,ГБ,Великая Британия
Троубридж,Уилтшир,ГБ,Великая Британия
Тэмсайд,Больше Манчестер,ГБ,Великая Британия
Хайко,Хайнань,ТЖ,Хайнань
Стаффорд,Шропшир,ГБ,Великая Британия
Салфорд,Больше Манчестер,ГБ,Великая Британия
Олдхам,Больше Манчестер,ГБ,Великая Британия
Бандунг-Лампунг,Индонезия,Ри,Суматра
Семаранг,Индонезия,Ри,Джава
Коломбо,Шри-Ланка,КЛ,Шри-Ланка
Гваделупа,Гваделупа,ГУАД,Гваделупа
Сандерленд,Тайн и Уэр,ГБ,Великая Британия
Адамстاون,Острова Питкерн,ПИТЦ,Питкэрн
Веллингтон,Новая Зеландия,Новая Зеландия,Тэ Ика-а-Мауи (Северный остров)
Кингстон,Остров Нортгемптон,НОРФ,Остров Нортгемптон
Сент-Хелир,Жерси,"Okay, I will only provide translations without additional text or extra information.",Жерси
Палангкарая,Индонезия,Ри,Бали
Тундун Балай,Индонезия,Ри,Суматра
Басингстоук,Гэмпшир,ГБ,Великая Британия
Бассетер,Сент-Китс и Невис,КН,Сент-Китс
Акита,Акита,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Хонсю
Ярен,Науру,НАО,Науру
Камбран,Монмутшир,ГБ,Великая Британия
Дуглас,Человек,ГБМ,Остров Мэн
Каернаферн,Гвинедд,ГБ,Великая Британия
Порт-Блер,Андаманские и Никобарские острова,Индия,Южный Андаманский остров
Сипан,Северные Марианские острова,НМИС,Сипан
Йорк,Северный Йоркшир,ГБ,Великая Британия
Аберистуит,Кериджион,ГБ,Великая Британия
Мито,Ибараки,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Хонсю
Сторноуэй,Внешние Херывыды,ГБ,Луис и Харрис
Ренфру,Страсмейн,ГБ,Великая Британия
Бедфорд,Бедфордшир,ГБ,Великая Британия
Плимут,Девон,ГБ,Великая Британия
Амбон,Индонезия,Ри,Амбон
Свонси,Свонси,ГБ,Великая Британия
Чунго,Тайвань,RC,Тайвань
Токушима,Токушима,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Шикоку
Хафнарфьордур,Исландия,A,Исландия
Лонгйёрбьен,Свалбард,СВАКС,Свалбард
Стэнли,Фолклендские острова,Фолк,Восточный Фолкленд
Эппинг Форест,Эссекс,ГБ,Великая Британия
Чангва,Тайвань,RC,Тайвань
Бандар-Сери-Бегаван,Бруней,БРУ,Бали
Оксфорд,Оксфордшир,ГБ,Великая Британия
Кумамото,Кумамото,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Кюсю
Эбв-Вэйл,Блэнау Гвенет,ГБ,Великая Британия
Кава́саки,Канагава,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Хонсю
Южно-Сахалинск,Сахалинская область,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Сахалин
Город-порт Род-Таун,Британские Виргинские острова,БВИР,Тортола
Санчун,Тайвань,RC,Тайвань
Бирмингем,Западный Мидлендс,ГБ,Великая Британия
Портсмут,Гэмпшир,ГБ,Великая Британия
Кембридж,Камбриджшир,ГБ,Великая Британия
Айлсбери,Бакингемшир,ГБ,Великая Британия
Ипсвич,Саффолк,ГБ,Великая Британия
Стоктон-он-Теес,Кливленд,ГБ,Великая Британия
Скарабо,Северный Йоркшир,ГБ,Великая Британия
Камагуй,Камагуй,С,Куба
Флайинг Фиш Ков,Остров Рождества,РАЗГУДИТЕЛЬНОЕ ВРЕМЯ,Остров Рождества
Медан,Индонезия,Ри,Суматра
Новая Гера,Остров Молодости,С,Куба
Папеете,Французская Полинезия,ФPOL,Тахит
Ираклион,Крити,ГР,Крета
Чиба,Чиба,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Хонсю
Эстьли,Гэмпшир,ГБ,Великая Британия
Кастри,Сент-Люсия,ВЛ,Сент-Люсия
Батам,Индонезия,Ри,Батам
Тебинг Тянит,Индонезия,Ри,Суматра
Дортмунд,Дорсет,ГБ,Великая Британия
Таунтэн,Сомерсет,ГБ,Великая Британия
Престон,Ланкашир,ГБ,Великая Британия
Хсинчу,Тайвань,RC,Тайвань
Норфолк,Норфолк,ГБ,Великая Британия
Тамата́ве,Тома́син,РМ,Мадагаскар
Палембанг,Индонезия,Ри,Суматра
Оденсе,Дания,ДК,Фуэнен
Хсинтьен,Тайвань,RC,Тайвань
Пул,Дорсет,ГБ,Великая Британия
Вейкфилд,Западный Йоркшир,ГБ,Великая Британия
Осака,Осака,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Хонсю
Сибу,Саравак,МАЛ,Бали
Шизоку,Шизоку,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Хонсю
Сурабая,Индонезия,Ри,Джава
Шалва,Кент,ГБ,Великая Британия
Сефтон,Мерсисайд,ГБ,Великая Британия
