country1,country2,length
IЛ,Сирия,76.0
Мексика,США,3326.0
"Пожалуйста, предоставьте текст для перевода.",РА,1880.0
КАМ,ЧХ,1094.0
ЕАУ,СУД,435.0
"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",ТЖ,3645.0
КАЗ,ТМ,379.0
АЗ,GE,322.0
БРУ,МАЛ,381.0
"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Клиент,1643.0
БЕН,РТ,644.0
МОК,З,419.0
— Да?,IЛ,255.0
"Нет, я не понимаю, о чем вы спрашиваете. Можете перефразировать ваш запрос?","Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",167.0
РАМ,АЗ,787.0
КГЗ,ТЖ,858.0
МАЛ,А,506.0
СУД,Зре,628.0
"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вы хотите перевести?",SRБ,318.0
БФ,РТ,126.0
ММ,РН,821.0
"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!","Пожалуйста, предоставьте текст для перевода.",1214.0
АНГ,З,1110.0
ПЛ,УА,428.0
ПЛ,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",206.0
"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",GBZ,1.2
АССА,ЗВ,225.0
я,СЛО,235.0
RB,АССА,1840.0
Дом,РХ,275.0
СК,УА,90.0
"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",ФГУ,673.0
Ри,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести:",228.0
ДЗ,ММ,1376.0
ОВ,ЛВ,267.0
я,В,3.2
"""ГНБ"" на русском языке означает ""Государственная пограничная служба"". Это название организации, отвечающей за управление государственной границей и обеспечение ее безопасности.",СН,338.0
ЕАК,Ешь,769.0
КАЗ,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",6846.0
Газа,IЛ,51.0
я,РМ,39.0
ЦИ,LB,716.0
Афг,ТМ,744.0
Ешь,МВ,475.0
А,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",366.0
РИМ,СН,813.0
ЛВ,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",217.0
МД,"Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",450.0
МЯ,А,1800.0
LB,Wallet,306.0
"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",ПЭ,1560.0
ЦИ,ММ,532.0
IЛ,RL,79.0
БФ,РН,628.0
А,Че-з,362.0
АНГ,НАМ,1376.0
"Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",SRБ,476.0
D,Здравствуйте! Как я могу вам помочь?,138.0
БИХ,КΟΣ,225.0
БИ,Зре,233.0
БОЛ,"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",3400.0
АВТ,СУД,1165.0
Ешь,МОК,756.0
"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.","Пожалуйста, предоставьте текст для перевода.",1290.0
"Доброго дня! Я готов допомогти вам з перекладу. Надішліть мені текст, який потрібно перекласти, і я зроблю це якомога швидше.",КРБ,1903.0
ЕР,ЭФИ,912.0
ХОЧУ,СМЭ,600.0
БЕН,БФ,306.0
И,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",65.0
ЕАК,SP,682.0
