island,sea,lake,river
Хонсю,Яма́йское мо́ре,,
Сахалин,Охотское море,,
Жерси,Канал,,
Эзель,Балтийское море,,
Мартиника,Атлантический океан,,
Панай,Море Сулауиси,,
Люсон,Южная Китайская бухта,,
Антигуа,Атлантический океан,,
Доминиканская Республика,Атлантический океан,,
Остров Кэнгуру,Индийский океан,,
Вулкано,Средиземное море,,
Лефкас,Средиземное море,,
Корво,Атлантический океан,,
Бахрейн,Персидский залив,,
Ла-Пальма,Атлантический океан,,
Барбуда,Атлантический океан,,
Бали,Южно-Китайское море,,
Маврикий,Индийский океан,,
Бали,Южная Китайская бухта,,
Куба,Гольфстрим,,
Анжуань,Индийский океан,,
Арран,Атлантический океан,,
Гран-Канария,Атлантический океан,,
Остров Виктория,Арктический океан,,
Великий Кайман,Карибское море,,
Стреймой,Норвежское море,,
Самар,Море Сулауиси,,
Уестрей,Северное море,,
Сент-Люсия,Атлантический океан,,
Суматра,Малазийский пролив,,
Порту-Саньен,Атлантический океан,,
Остров Сан-Мигель,Тихоокеанский океан,,
Тринидад,Атлантический океан,,
Скай,Атлантический океан,,
Бисоп Рок,Атлантический океан,,
Суматра,Андаманское море,,
Гештальт,Арабское море,,
Ольхон,,О Zero Байкал,
Сент-Люсия,Карибское море,,
Ванге́ргорж,Северное море,,
Остров Котельный,Арктический океан,,
Новая Гвинея,Тихоокеанский океан,,
Бэнкс-Айленд,Арктический океан,,
Сипан,Тихоокеанский океан,,
Переезд,Индийский океан,,
Ниихау,Тихоокеанский океан,,
Миндоро,Южная Китайская бухта,,
Аруба,Карибское море,,
Питкэрн,Тихоокеанский океан,,
Суматра,Южно-Китайское море,,
Эфате,Тихоокеанский океан,,
Микелон-Ланглад,Атлантический океан,,
Ньюфаундленд,Атлантический океан,,
Кюсю,Тихоокеанский океан,,
Пемб,Индийский океан,,
Науру,Тихоокеанский океан,,
Сансибар,Индийский океан,,
Монсеррат,Карибское море,,
Окинава,Тихоокеанский океан,,
Юра,Атлантический океан,,
Принцип,Атлантический океан,,
Сан-Томе и Принсипи,Атлантический океан,,
Кипр,Средиземное море,,
Ванкуверский остров,Тихоокеанский океан,,
Луис и Харрис,Атлантический океан,,
