name,mountains,height,type,longitude,latitude
Пюи-де-Дом,Цевенны,1465.0,волканический,3.0,45.8
Саректёкко,,2090.0,,17.4,67.3
Церо де Пунта,,1338.0,,-66.6,18.2
Мауна-Лоа,Гавайи,4170.0,вулкан,-155.6,19.5
Зугспитц,Альпы,2963.0,,11.1,47.3
Кингс-Пик,Рюкки-Муунтыны,4123.0,,-110.4,40.5
Гроссер Арбер,Бэйриш-Вальд,1456.0,,13.0,49.1
Гора Худ,Каскадные горы,3424.0,вулкан,-121.5,45.2
Лхотсе,Гималаи,8516.0,,86.9,28.0
Мульхацен,Кордилья Бетика,3482.0,,3.3,37.0
Монкайо,Иберские горы,2313.0,,1.85,41.8
Пуло́г,,2928.0,волканический,121.0,17.0
К2,Каракорум,8611.0,,76.5,35.9
Пико Руиво,Мэдейра,1861.0,волканический,-16.0,31.0
Пик Чан-Тенгри,Тянь-Шань,6995.0,,80.0,43.0
Хваннадалшнукур,,2110.0,волканический,-16.7,64.1
Суфриер,,1220.0,вулкан,-61.2,13.35
Керинчи,,3805.0,вулкан,101.45,-1.7
Льюсер,,3466.0,волканический,98.0,3.0
Пико-де-лос-Ньевес,Канарские острова,1949.0,вулкан,-15.6,25.95
Мармолада,Альпы,3343.0,,11.85,46.4
Пико-де-Энео,Пиренеи,3404.0,,0.65,42.6
Катла,,1450.0,вулкан,-19.0,63.6
Мт Блэкберн,Врангелльские горы,4996.0,вулкан,-143.4,61.7
Эми Кусси,Тибести,3415.0,вулкан,18.5,20.0
Котопакси,Андес,5897.0,вулкан,-78.4,-0.7
Канлаон,,2435.0,вулкан,123.1,10.4
Кангченджуга,Гималаи,8586.0,,88.1,27.7
Мт Мак-Кинли,Аляскинский хребет,6193.0,,-151.0,63.1
Гросглокнер,Альпы,3797.0,,12.5,47.0
Ст. Эллис,Элиас-рейдж,5489.0,,-140.9,60.3
Семеру,,3676.0,вулкан,112.9,-8.1
Виньемале,Пиренеи,3298.0,,0.15,42.8
Пик Карл-Маркс,Памир,6726.0,,71.3,38.0
Маут Уэттингтон,Побережье Гор,4019.0,,-125.26,51.4
Пико Сау Томе,,2024.0,волканический,6.6,0.2
Монте-Роза,Альпы,4634.0,,7.9,45.9
Чо Ою,Гималаи,8188.0,,86.65,28.35
Ранте-комбола,,3455.0,волканический,120.0,-3.6
Морне Диабло́тина,,1447.0,вулкан,-61.4,15.5
Вершина Брода,Каракорум,8051.0,,76.6,35.8
Татамайлау,,2963.0,,125.5,-8.9
Гора Уитни,"Сьерра-Невада, Калифорния",4418.0,,-118.2,36.6
Карисимби,Восточноафриканская рифтовая система,4507.0,вулкан,29.45,-1.5
Макалу,Гималаи,8485.0,,87.1,27.9
Мт Адамс,Каскадные горы,3743.0,вулкан,-121.5,46.2
Кораб,Балкан,2751.0,,20.3,41.4
Невадо-дель-Руис,Андес,5389.0,вулкан,-75.3,4.9
Концепсьон,,1700.0,вулкан,-85.6,11.5
Зард Кух,Загросы,4550.0,,50.1,32.35
Гуни Бинаия,,3027.0,,129.3,-3.1
Тупунгато,Андес,6550.0,вулкан,-69.87,-33.35
Ганнаетт Пик,Рюкки-Муунтыны,4207.0,,-110.0,43.2
Каямбе,Андес,5796.0,вулкан,-78.0,0.1
Эльбрус,Кавказ,5642.0,волканический,42.26,43.21
Тахан,,2190.0,,108.0,4.0
Фельдберг,Черный лес,1493.0,,7.5,47.5
Портфель,,2021.0,,17.4,67.1
Ключёвская Сопка,Камчатка,4750.0,вулкан,160.6,56.1
Сультежельма,,1914.0,,16.2,67.1
Мауна-Кеа,Гавайи,4214.0,вулкан,-155.45,19.6
Пико-де-Альманзор,Центральная Кордильера,2648.0,,-5.3,40.25
Сноехетта,,2286.0,,9.0,62.1
Аннапура,Гималаи,8091.0,,83.8,28.6
Мт Фэруэйер,Элиас-рейдж,4663.0,,-137.5,58.9
Ма́тра Балби,,2715.0,волканический,155.0,-5.9
Пик Барбоу,Расклад по британскому impériуму,2616.0,,-75.0,81.9
Мон-Орехена,,2241.0,волканический,-149.5,-17.6
Джebel Аурес,Риф,2456.0,,-6.5,35.5
Пик Ленина,Памир,7134.0,,72.55,39.2
Хальтиатунтури,,1328.0,,21.4,67.0
Мт Марси,Адирондакские горы,1629.0,,-73.9,44.1
Клингманс-Дом,Аппалачи,2025.0,,-83.2,35.3
Пико Рокаре,Черная Cordillera,5187.0,,-78.0,-8.8
Монте-Орине,Пенні Хайлендс,2147.0,,-65.6,66.55
Эта,,3323.0,вулкан,15.0,37.7
Циафаджавона,,2642.0,волканический,47.2,-19.3
гора Виктория,,1323.0,волканический,178.0,-17.8
Бебелль,,952.0,,-68.7,51.45
Пик Каткин,Дракенскург,3181.0,,29.35,-29.1
Кения,Восточноафриканская рифтовая система,5199.0,волканический,37.3,0.15
Молдавский,Карπάты,2544.0,,24.7,45.6
Чанганшань,Чанга́й,2744.0,,128.1,42.0
Гашербрум-2,Каракорум,8034.0,,76.65,35.75
Гора Агу,,3142.0,вулкан,115.5,-8.3
Цитлалпетль (Пико-де-Оризаба),Кордильера-Вулканика,5700.0,вулкан,-97.0,19.0
Пико Дюарте,,3098.0,,-71.3,18.3
Мон-Блан,Альпы,4808.0,,6.8,45.8
Дхаулагири,Гималаи,8167.0,,83.5,28.7
Хёседалс-Бре,,2083.0,,5.5,61.4
Рувензори,Восточноафриканская рифтовая система,5109.0,,29.9,0.4
Мт. Митчелл,Аппалачи,2037.0,,-82.1,35.4
Альпамайо,Белая Cordillera,5947.0,,-77.7,-8.9
Асаи-Даке,,2290.0,волканический,142.85,43.65
Невадо-дель-Хуила,Андес,5750.0,вулкан,-76.0,2.9
Невадо-де-Толука,Кордильера-Вулканика,4558.0,вулкан,-99.0,19.0
ГراندКомбин,Альпы,4314.0,,7.3,45.9
Пик коммунизма,Памир,7494.0,,72.0,39.0
Гвадалахара Пик,Рюкки-Муунтыны,2667.0,,-105.0,32.0
Пико-де-Тейде,Канарские острова,3718.0,вулкан,-16.6,28.3
Пик Революции,Памир,6974.0,,72.2,38.3
Ораефайёкюлль,,2110.0,вулкан,64.0,16.39
