abbreviation,name,city,country,province,established
ИЦФТУ,Международная конфедерация профсоюзов,Брюссель,В,Прованс,1949-12-01
Европейский инвестиционный банк,Европейский банк инвестиций,Люксембург,Здравствуйте! Как я могу вам помочь?,Люксембург,1957-03-25
Миссия Организации Объединенных Наций по поддержке в Гаити,Миссия Организации Объединенных Наций в Гаити,Нью-Йорк,США,Нью-Йорк,1993-09-23
G-15,Группа из 15 человек,Женева,Ч,GE,
МТ,Международный союз электросвязи,Женева,Ч,GE,1932-12-09
АМФ,Арабский денежный фонд,Абудаби,ОАЭ,Абудаби,1976-04-27
АГ,Группу Анд,Пять,ПЭ,Пять,1969-05-26
NSG,Группа ядерных поставщиков,Вена,А,Вена,
ЕКА,Экономическая комиссия для Африки,Аддис-Абеба,ЭФИ,Эфиопия,1958-04-29
ЭКЛАК,Экономическая комиссия для Латинской Америки и Карибского бассейна,Сантьяго,РЧ,Чили,1948-02-25
Entенте,Совет Энтента,Абиджан,ЦИ,Кост-д’Ивуар,1959-05-29
Г-6,Группа из шести человек,,,,1984-05-22
ВЭП,Всемирный почтовый союз,Берн,Ч,БЕ,1874-10-09
Организация по безопасности и сотрудничеству в Европе,Организация по безопасности и сотрудничеству в Европе,Вена,А,Вена,1995-01-01
НЕЧТО,Миссия наблюдателей ООН в Таджикистане,Нью-Йорк,США,Нью-Йорк,1994-12-16
КДБ,Карибский банк развития,,,,1969-10-18
ИЛओ,Международная организация труда,Женева,Ч,GE,1919-04-11
Меконг Групп,Группа развития бассейна Мекungo АСЕАН,,,,1995-12-01
G-5,Группа из 5,,,,1985-09-22
Спарця,Южно-Тихоокеанское региональное соглашение о торговле и экономическом сотрудничестве,,,,1981-01-01
НАТО,Североатлантический договор,Брюссель,В,Прованс,1949-09-17
Спефициализированная миротворческая сила Организации Объединенных Наций,Силы защиты ООН,Нью-Йорк,США,Нью-Йорк,1992-02-28
унифил,Временные силы ООН в Ливане,Нью-Йорк,США,Нью-Йорк,1978-03-19
ВФТУ,Всемирная федерация профсоюзов,Праж,Че-з,Пража,1945-10-03
ЛЭС,Латиноамериканская экономическая система,Каркас,ВИ,Федеральный округ,1975-10-17
Интесат,Международная организация спутникового связи,Вашингтон,США,Распределительная колония,1971-08-20
НЦА,Совет по сотрудничеству стран Северной Атлантики,Брюссель,В,Прованс,1991-11-08
ОАС,Организация американских государств,Вашингтон,США,Распределительная колония,1948-04-30
IF RCS,Международный союз обществ Красного Креста и Красного Полумесяца,Женева,Ч,GE,1919-05-05
НАМ,Движение неприсоединения,Джакарта,Ри,Индонезия,1961-09-01
УНМОГ,Миссия наблюдателей Организации Объединенных Наций в Грузии,Нью-Йорк,США,Нью-Йорк,
ИДА,Международная ассоциация развития,Вашингтон,США,Распределительная колония,1960-01-26
Единица измерения,Институт подготовки и обучения при Организации Объединенных Наций,,,,1963-12-11
УЕВ,Западноевропейский союз,Брюссель,В,Прованс,1954-10-23
АСС,Организация африканского единства,Аддис-Абеба,ЭФИ,Эфиопия,1963-05-25
ООН,Объединенные Нации,Нью-Йорк,США,Нью-Йорк,1945-06-26
по моему мнению,Международная морская организация,Лондон,ГБ,Великая Лондон,1958-03-17
Г-8,Группа из 8 человек,,,,1975-10-01
БДЕАК,Банк развития государств Центральной Африки,Браззавиль,КРБ,Конго,1975-12-03
Вы можете предоставить мне текст для перевода?,Экономическая и социальная комиссия для Азии и Тихого океана,Бангкок,А,Таиланд,1947-03-28
АСС,Совет сотрудничества арабских государств,,,,1989-02-16
ВТО,Всемирная торговая организация,,,,1994-04-15
МЭА,Международная организация по атомной энергии,Вена,А,Вена,1956-10-26
лайя,Ассоциация интеграции Латинской Америки,Монtevидео,"Добро пожаловать! Я готов помочь с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Уругвай,1980-08-12
ОЭС,Организация восточнокарибских государств,Кастри,ВЛ,Сент-Люсия,1981-06-18
ПФО,Партнерство по миру,,,,1994-01-10
ЦЕ,Совет Европы,Страсбург,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Альзас,1949-05-05
ЭТА,Европейское космическое агентство,Париж,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Отделение Франции,1973-07-31
БИС,Банк международных расчетов,Базель,Ч,БС,1930-01-20
Г-9,Группа из 9 человек,,,,
УНОМиль,Миссия наблюдателей Организации Объединенных Наций в Либерии,Нью-Йорк,США,Нью-Йорк,1993-09-22
ЕУ,Европейский союз,Брюссель,В,Прованс,1992-02-07
УВКБ ООН,Управление Верховного комиссара ООН по делам беженцев,Женева,Ч,GE,1949-12-03
