lake,country,province
Озеро Леман,Ч,GE
Озеро Виннипесауки,США,Нью-Гэмпшир
Озеро Маджоре,Ч,Ти
Озеро Балчаш,КАЗ,Жамбыл
Боденське озеро,Ч,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести."
Озеро Уrmия,ИР,Азербайджан и Германия
Мэльран,Здравствуйте! Как я могу вам помочь?,Стокгольм
Озеро Карибا,ЗВ,Зимбабве
Озеро Сакакауэа,США,Северная Дакота
Озеро Сезо-Секо/Альбертзее,ЕАУ,Уганда
Озеро Форт-Пек,США,Монтана
Пайяянне,SF,Финский
Сильян,Здравствуйте! Как я могу вам помочь?,Даларна
Чадское озеро,КАМ,Северный крайний
Ваттерен,Здравствуйте! Как я могу вам помочь?,Остерготланд
Озеро Онтарио,КДН,Онтарио
Озеро Атлин,КДН,Британская Колумбия
Ваенерн,Здравствуйте! Как я могу вам помочь?,Варमलанд
Озеро Хемю,Австралия,Новый Южный Уэльс
Озеро Леман,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Рон-Альпы
Озеро Гурон,КДН,Онтарио
Озеро Сезо-Секо/Альбертзее,Зре,Верхняя Заир
Озеро Гурон,США,Мичиган
Озеро Эри,США,Пенсильвания
Озеро Тангanyika,З,Северный
Море Смерти,Запад,Западный берег
Озеро Мичиган,США,Индيانا
Озеро Аббе,ЭФИ,Эфиопия
Чев Бахир,ЕАК,Восточный
Оозеро Араль,"Извините, но я не понимаю ваш запрос. Вы хотите, чтобы я перевел что-то с английского на русский? Пожалуйста, уточните ваш запрос, и я с радостью помогу вам.",Каракыпогистон
Озеро Руква,Ешь,Табора
Озеро Шамплен,США,Вермонт
О Zero Байкал,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Иркутская область
Озеро Пауелл,США,Аризона
Озеро Ирасу,КР,Карфаген
Озеро Леман,Ч,Вएस
Озеро Преспа,ГР,Дидимоти Македонија
О零 Чанка,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Приморский край
Руантанзиге/Эдвардсее,ЕАУ,Уганда
Цюрихское озеро,Ч,ГЛ
Великий Медведичный Озеро,КДН,Северо-Западные территории
Озеро Руква,Ешь,Мбея
Озеро Босумтви,ГГ,Гана
Озеро Танкане,ЕАК,Восточный
Этошская солончак,НАМ,Намибия
Озеро Титаникака,БОЛ,Боливия
Сайма,SF,Кими
Озеро Верхнее,США,Висконсин
Озеро Тобо,Ри,Индонезия
Озеро Атлин,КДН,"Юкон, Территория"
Каспийское море,КАЗ,Мангышлак
Сайма,SF,Микели
Тунер-зее,Ч,БЕ
Чадское озеро,ЧХ,Чад
Озеро Стайерберг,D,Бавария
Озеро Пауелл,США,Юта
Цюрихское озеро,Ч,Ж
Каспийское море,ТМ,Балкан
Озеро Скутари,АЛ,Албания
Дарячее Нама́к,ИР,Тэран
Лох-ломонд,ГБ,Высокогорье
Каспийское море,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Республика Дагестан
Озеро Уrmия,ИР,Восточная Азербайджан
Ваттерен,Здравствуйте! Как я могу вам помочь?,Оребр
Озеро Мверу,Зре,Шаба/Катанга
Озеро Виннипег,КДН,Манитоба
Озеро Карибا,З,Южный
Озеро Оаше,США,Северная Дакота
Озеро Верхнее,США,Миннесота
О zero Онежь,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Ленингтонская область
Ликанкубарский кратерный озеро,РЧ,Чили
Озеро Насер,— Да?,Асуан
Озеро Никарагуа,НИХ,Никарагуа
Оозеро Араль,КАЗ,Кызыл-Орда
Озеро Псковское,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Псковская область
Хейссен,D,Бавария
Озеро Кебан,ТР,Тунцелие
Озеро Виктория,Ешь,Мара
Мэльран,Здравствуйте! Как я могу вам помочь?,Вастманланд
Вёртва́льдерзее,Ч,АВ
Озеро Малави,МОК,Ниасса
Озеро Малави,Ешь,Иринга
Озеро Нипигон,КДН,Онтарио
Озеро Комо,я,Ломбардия
Каспийское море,КАЗ,Атырау
Озеро Трасимено,я,Тоскана
Озеро Шамплен,США,Нью-Йорк
Озеро Аббе,ДЖИ,Джибути
Озеро Виктория,Ешь,Мванза
Озеро Мантейю,КДН,Онтарио
Озеро Верхнее,КДН,Онтарио
