river,country,province
Ваал,АССА,Мпумаланга
Северная Двина,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Вологодская область
Блу Нил,СУД,Нил аль-Асрак
Кокемae penjoki,SF,Турку-Порi
Мурат,ТР,Бингол
Гуадиана,"Пожалуйста, предоставьте текст для перевода.",Алгарве
Морава,SRБ,Сербия
Висло,ПЛ,Сидлецкий
Маникуган,КДН,Кبک
Дроу,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Зала
Рио Магдалена,Клиент,Кальяс
Джангсте,ТЖ,Джянсу
Амазонки,Клиент,Амазонки
Рейн,Ч,АГ
Нил,СУД,ал Хартум
Амазонки,ПЭ,Куско
Днепр,УА,Запорожье
Муррей-Деринг,Австралия,Новый Южный Уэльс
Днестр,УА,Львовская
Саскачеваньский река,КДН,Манитоба
Прекрасная река Дарлинг,Австралия,Новый Южный Уэльс
Рио Сан-Хуан,НИХ,Никарагуа
Дроу,СЛО,Словения
Нaryn,"Извините, но я не понимаю ваш запрос. Вы хотите, чтобы я перевел что-то с английского на русский? Пожалуйста, уточните ваш запрос, и я с радостью помогу вам.",Ташкент
Шари,АВТ,Центральная Африканская Республика
Дунай,"Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Карас Северин
Руизи,БИ,Бурунди
Сень,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Бургундия
Волга,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Саратовская область
Пру́т,"Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.","Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести."
Иравад,ТЖ,Юньнань
Река Маккензи,КДН,Северо-Западные территории
Куйло,АНГ,Моксико
Арно,я,Тоскана
Брахмапутра,БД,Бангладеш
Массы,В,Лимбург
Сеньегал,СН,Тамबकунда
Ниагарский водопад,КДН,Онтарио
Парана,"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Мато-Гросо-ду-Сул
Трюки-река,США,Калифорния
Уэлле,Зре,Верхняя Заир
Еуфрат,Ирак,Бабиль
Дуро,"Пожалуйста, предоставьте текст для перевода.",Вила Реал
Пандши,Тад,Бадахшони Куни
Мёзель,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Лоран
Эцх,я,Трентино-Альто-Адидже
Оунасйоки,SF,Лаппе
Лех,А,Ворарлберг
Еуфрат,Ирак,Дхи Кар
Вуокса,SF,Кими
Массы,В,Намюр
Ищим,КАЗ,Карганды
Март,Че-з,Жихоморовский
Волга,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Волгоградская область
Совпадение,СУД,Аали и Нил
Лома́ми,Зре,Киву
Энс,А,Цюрих
Тигр,Ирак,Дахук
Иравад,МЯ,Сагаинг
Дунай,"Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Долг
Бригах,D,Баден-Вюртемберг
Пру́т,УА,Ивано-Франковск
Зайер,Зре,Бас-Зайр
