name,area,depth,altitude,type,river,longitude,latitude
Озеро Балчаш,18428.0,26.0,342.0,соль,,74.88,46.55
Озеро Франклина Д. Рузвельта,337.0,,,искусственный,Колумбийская река,-119.0,47.95
Вёртва́льдерзее,113.7,214.0,434.0,,Рюсс,8.4,47.0
Каспийское море,386400.0,995.0,-28.0,соль,,51.0,41.0
"Озеро Марки́зо (Spanish: Lago Maracaibo) — крупное пресное озеро в Южной Америке, расположенное на границе Венесуэлы и Мексики. Это самое большое озеро в Латинской Америке по площади поверхности и второе по величине пресноводное озеро в мире после озера Нила, если судить по объёму воды.",13000.0,50.0,0.0,,,-71.55,9.72
Озеро Ньяса,770.0,2.0,,соль,,23.0,-20.5
Сторуман,173.0,139.0,419.0,,Умэаэльв,16.88,65.22
Озеро Пауелл,645.0,171.0,1127.0,искусственный,Кольорадо,-111.5,36.9
Озеро Оаше,1453.0,,,искусственный,Миссури,-100.4,44.45
Озеро Чилва,687.0,2.0,474.0,соль,,35.7,-15.3
Озеро Атлин,798.0,283.0,668.0,,Река Юкон,-133.75,59.5
Озеро Вонта,8502.0,130.0,,искусственный,Вольта,0.5,6.3
Озеро Руква,5760.0,5.0,800.0,соль,,32.35,-8.0
Озеро Виннипег,24420.0,18.0,218.0,,Река Нельсон,-97.97,52.77
Макарикари Соленое озеро,12000.0,0.0,,соль,,21.0,-25.5
Озеро Сакакауэа,1578.0,55.0,,искусственный,Миссури,-101.42,47.48
Хейссен,80.0,73.0,518.0,,Альцгеймер,12.4,47.9
озеро Хубээ,4583.0,,3195.0,соль,,100.2,36.9
Озеро Май Ндомбе,8200.0,10.0,300.0,,Фими,18.3,-2.05
Арезо,40.2,5.6,,,,12.1,56.0
Озеро Тангanyika,32893.0,1470.0,782.0,,Лукуга,30.0,-6.0
Озеро Шамплен,1130.0,121.0,30.0,,Ривьер-Ришелье,-73.35,44.56
Пайяянне,1118.0,95.0,78.0,,Кимийоки,25.4,61.5
Этошская солончак,6133.0,0.0,1000.0,соль,,16.0,-18.8
Лох-ломонд,71.0,190.0,7.9,,,-4.59,56.08
Ваттерен,1900.0,119.0,88.0,,,14.5,58.3
Озеро Верхнее,82103.0,405.0,184.0,,,-87.37,47.7675
Каллавеси,472.0,,,,Вуокса,27.7,62.9
О Zero Байкал,31492.0,1637.0,455.0,,Ангара,108.0,53.0
Озеро Собрадинго,4214.0,,,искусственный,Рио Сан-Франциско,-40.7,-9.46
Озеро Босумтви,49.0,81.0,107.0,влияние,,-1.4,6.5
Озеро Кабора-Бассе,2800.0,,326.0,искусственный,Замбеци,32.7,-15.6
Озеро Стайерберг,56.36,127.7,584.0,,Вурм,11.32,47.92
Лаачер Мар,3.3,53.0,275.0,кальдера,,7.3,50.4
Озеро Киву,2650.0,450.0,1462.0,,Руизи,29.2,-1.8
О zero Онежь,9.616,127.0,33.0,,Свир,35.485,61.67
Ваенерн,5648.0,106.0,44.0,,Гётеэльв,13.3,58.8
Салар-де-Юни,10582.0,0.0,3650.0,соль,,-67.5,-20.1
Великая Солёная озеро,4400.0,10.0,1279.0,,,-112.6,41.15
Озеро Виннипесауки,186.0,55.0,153.0,,Река Мерримак,-71.3,43.6
Озеро Сезо-Секо/Альбертзее,5347.0,48.0,619.0,,Бahr эль-Джебель/Альберт-Нил,30.9,1.7
Великий Медведичный Озеро,31792.0,446.0,156.0,,,-120.6,65.9
Озеро Гурон,59600.0,229.0,176.0,,Река Детройт,-82.44,44.795
Пирамидное озеро,487.0,108.0,1155.0,соль,,-119.57,40.03
Оzero Таймыр,4560.0,26.0,5.0,,,101.6,74.5
Озеро Больセна,114.0,151.0,335.0,кальдера,,11.9,42.6
Озеро Нипигон,4848.0,165.0,260.0,,,-88.5,49.83
Озеро Форт-Пек,981.0,67.0,,искусственный,Миссури,-106.4,48.0
Чев Бахир,800.0,7.5,520.0,соль,,36.85,4.7
Озеро Трасимено,128.0,7.0,259.0,кальдера,,12.1,43.1
Озеро Бангуелю,10000.0,4.0,1140.0,,Луапула,29.7,-11.2
Озеро Манагуа,1035.0,20.0,39.0,,Рио Сан-Хуан,-86.4,12.35
Озеро Ван,3740.0,457.0,1719.0,соль,,42.9,38.6
Хамун е Джаз Муриан,1600.0,,500.0,соль,,61.2,30.8
Озеро Каинджи,1243.0,,,искусственный,Нигер,4.5,10.4
Чикамауга-Лейк,147.0,,,,Теннесси,-85.0,35.4
Лак Ассал,54.0,,-155.0,соль,,42.4,11.65
Великий Слахойский озеро,28568.0,614.0,156.0,,Река Маккензи,-113.9,61.7
Кратерное озеро,53.2,594.0,1883.0,кальдера,,-122.1,42.9
Озеро Леман,581.0,310.0,372.0,,Рона,6.5,46.5
Озеро Виктория,68870.0,85.0,1134.0,,Виктория Нил,33.0,-1.0
Озеро Комо,146.0,425.0,197.0,,Ада,9.3,46.0
Озеро Уrmия,5470.0,7.0,1280.0,соль,,45.3,37.7
Озеро Преспа,273.0,54.0,849.0,,,21.0,40.9
Озеро Тобо,1103.0,505.0,905.0,кальдера,Ашана,98.8,2.6
Озеро Натрон,1040.0,2.0,600.0,соль,,36.0,-2.4
Море Смерти,41650.0,378.0,-422.0,соль,,35.5,31.3
Боденське озеро,538.5,254.0,395.0,,Рейн,9.4,47.6
Бриенцер-Зе,29.8,260.0,564.0,,Аарэ,7.97,46.73
Аммерзее,46.6,81.1,533.0,,Аммер,11.6,48.0
Озеро Кентукки,648.0,,,,Теннесси,-88.3,37.0
Озеро Эйаси,1050.0,,1030.0,соль,,35.0,-3.6
Океан-Лейк,1890.0,4.0,,,,-80.8,26.94
Озеро Мантейю,104.0,,,,,-82.0,45.76
Озеро Хемю,202.0,,,,Муррей-Деринг,147.0,-36.1
Озеро Мейд,640.0,180.0,372.0,искусственный,Кольорадо,-114.75,36.05
О零 Чанка,4400.0,,,,,132.4,45.0
Инари,1040.0,92.0,119.0,,Паймяки,27.7,68.95
Мэльран,1140.0,66.0,0.7,,,17.1,59.4
Озеро Маджоре,216.0,372.0,193.0,,Тичино,8.6,45.95
Озеро Малави,29600.0,704.0,474.0,,Здравствуйте,34.0,-12.0
Сильян,290.0,134.0,161.0,влияние,Остердалевельв,14.8,60.85
Озеро Берли Гриффин,6.64,,556.0,искусственный,Муррунджиди-река,149.1,-35.3
Озеро Гарда,370.0,346.0,65.0,,Минчо,10.65,45.6
Озеро Абая,1285.0,13.0,619.0,соль,,37.8,6.3
Озеро Мичиган,57800.0,281.0,176.0,,,-87.08,43.69
Цюрихское озеро,88.0,136.0,406.0,,Лиммат,8.23631,47.5018
Озеро Гезери́т,165.0,46.0,-212.0,,Иордания,35.6,32.81
Озеро Тахо,497.0,501.0,1900.0,,Трюки-река,-120.0,39.0
Попо,1340.0,4.0,3686.0,соль,,-67.1,-18.55
