island,country,province
Мадагаскар,РМ,Толиара
Переезд,Воссоединение,Переезд
Южный Андаманский остров,Индия,Андаманские и Никобарские острова
Питкэрн,ПИТЦ,Острова Питкерн
Куба,С,Сантьяго-де-Куба
Великая Британия,ГБ,Дурхем
Великая Британия,ГБ,Гвинедд
Лангеланд,ДК,Дания
Боркум,D,Нижняя Саксония
Великая Британия,ГБ,Камбриджшир
Великая Британия,ГБ,Северный Йоркшир
Кракатау,Ри,Индонезия
Амеланд,НЛ,Фризланд
Новая Провиденция,БС,Багамские острова
Лесбос,ГР,Вореион Айяион
Великая Британия,ГБ,Херфорд и Вустер
Корфу,ГР,Ионийские острова
Лонг-Айленд,США,Нью-Йорк
Тимор,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести:",Восточный Тимор
Тонга-Тапу,ТO,Тонга
Великая Британия,ГБ,Сури
Сардиния,я,Сардиния
Остров Виктория,КДН,Северо-Западные территории
Кюсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Кагосима
Малые Каймановы острова,Кайм,Каймановы острова
Саваи,WS,Самоа
Бисоп Рок,ГБ,Корнволл
Люсон,РП,Филиппины
Самосир,Ри,Индонезия
Новая Гвинея,Ри,Индонезия
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Тойама
Нантеток,США,Массачусетс
Великая Британия,ГБ,Аберконви и Колвин
Пемб,Ешь,Западная часть
Рота,НМИС,Северные Марианские острова
Гавайи,США,Гавайи
Остров Мэн,ГБМ,Человек
Великая Британия,ГБ,Лейпциский
Ла-Пальма,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Канарские острова
Бали,МАЛ,Саравак
Великая Британия,ГБ,Блэнау Гвенет
Мартиника,МАРТ,Мартиника
Принцип,"STP - система управления запуском (English: Staggered Transmission Power control) — техника управления мощностью передачи в беспроводных сетях, которая позволяет оптимизировать использование мощности передачи и улучшить качество обслуживания сети.",Сан-Томе и Принсипи
Великая Британия,ГБ,Свонси
Сент-Люсия,ВЛ,Сент-Люсия
Сегодня,ГБ,Оркнейсы
Салинa,я,Калабрия
Хонсю,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Фукусима
Оаху,США,Гавайи
