desert,country,province
Великий Эрг Восточный,ТН,Тунис
Дашт-е-Кавир,ИР,Эсфахан
Великая сольная пустыня,США,Юта
Азавад,ДЗ,Алжир
Симпсон-десерт,Австралия,Квинсленд
Дашт-е-Кавир,ИР,Язд
Каракум,ТМ,Дашхауз
ВеликийВикторианский пустыня,Австралия,Южный Австралия
Сонора,Мексика,Сонора
Дашт-е-Маргох,Афг,Афганистан
Сирийская пустыня,Ирак,Ал-Анабар
Колорадо-Плейнз,США,Аризона
Развод,РН,Нигер
Даште-Лут,ИР,Эсфахан
Ливийский пустыня,СУД,Дарфур
Колорадо-Плейнз,США,Новый Мексико
Гоби,МНГ,Монголия
Сонора,США,Калифорния
Дашт-е-Кавир,ИР,Хорасан
Красный центр,Австралия,Северная территория
Тра́зар,РИМ,Мавритания
Мурункум,КАЗ,Жамбыл
Рын,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Республика Калмыкия
Рын,КАЗ,Атырау
Великий Эрг Восточный,ДЗ,Алжир
Дарфур,СУД,Дарфур
Хамада дю Драа,МА,Марокко
Эрг Уаране,РИМ,Мавритания
Ливийский пустыня,— Да?,Эль-Гиза
Нефуд,СА,Саудовская Аравия
Руб Аль-Чали,ОАЭ,Рас-аль-Хайма
Нулларборская равнина,Австралия,Западная Австралия
Хамада аль-Хамра,АРЛ,Ливия
Танами,Австралия,Северная территория
Моава,США,Калифорния
Эрдди Еннеди,ЧХ,Чад
Стурт-пустыня,Австралия,Новый Южный Уэльс
Симпсон-десерт,Австралия,Северная территория
Танезруфт,ММ,Мали
Нубийский пустыня,СУД,Аш-Шаркия
Оуйхи,США,Орегон
Калахари,НАМ,Намибия
Каракум,ТМ,Агал
Ригестан,ПК,Пакистан
Тар,Индия,Пенджаб
Кысылкум,"Извините, но я не понимаю ваш запрос. Вы хотите, чтобы я перевел что-то с английского на русский? Пожалуйста, уточните ваш запрос, и я с радостью помогу вам.",Каракыпогистон
Сонора,Мексика,Чихуахуа
Красный центр,Австралия,Западная Австралия
Ливийский пустыня,— Да?,Бенни Суиф
Ливийский пустыня,— Да?,Вади-эль-Джадид
Эрг Игиди,ДЗ,Алжир
Сирийская пустыня,СА,Саудовская Аравия
Гоби,ТЖ,Нинся Хуйцзу
Кысылкум,КАЗ,Кызыл-Орда
Моава,США,Юта
Симпсон-десерт,Австралия,Южный Австралия
Калахари,АНГ,Моксико
