river,country,province
Рио Сан-Франциско,"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Сергипе
Мур,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Зала
Рио-Гранде,Мексика,Тамаулипас
Санга,КРБ,Конго
Хадсонская река,США,Нью-Йорк
Семлики,ЕАУ,Уганда
Меконг,Да,Вьетнам
Карасу,ТР,Эрзекан
Шилка,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Чити́нская обла́сть
Гвадекивир,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Андалусия
Тоболь,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Тюменская область
Аргун,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Чити́нская обла́сть
Главная,D,Гессен
Днепр,УА,Херсонская
Тахо,"Пожалуйста, предоставьте текст для перевода.",Лиссабон
Альцгеймер,D,Бавария
Пру́т,"Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Галати
Иравад,МЯ,Янгон
Черный Дрин,АЛ,Албания
Джангсте,ТЖ,Шанхай (город)
Замбеци,МОК,Мани́ча
Муррей-Деринг,Австралия,Южный Австралия
Гуадиана,"Пожалуйста, предоставьте текст для перевода.",Авеиро
Иллёр,D,Баден-Вюртемберг
Люва,Зре,Шаба/Катанга
Уругвай,"Добро пожаловать! Я готов помочь с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Уругвай
Жокульс-фьорд,A,Исландия
Гётеэльв,Здравствуйте! Как я могу вам помочь?,Гётеборг и Бохус
Гуадиана,"Пожалуйста, предоставьте текст для перевода.",Порту
Далалев,Здравствуйте! Как я могу вам помочь?,Упсала
Ганг,Индия,Западный Бенгал
Зайер,Зре,Бас-Зайр
Нарв,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Псковская область
Кемиджоки,SF,Лаппе
Блу Нил,СУД,ал Хартум
Касаи,Зре,Бандунду
Кимийоки,SF,УусМА
Миссури,США,Миссури
Энс,А,Стирия
Нил,— Да?,Эль-Бухайра
Южная Моравия,SRБ,Сербия
Рюсс,Ч,АГ
Луалаба,Зре,Верхняя Заир
Вольта,ГГ,Гана
Нэккар,D,Баден-Вюртемберг
Уругвай,РА,Энтре-Риос
Вера,D,Нижняя Саксония
Теннесси,США,Кентукки
Замбеци,МОК,Замбезия
Брахмапутра,БД,Бангладеш
Эбро,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Каталония
Бахр эль-Гасал,СУД,Аали и Нил
Уэлле,Зре,Экватор
Ориноко,ВИ,Дельта Амакуро
Парана,РА,Энтре-Риос
