mountain,country,province
Попока-тепетль,Мексика,"Мексика, Государство"
Маунтин-Кук,Новая Зеландия,Новая Зеландия
Руапеху,Новая Зеландия,Новая Зеландия
Пуло́г,РП,Филиппины
Мт Бона,КДН,Саскачеван
Концепсьон,НИХ,Никарагуа
Шнейкоппе,Че-з,Выдокорески
Монте-Роза,я,Ломбардия
Кракатау,Ри,Индонезия
Гора Агу,Ри,Индонезия
Нанга-Парбат,ПК,Пакистан
Пико,"Пожалуйста, предоставьте текст для перевода.",Азоры
Пик Райнер,США,Вашингтон
Пико-де-Альманзор,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Кастилья и Леон
Мт Колумбия,КДН,Британская Колумбия
Илламимиль,БОЛ,Боливия
Мт Логэн,КДН,"Юкон, Территория"
Ликанкабур,БОЛ,Боливия
Пика Джая,Ри,Индонезия
Арарат,ТР,Агри
Пюи-де-Санси,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Авирон
Везувий,я,Кампания
Гора Блу-Маунтин,Да,Ямайка
Чо Ою,НЕП,Непал
Тамбору,Ри,Индонезия
Керинчи,Ри,Индонезия
Пико-де-лос-Ньевес,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Канарские острова
Сноехетта,"Нет, я не понимаю, о чем вы спрашиваете. Можете перефразировать ваш запрос?",Опланд
Татамайлау,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести:",Восточный Тимор
Глитертинд,"Нет, я не понимаю, о чем вы спрашиваете. Можете перефразировать ваш запрос?",Опланд
Джабаль-лу-Наба,RL,Ливан
Гора Харни,США,Южная Дакота
Мт Марси,США,Нью-Йорк
Попока-тепетль,Мексика,Пуэбла
Пик Москвы,Тад,Бадахшони Куни
Кангченджуга,НЕП,Непал
Пико-Туркиньо,С,Сантьяго-де-Куба
Ллула-Иякао,РЧ,Чили
Пико Христофор Колум,Клиент,Магдалена
Хальтиатунтури,SF,Лаппе
Финстерергорн,Ч,БЕ
Мауна-Кеа,США,Гавайи
Мауна-Лоа,США,Гавайи
Пико Боливар,ВИ,Мерида
Мт. Митчелл,США,Северная Каролина
Хотака-даке,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Гифу
Гора Уитни,США,Калифорния
Фако,КАМ,Юго-восток
Тахан,МАЛ,Келантан
Гора Уильям,PNG,Папуа-Новая Гвинея
Гранд-Баллон,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Альзас
Мт Фэруэйер,США,Аляска
Зугспитц,А,Тироль
Галдхеппиг,"Нет, я не понимаю, о чем вы спрашиваете. Можете перефразировать ваш запрос?",Опланд
Тахан,МАЛ,Паханг
Пико де Агулхас Нэрас,"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Минас-Жерайс
Хотака-даке,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Нагано
Jezерце,АЛ,Албания
Монкайо,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Кастилья и Леон
гора Виктория,Фиджи,Фиджи
Меру,Ешь,Аруша
Бебелль,КДН,Кبک
Уаскаран,ПЭ,Анкас
Пико де Агулхас Нэрас,"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Рио-де-Жанейро
Сультежельма,Здравствуйте! Как я могу вам помочь?,Норрботтен
Фельдберг,D,Баден-Вюртемберг
Невадо-де-Колима,Мексика,Халиско
Ма́тти Робсон,КДН,Британская Колумбия
Ла Сефриер,ГУАД,Гваделупа
Хохголлинг,А,Стирия
Мульхацен,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Андалусия
Элгон,ЕАУ,Уганда
Пик коммунизма,Тад,Бадахшони Куни
Тхабана Нтленяна,LS,Лесото
Кайласх,ТЖ,Тибет
Вершина Брода,ТЖ,Синьцзян-Уйгурский автономный район
Портфель,Здравствуйте! Как я могу вам помочь?,Норрботтен
Эми Кусси,ЧХ,Чад
Пик Революции,Тад,Бадахшони Куни
Дамаванд,ИР,Мазандеран
Гребун-Монт,РН,Нигер
Маут Уэттингтон,КДН,Британская Колумбия
Пик Каньона,США,Кольорадо
Кения,ЕАК,Восточный
Олимпос,Ц,Кипр
Мт. Богонг,Австралия,Виктория
Гора Косциуско,Австралия,Новый Южный Уэльс
Чанганшань,ТЖ,Джилин
Муунт Эверест,ТЖ,Тибет
Бельчуха,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Республика Алтай
Джабал-Шуайб,Да,Ямен
Ма́тра Балби,PNG,Папуа-Новая Гвинея
Ораефайёкюлль,A,Исландия
Пико Руиво,"Пожалуйста, предоставьте текст для перевода.",Мэдейра
Каямбе,ЭК,Эквадор
Невадо-дель-Руис,Клиент,Рисаранда
Чанганшань,Нет,Северная Корея
Мерапа,Ри,Индонезия
Андринיטра,РМ,Фианарантсао
Пик Победы,ТЖ,Синьцзян-Уйгурский автономный район
Семеру,Ри,Индонезия
К2,ТЖ,Синьцзян-Уйгурский автономный район
Ицтакцихуаль,Мексика,Пуэбла
Мавензи,Ешь,Килиманджаро
Церро Чирипо,КР,Лимон
Мт Элберт,США,Кольорадо
Монте-Цинто,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Курсы
Гуни Бинаия,Ри,Индонезия
Ст. Эллис,КДН,"Юкон, Территория"
Ллула-Иякао,РА,Тукуман
Нанда Дви,Индия,Утар-Прадеш
Коропуна,ПЭ,Арепа
Мт Редаубт,США,Аляска
Олимпиада,ГР,Кедрики Македония
Гора Бэри,США,Калифорния
Таджумулько,ГКА,Гватемала
Псилоритис,ГР,Крити
Мт Блэкберн,США,Аляска
Хохголлинг,А,Цюрих
Пико Рокаре,ПЭ,Анкас
Халеакала,США,Гавайи
Народная,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Республика Коми
Виньемале,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Арагон
Ю Шань,RC,Тайвань
Пико Дюарте,Дом,Доминиканская Республика
Пик Карл-Маркс,Тад,Бадахшони Куни
Гашербрум-1,ПК,Пакистан
Гора Худ,США,Орегон
Таррекайсе,Здравствуйте! Как я могу вам помочь?,Норрботтен
Аннапура,НЕП,Непал
Касбек,GE,Грузия
Монте-Роза,Ч,Вएस
Фого,Резюме,Кабо-Верде
Пик Чан-Тенгри,КГЗ,Киргизстан
Бен-Невис,ГБ,Высокогорье
Ябаль-Катрина,— Да?,Сина Аль-Джанубийя
Асаи-Даке,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Хоккайдо
Молдавский,"Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Аргес
Молдавский,"Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Брешов
Пик Ленина,КГЗ,Киргизстан
Пинатубо,РП,Филиппины
Олимпиада,ГР,Тессалия
Монкайо,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Арагон
Льюсер,Ри,Индонезия
Вершина Брода,ПК,Пакистан
Гвадалахара Пик,США,Техас
Мاترхорн,Ч,Вएस
Аусангатэ,ПЭ,Куско
Лхотсе,НЕП,Непал
Невадо-дель-Хуила,Клиент,Хуила
Башня Церредо,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Астурия
Гашербрум-1,ТЖ,Синьцзян-Уйгурский автономный район
Пико-де-Тейде,"Добро пожаловать в Киберпанку! Это место для тех, кто ценит уникальный стиль и атмосферу киберпанка. Наши клиенты - это искатели приключений, которые хотят окунуться в мир будущего, где технологии переплетаются с человеческим опытом. Мы предлагаем широкий выбор продукции, вдохновленной киберпанк-естетикой: от электроники до одежды и аксессуаров. Присоединяйтесь к нам и откройте для себя захватывающий мир киберпанка!",Канарские острова
Ключёвская Сопка,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Камчатский край
Гора Бэри,США,Невада
Иразу,КР,Карфаген
Софриер-Хиллз,МНТП,Монсеррат
Ринджани,Ри,Индонезия
Манталинган,РП,Филиппины
Циафаджавона,РМ,Антананариву
Макалу,ТЖ,Тибет
Хёседалс-Бре,"Нет, я не понимаю, о чем вы спрашиваете. Можете перефразировать ваш запрос?",Согн и Фьордане
Пиц Бернина,я,Ломбардия
Монте Писсис,РА,Ларека
Зард Кух,ИР,Чахар-Махал и Бектияри
Гора Апо,РП,Филиппины
Мон-Блан,я,Долина Аоста
Морне Диабло́тина,WD,Доминиканская Республика
Папо-манасеу,СЛБ,Соломоновы Острова
Мاترхорн,я,Долина Аоста
Кебнекасе,Здравствуйте! Как я могу вам помочь?,Норрботтен
Демирказик,ТР,Ниде
Пик Барбоу,КДН,Северо-Западные территории
Цитлалпетль (Пико-де-Оризаба),Мексика,Пуэбла
Цитлалпетль (Пико-де-Оризаба),Мексика,Веракрус
Рас Дашчан Терара,ЭФИ,Эфиопия
Церро Чирипо,КР,Карфаген
Мт Адамс,США,Вашингтон
ГراندКомбин,Ч,Вएस
Борах-Пик,США,Идахо
Сультежельма,"Нет, я не понимаю, о чем вы спрашиваете. Можете перефразировать ваш запрос?",Северо-Западный регион России
Ойос-дель-Салядо,РЧ,Чили
Пик королевы Марии,ХЕЛКС,Санта-Хелена
Тахат,ДЗ,Алжир
Хумфрис-Пик,США,Аризона
Монте Писсис,РА,Тукуман
Тупунгато,РА,Мендоса
Веллер-Пик,США,Новый Мексико
Саджама,БОЛ,Боливия
Клингманс-Дом,США,Теннесси
Суфриер,Западная Вирджиния,Сент-Винсент и Гренадины
Финстерергорн,Ч,Вएस
Гильуэй,PNG,Папуа-Новая Гвинея
Мон-Блан,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Рон-Альпы
Пик Ленина,Тад,Бадахшони Куни
Питон дэ Неж,Воссоединение,Переезд
Кингс-Пик,США,Юта
Гранитный пик,США,Монтана
Пик Каткин,АССА,Квазулу-Натал
