sea1,sea2
Восточное Китайское море,Южная Китайская бухта
Андаманское море,Бангла- залив
Арктический океан,Сибирское море
Арктический океан,Атлантический океан
Бангла- залив,Тихоокеанский океан
Тихоокеанский океан,Охотское море
Северное море,Скегеррак
Атлантический океан,Карибское море
Баренцево море,Норвежское море
Восточное Китайское море,Жёлтое море
Оманское залив,Персидский залив
Восточное Китайское море,Тихоокеанский океан
Южная Китайская бухта,Море Сулауиси
Бангла- залив,Южно-Китайское море
Арктический океан,Берингово море
Арабское море,Гольф Стрев
Арктический океан,Баренцево море
Чёрное море,Средиземное море
Балтийское море,Северное море
Тихоокеанский океан,Море Сулауиси
Берингово море,Тихоокеанский океан
Арабское море,Индийский океан
Восточное Китайское море,Яма́йское мо́ре
Тихоокеанский океан,Южно-Китайское море
Гольф Стрев,Красный море
Арктический океан,Норвежское море
Атлантический океан,Гольфстрим
Атлантический океан,Канал
Чёрное море,Азовское море
Андаманское море,Малазийский пролив
Карибское море,Гольфстрим
Гольф Стрев,Индийский океан
Малазийский пролив,Южная Китайская бухта
Тихоокеанский океан,Яма́йское мо́ре
Северное море,Канал
Атлантический океан,Индийский океан
Атлантический океан,Северное море
Яма́йское мо́ре,Жёлтое море
Индийский океан,Южно-Китайское море
Атлантический океан,Ирландское море
Тихоокеанский океан,Южная Китайская бухта
Андаманское море,Индийский океан
Баренцево море,Сибирское море
Атлантический океан,Средиземное море
Яма́йское мо́ре,Охотское море
Атлантический океан,Норвежское море
Арабское море,Оманское залив
Индийский океан,Тихоокеанский океан
Южная Китайская бухта,Южно-Китайское море
Кэттегат,Скегеррак
Атлантический океан,Тихоокеанский океан
Северное море,Норвежское море
Море Сулауиси,Южно-Китайское море
Оманское залив,Индийский океан
