country,independence,dependent,government
ГБГ,,ГБ,Британская заморская территория
ВСА,,,Правовой статус территории и вопрос о суверенитете остаются нерешенными.
ХР,1991-06-25,,парламентская демократия
МД,1991-08-27,,Республика
Дом,1844-02-27,,Республика
ТO,1970-06-04,,κληρονομичная конституционная монархия
Здравствуйте! Как я могу вам помочь?,,,конституционная монархия
КИР,1979-07-12,,Республика
Кайм,,ГБ,Британские заморские территории
"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",1822-09-07,,Федеральная Республика
Да,1990-05-22,,Республика
БД,1971-12-16,,Республика
ЕАУ,1962-10-09,,Республика
РАЗГУДИТЕЛЬНОЕ ВРЕМЯ,,Австралия,территория Австралии
ПЛ,1918-11-11,,демократическое государство
КН,1983-09-19,,конституционная монархия
ВИ,1811-07-05,,Республика
БХТ,1949-08-08,,монархия
ТУВ,1978-10-01,,демократия
Нуэ,1974-10-19,,самодержавная территория в свободной ассоциации с Новой Зеландией
МК,1991-09-17,,Возрождающаяся демократия
ЛВ,1991-09-06,,Республика
МАРТ,,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Отделение за рубежом Франции
БЕРМ,,ГБ,Британские заморские территории
GBZ,,ГБ,Зависимая территория Великобритании
АМСА,,США,Неинкорпорированная и неорганизованная территория США
ДК,,,конституционная монархия
ПАЛ,1994-10-01,,Конституционное правление в свободной ассоциации с США
БФ,1960-08-05,,парламентский
ГВАМ,,США,организованный
я,1861-03-17,,Республика
Да,1962-08-06,,парламентская демократия
В,1929-02-11,,монархическая священнодействующая держава
АЛ,1912-11-28,,Возрождающаяся демократия
Макс,,ТЖ,Специальная административная область в Китае
"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вы хотите перевести?",1908-09-22,,Возрождающаяся демократия
"Пожалуйста, предоставьте текст для перевода.",1140-01-01,,Республика
МВ,1964-07-06,,многопартийная демократия
Фолк,,ГБ,Британские заморские территории
КРБ,1960-08-15,,Республика
Ешь,1964-04-26,,Республика
ГР,1829-01-01,,парламентская республика
КЛ,1948-02-04,,Республика
Лаос,1949-07-19,,Коммунистическое государство
Фаркс,,ДК,часть датского королевства
УА,1991-12-01,,Республика
"Конечно! Я могу помочь вам перевести текст с английского на русский. Просто предоставьте мне текст, который вы хотите перевести, и я постараюсь сделать это как можно более точно и естественно звучащим по-русски. Желаю хорошего дня!",1821-09-15,,Республика
КДН,1867-07-01,,Федерация с парламентской демократией
"Okay, I will only provide translations without additional text or extra information.",,ГБ,Британская заморская территория
Сирия,1946-04-17,,Республика под военным правлением с марта 1963 года
СН,1960-08-20,,Республика при демократическом правлении с участием нескольких партий
Че-з,1993-01-01,,парламентская демократия
НАО,1968-01-31,,Республика
СВАКС,,"Нет, я не понимаю, о чем вы спрашиваете. Можете перефразировать ваш запрос?","территория Норвегии, находящаяся под управлением Министерства промышленности"
ДЖИ,1977-06-27,,Республика
МВ,1965-07-26,,Республика
No additional text provided. Please provide the text you would like translated.,,НЛ,часть голландского королевства
"Извините, но я не понимаю ваш запрос. Вы хотите, чтобы я перевел что-то с английского на русский? Пожалуйста, уточните ваш запрос, и я с радостью помогу вам.",1991-08-31,,Республика
Фиджи,1970-10-10,,Республика
АГ,1981-11-01,,парламентская демократия
— Да?,1922-02-28,,Республика
СЛБ,1978-07-07,,парламентская демократия
Воссоединение,,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Отделение за рубежом Франции
НМИС,,США,Содружество в политическом союзе с США
"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести:",2002-05-20,,парламентская демократия
МНТП,,ГБ,Британские заморские территории
РП,1946-07-04,,Республика
"Да, я могу помочь вам с переводом. Просто предоставьте мне текст, который вы хотите перевести с английского на русский язык, и я сделаю это для вас.",1991-09-06,,Республика
GE,1991-04-09,,Республика
PNG,1975-09-16,,парламентская демократия
АВР,1962-07-01,,Республика
Нет,,,Коммунистическое государство
