name,depth
Кэттегат,94.0
Яма́йское мо́ре,4036.0
Ирландское море,272.0
Сибирское море,540.0
Южная Китайская бухта,5420.0
Восточное Китайское море,2370.0
Андаманское море,3113.0
Индийский океан,6400.0
Гольф Стрев,5143.0
Атлантический океан,9219.0
Норвежское море,3860.0
Канал,175.0
Персидский залив,102.0
Красный море,2635.0
Карибское море,7240.0
Тихоокеанский океан,11034.0
Берингово море,4096.0
Бахтий Бенгальский залив,4694.0
Средиземное море,5121.0
Арабское море,5203.0
Балтийское море,459.0
Жёлтое море,200.0
Гольфстрим,4375.0
Баренцево море,32.0
Арктический океан,5608.0
Азовское море,100.0
Оманское залив,3350.0
Море Сулауиси,6218.0
Охотское море,3372.0
Скегеррак,725.0
Бангла- залив,4045.0
Малазийский пролив,104.0
Южно-Китайское море,7440.0
Северное море,200.0
Чёрное море,2211.0
