river,country,province
Убанги,АВТ,Центральная Африканская Республика
Река Детройт,КДН,Онтарио
Рио Сан-Франциско,"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Минас-Жерайс
Колумбийская река,КДН,Британская Колумбия
Изер,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Рон-Альпы
Река Нельсон,КДН,Манитоба
Пандши,Афг,Афганистан
Река Коннектикут,США,Нью-Гэмпшир
Тичино,Ч,Ти
Ривьер-Ришелье,КДН,Кبک
Атабара,ЭФИ,Эфиопия
Амударжа,Афг,Афганистан
Миссури,США,Монтана
Муррей-Деринг,Австралия,Виктория
Брег,D,Баден-Вюртемберг
Нарв,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Псковская область
Ти́мз,ГБ,Уилтшир
Инн,Ч,ГР
Река Святого Лаврентия,КДН,Кبک
Бене,КАМ,Север
Белый Нил,СУД,Аали и Нил
Бому,Зре,Верхняя Заир
Рио Магдалена,Клиент,Хуила
Улуйоки,SF,Уулу
Еуфрат,ТР,Малатия
Ура́л,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Республика Башкортостан
Тоболь,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Оренбургская область
Парана,"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Минас-Жерайс
Рио Лерма,Мексика,Наярит
Уэлле,Зре,Верхняя Заир
Арувими,Зре,Верхняя Заир
Арканзас,США,Кольорадо
Глома,"Нет, я не понимаю, о чем вы спрашиваете. Можете перефразировать ваш запрос?",Сёр Трондалаг
Лайне,D,Нижняя Саксония
Остердалевельв,Здравствуйте! Как я могу вам помочь?,Даларна
Пой,я,Пьемонте
Лукуга,Зре,Шаба/Катанга
Здравствуйте,ТЖ,Тибет
Амударжа,Тад,Хатлон
Лоара,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Рон-Альпы
Муррунджиди-река,Австралия,Новый Южный Уэльс
Индус,ТЖ,Тибет
Март,Че-з,Североморск
Южная Моравия,МК,Македония
Саскачеваньский река,КДН,Альберта
Бому,АВТ,Центральная Африканская Республика
Умэаэльв,Здравствуйте! Как я могу вам помочь?,Вастеработтен
Блу Нил,ЭФИ,Эфиопия
Аарэ,Ч,БЕ
Шилка,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Чити́нская обла́сть
Ориноко,ВИ,Амазонки
Эльба,Че-з,Выдокорески
Катун,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Республика Алтай
Западная Двина,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Смоленская область
Лаген,"Нет, я не понимаю, о чем вы спрашиваете. Можете перефразировать ваш запрос?",Опланд
Лимпопо,АССА,Гавани
Днепр,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Смоленская область
Лукенья,Зре,Восточная область Касай
Вера,D,Тюрингия
Одер,Че-з,Североморск
Луапула,З,Луапула
Нил,СУД,ал Хартум
Теннесси,США,Северная Каролина
Ока,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Орловская область
Сохранить,СЛО,Словения
Миссисипи,США,Миннесота
Ваердаляэльв,Здравствуйте! Как я могу вам помочь?,Даларна
Руки,Зре,Экватор
Мёзель,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Лоран
Парагвай,"Добро пожаловать в БР! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Мату-Гросу
Здравствуйте,МВ,Малави
Рио Сан-Хуан,НИХ,Никарагуа
Фульда,D,Гессен
Иордания,RL,Ливан
Ашана,Ри,Индонезия
Аллегхени-река,США,Пенсильвания
Хадсонская река,США,Нью-Йорк
Тисс,УА,Чернивецкая
Семлики,Зре,Киву
Мурат,ТР,Агри
Волга,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Тверская область
Нэккар,D,Баден-Вюртемберг
Везер,D,Нижняя Саксония
Рио-Гранде,США,Кольорадо
Массы,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Шампань-Арденн
Касаи,АНГ,Моксико
Дوبс,"Добро пожаловать в Coral, искусственный интеллект, который может переводить тексты с английского на русский язык и обратно. Я здесь, чтобы помочь вам в переводе ваших текстов. Просто напишите текст, который нужно перевести, и укажите язык, на который требуется перевод. Например, ""Переведите следующую фразу: 'Добро пожаловать в Coral' на русский язык"" и я сделаю это для вас.",Франш-Конте
Дон,"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Тульская область
