mountain,island
Силисиали,Саваи
Пико-де-лос-Ньевес,Гран-Канария
Монте-Цинто,Курсы
Маунтин-Кук,Тэ Вака-а-Мауи (Южный остров)
Папо-манасеу,Гвадалканал
Эта,Сицилия
Пуло́г,Люсон
Мон-Орехена,Тахит
Ма́тра Балби,Бугенвиль
Пика Джая,Новая Гвинея
Гора Агу,Бали
Тамбору,Сумбава
Пико Базиль,Биоко
Татамайлау,Тимор
Керинчи,Суматра
Бебелль,Остров Рене Левассера
Софриер-Хиллз,Монсеррат
Жима,Ольхон
Асаи-Даке,Хоккайдо
Ораефайёкюлль,Исландия
Гора Уильям,Новая Гвинея
гора Виктория,Вити Леву
Пико Руиво,Мэдейра
Руапеху,Тэ Ика-а-Мауи (Северный остров)
Ранте-комбола,Сулевеси
Питон дэ Неж,Переезд
Андринיטра,Мадагаскар
Ю Шань,Тайвань
Манталинган,Палау
Ла Сефриер,Гваделупа
Монте-Орине,Остров Баффин
Царатанана,Мадагаскар
Пинатубо,Люсон
Бен-Невис,Великая Британия
Кракатау,Кракатау
Пик Барбоу,Олсомерский остров
Псилоритис,Крета
Питон де ла Фурнез,Переезд
Циафаджавона,Мадагаскар
Мауна-Лоа,Гавайи
Мерапа,Джава
Пик королевы Марии,Тристан-да-Кунья
Пеле,Мартиника
Пико Дюарте,Испания
Пико Сау Томе,Сан-Томе и Принсипи
Семеру,Джава
Гильуэй,Новая Гвинея
Пико,Пико
Мауна-Кеа,Гавайи
Снаефелл,Исландия
Рока-де-лос-Мучахос,Ла-Пальма
Пико-де-Тейде,Тенерифе
Суфриер,Сент-Винсент
Пико-Туркиньо,Куба
Кинасу,Бали
Канлаон,Негрос
Церо де Пунта,Пуэрто-Рико
Льюсер,Суматра
Фого,Фого
Гора Блу-Маунтин,Ямайка
Морне Диабло́тина,Доминиканская Республика
Ринджани,Ломбок
Олимпос,Кипр
Халеакала,Мауи
Гуни Бинаия,Керам
Гора Апо,Минданао
Концепсьон,Остров Ометепе
