territoryid,territorydescription,regionid
94105,Сан-Франциско,2
55439,Миннеаполис,3
2116,Бостон,1
27403,Гринсборо,1
45839,Финдлей,3
11747,Мельвиль,1
60179,Hoffman Estatements,2
98004,Бельвью,2
90405,Санта-Моника,2
3049,Холлис,3
1833,Жоржтоу,1
19713,Ньюард,1
75234,Даллас,4
53404,Расин,3
19428,Филадельфия,3
2903,Провидение,1
27511,Кэри,1
20852,Роквилль,1
1581,Вестборо,1
55113,Роузвилль,3
32859,Орландо,4
80909,Колорадо Спрингс,2
30346,Атланта,4
60601,Чикаго,2
95054,Санта-Клара,2
29202,Колумбия,4
78759,Остин,4
2184,Мозги,1
8837,Эдисон,1
44122,Бичвуд,3
40222,Луисвилль,1
10038,Нью-Йорк,1
6897,Уилтон,1
10019,Нью-Йорк,1
1730,Бедфорд,1
98052,Редмонд,2
7960,Морристаун,1
94025,Парк Менло,2
85251,Скоттсдейл,2
95060,Санта-Круз,2
14450,Фейрпорт,1
2139,Кембридж,1
31406,Саванна,4
33607,Тампа,4
80202,Денвер,2
85014,Феникс,2
48084,Трой,3
3801,Портсмут,3
72716,Бентонвилль,4
48075,Саутфилд,3
98104,Сиэтл,2
95008,Кэмпбелл,2
48304,Блумфилдские холмы,3
