orderid,productid,unitprice,quantity,discount
10681,19,9.2,30,0.0
10804,49,20.0,4,0.0
10954,60,34.0,24,0.0
10880,61,28.5,30,0.0
11046,12,38.0,20,0.0
10903,68,12.5,20,0.0
10977,47,9.5,30,0.0
10586,52,7.0,4,0.0
10425,55,19.2,10,0.0
10380,70,12.0,30,0.0
10431,17,31.2,50,0.0
10561,51,53.0,50,0.0
10704,48,12.75,24,0.0
10532,30,25.89,15,0.0
10537,31,12.5,30,0.0
10400,49,16.0,30,0.0
10787,29,123.79,20,0.0
10388,52,5.6,20,0.0
11076,19,9.2,10,0.0
10869,11,21.0,10,0.0
10469,44,15.5,2,0.0
10456,21,8.0,40,0.0
10325,13,4.8,12,0.0
11027,24,4.5,30,0.0
10948,50,16.25,9,0.0
10708,5,21.35,4,0.0
10540,38,263.5,30,0.0
10465,50,13.0,25,0.0
10377,39,14.4,20,0.0
10614,21,10.0,8,0.0
10650,53,32.8,25,0.0
10840,25,14.0,6,0.0
10489,16,13.9,18,0.0
10401,65,16.8,20,0.0
10513,21,10.0,40,0.0
10598,27,43.9,50,0.0
10363,76,14.4,12,0.0
10799,13,6.0,20,0.0
10398,55,19.2,120,0.0
10832,25,14.0,10,0.0
10471,7,24.0,30,0.0
10964,69,36.0,10,0.0
10944,56,38.0,18,0.0
10962,13,6.0,77,0.0
10480,47,7.6,30,0.0
10728,60,34.0,15,0.0
10903,65,21.05,21,0.0
10916,32,32.0,6,0.0
10426,64,26.6,7,0.0
10690,56,38.0,20,0.0
10621,70,15.0,20,0.0
11055,57,19.5,20,0.0
10991,70,15.0,20,0.0
10387,59,44.0,12,0.0
10592,26,31.23,5,0.0
11060,77,13.0,10,0.0
10559,55,24.0,18,0.0
10938,13,6.0,20,0.0
10579,15,15.5,10,0.0
10595,61,28.5,120,0.0
10781,54,7.45,3,0.0
10392,69,28.8,50,0.0
10289,3,8.0,30,0.0
10332,42,11.2,10,0.0
10850,25,14.0,20,0.0
10541,71,21.5,9,0.0
10475,76,14.4,42,0.0
10342,55,19.2,40,0.0
10834,29,123.79,8,0.0
10316,62,39.4,70,0.0
10645,36,19.0,15,0.0
10757,64,33.25,24,0.0
10713,45,9.5,110,0.0
11055,51,53.0,20,0.0
10486,11,16.8,5,0.0
10535,40,18.4,10,0.0
10583,60,34.0,24,0.0
10311,69,28.8,7,0.0
10352,24,3.6,10,0.0
10831,35,18.0,8,0.0
10574,62,49.3,10,0.0
10379,65,16.8,20,0.0
10405,3,8.0,50,0.0
10764,3,10.0,20,0.0
10327,58,10.6,30,0.0
10303,65,16.8,30,0.0
10647,39,18.0,20,0.0
10764,39,18.0,130,0.0
10747,31,12.5,8,0.0
10675,53,32.8,10,0.0
10868,49,20.0,42,0.0
10360,38,210.8,10,0.0
10657,46,12.0,45,0.0
10922,24,4.5,35,0.0
10324,16,13.9,21,0.0
10321,35,14.4,10,0.0
10930,55,24.0,25,0.0
10308,70,12.0,5,0.0
10621,23,9.0,10,0.0
10688,10,31.0,18,0.0
10866,24,4.5,6,0.0
10719,30,25.89,3,0.0
10849,26,31.23,18,0.0
10399,76,14.4,35,0.0
10783,38,263.5,5,0.0
10325,72,27.8,40,0.0
10945,31,12.5,10,0.0
