country1,country2,length
ARM,IR,35.0
AL,MK,151.0
DOM,RH,275.0
IL,WEST,307.0
Z,ZRE,1930.0
FGU,SME,510.0
SYR,TR,822.0
GNB,RG,386.0
BR,RA,1224.0
BF,GH,548.0
RSA,SD,430.0
HR,SLO,546.0
,SMAR,15.0
G,RCB,1903.0
CH,D,334.0
JOR,WEST,97.0
LT,PL,91.0
EAT,RWA,217.0
PNG,RI,820.0
ANG,RCB,201.0
SN,WAG,740.0
AFG,TAD,1206.0
LAR,TN,459.0
GUY,YV,743.0
TJ,VN,1281.0
KAZ,TJ,1533.0
RG,RMM,858.0
KAZ,R,6846.0
AZ,GE,322.0
RIM,SN,813.0
IL,SYR,76.0
D,DK,68.0
BG,GR,494.0
EAK,EAU,933.0
F,I,488.0
BR,PE,1560.0
LAO,MYA,235.0
AFG,TM,744.0
CAM,G,298.0
BRU,MAL,381.0
RCA,RCB,467.0
CDN,USA,8893.0
GCA,HCA,256.0
DZ,RMM,1376.0
