name,area,depth,altitude,type,river,longitude,latitude
Lake Skutari,368.0,44.0,7.0,,,19.3,42.2
Saimaa,4370.0,85.0,76.0,,Vuoksi,28.0,61.3
Lake Turkana,6405.0,73.0,375.0,salt,,36.1,3.6
Lake Michigan,57800.0,281.0,176.0,,,-87.08,43.69
Lake Tana,3000.0,14.0,1830.0,,Blue Nile,37.3,12.0
Lake Natron,1040.0,2.0,600.0,salt,,36.0,-2.4
Etoscha Salt Pan,6133.0,0.0,1000.0,salt,,16.0,-18.8
Laacher Maar,3.3,53.0,275.0,caldera,,7.3,50.4
Loch Ness,56.0,226.0,16.0,,,-4.44,57.31
Ozero Tschany,2500.0,106.0,10.0,,,77.5,54.9
Poopo,1340.0,4.0,3686.0,salt,,-67.1,-18.55
Lake Titicaca,8372.0,281.0,3812.0,,Rio Desaguadero,-69.33,-15.84
Lake Champlain,1130.0,121.0,30.0,,Riviere Richelieu,-73.35,44.56
Starnberger See,56.36,127.7,584.0,,Wurm,11.32,47.92
Lake Kainji,1243.0,,,artificial,Niger,4.5,10.4
Lake Manitou,104.0,,,,,-82.0,45.76
Lake Sese Seko/Albertsee,5347.0,48.0,619.0,,Bahr el-Djebel/Albert-Nil,30.9,1.7
Licancabur Crater Lake,0.005,,5600.0,crater,,-67.9,-22.8
Lake Powell,645.0,171.0,1127.0,artificial,Colorado,-111.5,36.9
Lake Ohrid,367.0,289.0,695.0,,Black Drin,20.7,41.0
Lake Tahoe,497.0,501.0,1900.0,,Truckee River,-120.0,39.0
Ozero Chanka,4400.0,,,,,132.4,45.0
Lake Mweru,5120.0,27.0,931.0,,Luvua,28.7,-9.0
Lake Sakakawea,1578.0,55.0,,artificial,Missouri,-101.42,47.48
Vierwaldstattersee,113.7,214.0,434.0,,Reuss,8.4,47.0
Zurichsee,88.0,136.0,406.0,,Limmat,8.23631,47.5018
Lac Leman,581.0,310.0,372.0,,Rhone,6.5,46.5
Lake Hume,202.0,,,,Murray River,147.0,-36.1
Vaenern,5648.0,106.0,44.0,,Goetaaelv,13.3,58.8
Lake Prespa,273.0,54.0,849.0,,,21.0,40.9
Lake Winnipeg,24420.0,18.0,218.0,,Nelson River,-97.97,52.77
Lake Volta,8502.0,130.0,,artificial,Volta,0.5,6.3
Chad Lake,23000.0,7.0,250.0,salt,,14.0,13.2
Storuman,173.0,139.0,419.0,,Umeaelv,16.88,65.22
Kallavesi,472.0,,,,Vuoksi,27.7,62.9
Lake Bosumtwi,49.0,81.0,107.0,impact,,-1.4,6.5
Lake Irazu,1.0,,3200.0,acid,,-83.9,10.0
Oulujaervi,928.0,35.0,123.0,,Oulujoki,27.25,64.3
Ozero Pskovskoje,3555.0,14.6,30.0,,Narva,27.49,58.68
Lake Cabora-Bassa,2800.0,,326.0,artificial,Zambezi,32.7,-15.6
Chiemsee,80.0,73.0,518.0,,Alz,12.4,47.9
Paeijaenne,1118.0,95.0,78.0,,Kymijoki,25.4,61.5
Lac Assal,54.0,,-155.0,salt,,42.4,11.65
Lake Nyos,,208.0,,caldera,,10.3,6.44
Ozero Baikal,31492.0,1637.0,455.0,,Angara,108.0,53.0
Lago di Garda ,370.0,346.0,65.0,,Mincio,10.65,45.6
Salar de Uyuni,10582.0,0.0,3650.0,salt,,-67.5,-20.1
Lake Winnipesaukee,186.0,55.0,153.0,,Merrimack River,-71.3,43.6
Maelaren,1140.0,66.0,0.7,,,17.1,59.4
Kentucky Lake,648.0,,,,Tennessee,-88.3,37.0
Lake Huron,59600.0,229.0,176.0,,Detroit River,-82.44,44.795
Lake Okeechobee,1890.0,4.0,,,,-80.8,26.94
Lake Keban,675.0,,,,Euphrat,38.75,38.8
Ozero Taimyr,4560.0,26.0,5.0,,,101.6,74.5
Lago de Sobradinho,4214.0,,,artificial,Rio Sao Francisco,-40.7,-9.46
