sea,country,province
Pacific Ocean,FJI,Fiji
Atlantic Ocean,P,Madeira
Irish Sea,GBM,Man
Mediterranean Sea,I,Veneto
Pacific Ocean,J,Miyazaki
Mediterranean Sea,TR,Mugla
Caribbean Sea,MEX,Quintana Roo
Sea of Japan,J,Niigata
Indian Ocean,MOC,Nampula
Atlantic Ocean,SN,Saint Louis
Pacific Ocean,NCA,New Caledonia
Caribbean Sea,JA,Jamaica
Caribbean Sea,PA,Colon
Sulawesi Sea,RI,Indonesia
Atlantic Ocean,ANG,Luanda
Persian Gulf,UAE,Umm al Qaywayn
Gulf of Bengal,MYA,Rakhine
Indian Ocean,MOC,Maputo
Pacific Ocean,J,Aomori
Norwegian Sea,IS,Iceland
Atlantic Ocean,ANG,Cabinda
Malakka Strait,MAL,Johor
Baltic Sea,S,Malmohus
Skagerrak,N,Oestfold
Persian Gulf,BRN,Bahrain
Atlantic Ocean,ANG,Zaire
Gulf of Aden,YE,Yemen
Caribbean Sea,C,Las Tunas
Caribbean Sea,CO,Atlantico
Gulf of Bengal,IND,Orissa
Pacific Ocean,MEX,Baja California Sur
Red Sea,ET,Sina al Janubiyah
Atlantic Ocean,F,Bretagne
Baltic Sea,SF,Vaasa
Mediterranean Sea,DZ,Algeria
Red Sea,SUD,ash Sharqiyah
Caribbean Sea,PA,Comarca de San Blas
Caribbean Sea,YV,Nueva Esparta
Norwegian Sea,N,Sogn og Fjordane
Norwegian Sea,SVAX,Svalbard
Atlantic Ocean,USA,Georgia
Atlantic Ocean,USA,Delaware
Pacific Ocean,PE,La Libertad
Atlantic Ocean,SN,Louga
Atlantic Ocean,E,Canary Islands
Pacific Ocean,J,Aichi
Indian Ocean,EAT,Tanga
Mediterranean Sea,RL,Lebanon
Gulf of Mexico,MEX,Campeche
Baltic Sea,S,Kalmar
Sibirian Sea,R,Magadanskaya oblast
Caribbean Sea,HCA,Cortes
The Channel,F,Haute Normandie
Atlantic Ocean,G,Gabon
Pacific Ocean,CO,Choco
Arabian Sea,IND,Gujarat
Sea of Japan,J,Fukuoka
Atlantic Ocean,RCH,Chile
Gulf of Oman,IR,Sistan e Baluchestan
Baltic Sea,S,Uppsala
Pacific Ocean,KIR,Kiribati
The Channel,GBG,Guernsey
Arabian Sea,IND,Karnataka
Atlantic Ocean,GNB,Guinea-Bissau
Pacific Ocean,MEX,Sonora
Gulf of Mexico,C,Ciudad de la Habana
Persian Gulf,IR,Bushehr
