river,country,province
Dnjestr,UA,Vinnytska
Orinoco,CO,Vichada
Brahmaputra,TJ,Tibet
Bahr el-Ghasal,SUD,Bahr al Ghazal
Douro,P,Porto
Hudson River,USA,New Jersey
Weichsel,PL,Bielskie
Isar,A,Tyrol
Loire,F,Auvergne
Rio Sao Francisco,BR,Minas Gerais
Indus,IND,Jammu and Kashmir
Ticino,I,Piemonte
Save,SRB,Serbia
Rhein,D,Nordrhein Westfalen
Niger,RN,Niger
Gambia,SN,Tambacounda
Nile,ET,Dumyat
Southern Morava,MK,Macedonia
White Drin,KOS,Kosovo
Ebro,E,Basque Country
White Nile,SUD,Nil al Asraq
Werra,D,Hessen
Colorado,USA,Nevada
Senegal,RG,Guinea
Mosel,L,Luxembourg
Garonne,F,Midi Pyrenees
Lomami,ZRE,Kivu
Nile,ET,Kafr el Sheikh
Rhein,NL,Gelderland
Vuoksi,R,Rep. of Karelia
Jangtse,TJ,Jiangsu
Lomami,ZRE,Haut Zaire
Petschora,R,Arkhangelskaya oblast
Donau,H,Budapest (munic.)
Irtysch,KAZ,Pavlodar
Olt,RO,Sibiu
Weser,D,Niedersachsen
Donau,H,Bacs Kiskun
Rhein,CH,SG
Vaal,RSA,Mpumalanga
Lualaba,ZRE,Haut Zaire
Sanaga,CAM,Cote/Littoral
Nile,ET,El Qahira
Oranje,LS,Lesotho
Loire,F,Pays de la Loire
Northern Dwina,R,Arkhangelskaya oblast
Volga,R,Samarskaya oblast
Brahmaputra,IND,Arunachal Pradesh
Kymijoki,SF,Kymi
Dalaelv,S,Uppsala
Indus,PK,Pakistan
Volga,R,Saratovskaya oblast
Weichsel,PL,Rzeszowskie
Uruguay,ROU,Uruguay
Donau,MD,Moldova
Dnepr,UA,Cherkaska
Tigris,IRQ,Al Basrah
Donau,RO,Teleorman
Missouri,USA,Kansas
Maas,B,Limburg
Guadiana,P,Portalegre
Mississippi,USA,Minnesota
Hwangho,TJ,Shandong
