abbreviation,name,city,country,province,established
GCC,Gulf Cooperation Council,Riyadh,SA,Saudi Arabia,1981-05-25
APEC,Asia Pacific Economic Cooperation,Singapore,SGP,Singapore,1989-11-07
ABEDA,Arab Bank for Economic Development in Africa,Khartoum,SUD,al Khartum,1974-02-18
G-2,Group of 2,,,,
UNOMIL,United Nations Observer Mission in Liberia,New York,USA,New York,1993-09-22
ECO,Economic Cooperation Organization,Tehran,IR,Tehran,1985-01-01
G-77,Group of 77,,,,1967-10-01
FZ,Franc Zone,Paris,F,Ile de France,1945-12-20
ISO,International Organization for Standardization,Geneva,CH,GE,1947-02-01
IFAD,International Fund for Agricultural Development,Rome,I,Lazio,1974-11-01
UNU,United Nations University,,,,1973-12-06
G-3,Group of 3,,,,1990-10-01
NC,Nordic Council,Stockholm,S,Stockholm,1952-03-16
ICC,International Chamber of Commerce,Paris,F,Ile de France,1919-01-01
Sparteca,South Pacific Regional Trade and Economic Cooperation Agreement,,,,1981-01-01
ICRM,International Red Cross and Red Crescent Movement,Geneva,CH,GE,1928-01-01
WFTU,World Federation of Trade Unions,Prague,CZ,Praha,1945-10-03
AMU,Arab Maghreb Union,Rabat,MA,Morocco,1989-02-17
ACP,"African, Caribbean, and Pacific Countries",Brussels,B,Brabant,1976-04-01
CE,Council of Europe,Strasbourg,F,Alsace,1949-05-05
G-10,Group of 10,Paris,F,Ile de France,1962-10-01
G-9,Group of 9,,,,
IOC,International Olympic Committee,Lausanne,CH,VD,1894-06-23
G-5,Group of 5,,,,1985-09-22
CEEAC,Economic Community of Central African States,Libreville,G,Gabon,1983-10-18
Caricom,Caribbean Community and Common Market,Georgetown,GUY,Guyana,1973-07-04
CDB,Caribbean Development Bank,,,,1969-10-18
ESCAP,Economic and Social Commission for Asia and the Pacific,Bangkok,THA,Thailand,1947-03-28
EU,European Union,Brussels,B,Brabant,1992-02-07
UNPROFOR,United Nations Protection Force,New York,USA,New York,1992-02-28
OAPEC,Organization of Arab Petroleum Exporting Countries,,,,1968-01-09
RG,Rio Group,,,,1988-01-01
BIS,Bank for International Settlements,Basel,CH,BS,1930-01-20
ANZUS,Australia-New Zealand-United States Security Treaty,Canberra,AUS,Australia Capital Territory,1951-09-01
BCIE,Central American Bank for Economic Integration,Tegucigalpa,HCA,Francisco Morazan,1960-12-13
SADC,Southern African Development Community,Gaborone,RB,Botswana,1992-08-17
AFESD,Arab Fund for Economic and Social Development,,,,1968-05-16
G-8,Group of 8,,,,1975-10-01
WCL,World Confederation of Labor,Brussels,B,Brabant,1920-06-19
ECA,Economic Commission for Africa,Addis Ababa,ETH,Ethiopia,1958-04-29
EFTA,European Free Trade Association,Geneva,CH,GE,1960-01-04
ZC,Zangger Committee,,,,
UNCRO,United Nations Confidence Restoration Operation in Croatia,New York,USA,New York,1995-03-31
UNIDO,United Nations Industrial Development Organization,Vienna,A,Vienna,1966-11-17
CACM,Central American Common Market,Guatemala City,GCA,Guatemala,1960-12-13
UN,United Nations,New York,USA,New York,1945-06-26
Interpol,International Criminal Police Organization,Lyon,F,Rhone Alpes,1956-06-13
IDB,Islamic Development Bank,Jeddah,SA,Saudi Arabia,1973-12-15
