island,country,province
Cayman Brac,CAYM,Cayman Islands
Lewis and Harris,GB,Outer Hebrides
Fuerteventura,E,Canary Islands
Kyushu,J,Oita
Great Britain,GB,Blaenau Gwent
Manitoulin,CDN,Ontario
Great Britain,GB,Carmarthenshire
Saint Lucia,WL,Saint Lucia
Santa Catalina Island,USA,California
Great Britain,GB,Cardiff
Prince of Wales Island,CDN,Northwest Territories
Great Britain,GB,Cleveland
Dagoe,EW,Estonia
Santiago,CV,Cape Verde
New Guinea,PNG,Papua New Guinea
Kyushu,J,Kumamoto
Ireland,GB,Northern Ireland
Rugen,D,Mecklenburg Vorpommern
Madagaskar,RM,Toamasina
Kavaratti,IND,Lakshadweep Is.
Honshu,J,Osaka
Vlieland,NL,Friesland
Falster,DK,Denmark
Hokkaido,J,Hokkaido
Great Britain,GB,Merseyside
Cuba,C,Guantanamo
Santa Rosa Island,USA,California
Kyushu,J,Kagoshima
Pellworm,D,Schleswig Holstein
Saint Kitts,KN,Saint Kitts and Nevis
Sardegna,I,Sardegna
Borneo,RI,Indonesia
Cuba,C,Pinar del Rio
Cuba,C,Matanzas
Honshu,J,Ishikawa
Shikoku,J,Ehime
Lolland,DK,Denmark
Honshu,J,Hyogo
Bangka,RI,Indonesia
Santa Maria,P,Azores
Honshu,J,Shimane
Honshu,J,Yamanashi
Honshu,J,Yamagata
Shikoku,J,Kagawa
Gozo,M,Malta
Anglesey,GB,Anglesey
Antigua,AG,Antigua and Barbuda
Borneo,MAL,Sarawak
Great Britain,GB,Torfaen
Mohilla,COM,Comoros
Honshu,J,Wakayama
Helgoland,D,Schleswig Holstein
Great Britain,GB,South Yorkshire
