sea1,sea2
Atlantic Ocean,Gulf of Mexico
Barents Sea,Sibirian Sea
Caribbean Sea,Gulf of Mexico
North Sea,Skagerrak
Black Sea,Mediterranean Sea
Atlantic Ocean,North Sea
Arctic Ocean,Sibirian Sea
Sea of Japan,Yellow Sea
Gulf of Aden,Indian Ocean
Indian Ocean,Sunda Sea
North Sea,Norwegian Sea
Gulf of Oman,Indian Ocean
East China Sea,Pacific Ocean
Arabian Sea,Indian Ocean
Bering Sea,Pacific Ocean
Malakka Strait,South China Sea
Gulf of Oman,Persian Gulf
Andaman Sea,Malakka Strait
Barents Sea,Norwegian Sea
Kattegat,Skagerrak
Arabian Sea,Gulf of Aden
Andaman Sea,Indian Ocean
Atlantic Ocean,Pacific Ocean
Arctic Ocean,Atlantic Ocean
Atlantic Ocean,Caribbean Sea
Andaman Sea,Gulf of Bengal
Gulf of Bengal,Pacific Ocean
Gulf of Bengal,Sunda Sea
Sea of Japan,Sea of Okhotsk
Atlantic Ocean,Mediterranean Sea
Atlantic Ocean,Irish Sea
Atlantic Ocean,The Channel
South China Sea,Sunda Sea
Pacific Ocean,Sulawesi Sea
Arctic Ocean,Barents Sea
Sulawesi Sea,Sunda Sea
Pacific Ocean,Sea of Okhotsk
Arctic Ocean,Norwegian Sea
Black Sea,Sea of Azov
East China Sea,South China Sea
Arctic Ocean,Bering Sea
Pacific Ocean,South China Sea
Atlantic Ocean,Norwegian Sea
Atlantic Ocean,Indian Ocean
South China Sea,Sulawesi Sea
Indian Ocean,Pacific Ocean
North Sea,The Channel
Baltic Sea,North Sea
Pacific Ocean,Sea of Japan
East China Sea,Yellow Sea
Arabian Sea,Gulf of Oman
East China Sea,Sea of Japan
Pacific Ocean,Sunda Sea
Gulf of Aden,Red Sea
