country,target
GNB,non-Christian
BZ,Christian
TAD,non-Christian
WS,Christian
TUCA,Christian
BEN,non-Christian
A,Christian
RL,non-Christian
J,non-Christian
RI,non-Christian
TM,non-Christian
NAU,Christian
WD,Christian
MD,Christian
CZ,Christian
RSM,Christian
P,Christian
SUD,non-Christian
BIH,non-Christian
XMAS,non-Christian
AMSA,Christian
BR,Christian
HONX,Christian
PITC,Christian
MS,non-Christian
FPOL,Christian
SP,non-Christian
M,Christian
SF,Christian
BY,Christian
IND,non-Christian
IS,Christian
CY,Christian
BERM,Christian
DJI,non-Christian
UZB,non-Christian
CAYM,Christian
ES,Christian
N,Christian
BHT,non-Christian
Q,non-Christian
NORF,Christian
MNG,non-Christian
WL,Christian
RMM,non-Christian
YV,Christian
OM,non-Christian
RIM,non-Christian
PK,non-Christian
H,Christian
IRQ,non-Christian
MH,Christian
I,Christian
DK,Christian
E,Christian
BOL,Christian
ZW,Christian
KIR,Christian
RP,Christian
B,Christian
BDS,Christian
TN,non-Christian
EAK,Christian
FJI,Christian
F,Christian
LAR,non-Christian
FGU,Christian
GBZ,Christian
MOC,Christian
DZ,non-Christian
AUS,Christian
NZ,Christian
SK,Christian
LAO,non-Christian
HCA,Christian
GE,Christian
MAYO,non-Christian
TO,Christian
SLB,Christian
