mountain,island
Merapi,Java
Rantekombola,Sulawesi
Piton de la Fournaise,Reunion
Pulog,Luzon
Queen Marys Peak,Tristan Da Cunha
Oraefajokull,Iceland
Ben Nevis,Great Britain
Mantalingajan,Palawan
Kerinci,Sumatra
Mauna Loa,Hawaii
Psiloritis,Kreta
Silisili,Savaii
Mont Orohena,Tahiti
Yu Shan,Taiwan
Piton des Neiges,Reunion
Pico de Sao Tome,Sao Tome
Etna,Sicilia
Gunung Binaiya,Ceram
Leuser,Sumatra
Concepcion,Isla da Ometepe
Pico de Teide,Teneriffa
Pico Turquino,Cuba
Morne Diablotins,Dominica
Haleakala,Maui
Soufriere Hills,Montserrat
Pico Ruivo,Madeira
Pico de los Nieves,Gran Canaria
Roque de los Muchachos,La Palma
Ruapehu,Te Ika-a-Maui (North Island)
Popomanaseu,Guadalcanal
Puncak Jaya,New Guinea
Monte Cinto,Corse
Soufriere,Saint Vincent
Mt. Cook,Te Waka-a-Maui (South Island)
Kinabalu,Borneo
Zhima,Olkhon
Asahi-Dake,Hokkaido
Mt. Wilhelm,New Guinea
La Soufriere,Basse-Terre
Fogo,Fogo
Mount Apo,Mindanao
Andringitra,Madagaskar
Pelee,Martinique
Olympos,Cyprus
Blue Mountain Peak,Jamaica
Mt. Giluwe,New Guinea
Tambora,Sumbawa
Pinatubo,Luzon
Mt.Victoria,Viti Levu
Snaefell,Iceland
Tsiafajavona,Madagaskar
Tsaratanana,Madagaskar
Mt. Odin,Baffin Island
Mt. Babel,Rene Levasseur Island
