country,independence,dependent,government
B,1830-10-04,,constitutional monarchy
NMIS,,USA,commonwealth in political union with the US
PR,,USA,commonwealth associated with the US
FGU,,F,overseas department of France
SUD,1956-01-01,,transitional previously ruling military junta
CO,1810-07-20,,republic
KOS,2008-02-17,,republic
RN,1960-08-03,,republic
KIR,1979-07-12,,republic
IR,1979-04-01,,theocratic republic
Z,1964-10-24,,republic
NIC,1821-09-15,,republic
CR,1821-09-15,,democratic republic
L,,,constitutional monarchy
RL,1943-11-22,,republic
NAU,1968-01-31,,republic
NIUE,1974-10-19,,self governing territory in free association with New Zealand
BR,1822-09-07,,federal republic
BIH,1992-04-01,,emerging democracy
RIM,1960-11-28,,republic
COOK,,NZ,self governing parliamentary government in free association with New Zealand
SK,1993-01-01,,parliamentary democracy
GCA,1821-09-15,,republic
MW,1964-07-06,,multiparty democracy
GE,1991-04-09,,republic
WSA,,,legal status of territory and question of sovereignty unresolved
LS,1966-10-04,,modified constitutional monarchy
V,1929-02-11,,monarchical sacerdotal state
GBG,,GB,British crown dependency
D,1871-01-18,,federal republic
PNG,1975-09-16,,parliamentary democracy
RI,1945-08-17,,republic
TUV,1978-10-01,,democracy
ROK,,,republic
COM,1975-07-06,,independent republic
TM,1991-10-27,,republic
NCA,,F,overseas territory of France since 1956
AXA,,GB,British Overseas Territories
FJI,1970-10-10,,republic
SGP,1965-08-09,,republic within Commonwealth
PITC,,GB,British Overseas Territories
H,1001-01-01,,republic
HR,1991-06-25,,parliamentary democracy
DJI,1977-06-27,,republic
KWT,1961-06-19,,nominal constitutional monarchy
FPOL,,F,overseas territory of France since 1946
CI,1960-08-07,,republic
RH,1804-01-01,,republic
XMAS,,AUS,territory of Australia
COCO,,AUS,territory of Australia
NL,1579-01-01,,constitutional monarchy
SY,1976-06-29,,republic
GH,1957-03-06,,constitutional democracy
PL,1918-11-11,,democratic state
GUAM,,USA,organized
