name,country,province,population,longitude,latitude
Orsk,R,Orenburgskaya oblast,275000.0,,
Bahir Dar,ETH,Ethiopia,115531.0,,
Raipur,IND,Madhya Pradesh,438639.0,,
Ilawe Ekiti,WAN,Nigeria,163000.0,,
Victoria,SY,Seychelles,24570.0,55.5,-4.65
Mbabane,SD,Swaziland,,31.1,-25.0
Birjand,IR,Khorasan,101177.0,,
Peoria,USA,Illinois,113513.0,-89.6833,40.6667
Soweto,RSA,Gauteng,597000.0,,
Jiangyou,TJ,Sichuan,175753.0,,
Novo Hamburgo,BR,Rio Grande do Sul,225082.0,,
Kassel,D,Hessen,201789.0,,
Liaoyang,TJ,Liaoning,492559.0,,
Piotrkow Trybunalski,PL,Piotrkowskie,,,
Halifax,CDN,Nova Scotia,114455.0,-63.4,44.4
Alvorada,BR,Rio Grande do Sul,160671.0,,
Mardin,TR,Mardin,,,
Xai Xai,MOC,Gaza,,34.0,-25.2
Kuala Terengganu,MAL,Terengganu,228654.0,,
Sevilla,E,Andalusia,714148.0,,
Camaguey,C,Camaguey,293961.0,,
Zhenjiang,TJ,Jiangsu,368316.0,,
Harbin,TJ,Heilongjiang,2830000.0,126.4,45.4
Lhasa,TJ,Tibet,106885.0,91.0,29.5
Itajai,BR,Santa Catarina,134797.0,,
Semey,KAZ,Semey,320200.0,,
Dudley,GB,West Midlands,312200.0,,
Colwyn Bay,GB,Aberconwy and Colwyn,,,
Quibdo,CO,Choco,130921.0,,
Rosario,RA,Santa Fe,1118984.0,-60.5,-33.0
Sao Tome,STP,Sao Tome and Principe,,7.0,0.0
Tehran,IR,Tehran,6750043.0,51.4167,35.6833
Lyubertsy,R,Moskovskaya oblast,166000.0,,
Krakow,PL,Krakowskie,748000.0,19.95,50.0667
Arzamas,R,Nizhegorodskaya oblast,112000.0,,
Zhanjiang,TJ,Guangdong,400997.0,,
Ferrara,I,Emilia Romagna,140600.0,,
Pasadena,USA,California,131586.0,-118.15,34.15
Xiangfan,TJ,Hubei,410407.0,,
Batam,RI,Indonesia,106667.0,,
Buffalo,USA,New York,328175.0,-78.7333,42.9333
Huaiyin,TJ,Jiangsu,239675.0,,
Tonghua,TJ,Jilin,324600.0,,
Kavaratti,IND,Lakshadweep Is.,,72.6,10.6
Liverpool,GB,Merseyside,474000.0,,
Koln,D,Nordrhein Westfalen,963817.0,,
Chichester,GB,West Sussex,102500.0,,
Rangpur,BD,Bangladesh,207000.0,,
Malmo,S,Malmohus,245699.0,13.0,55.3
Vladivostok,R,Primorsky kray,632000.0,131.917,43.1167
Jersey City,USA,New Jersey,228517.0,,
Napoli,I,Campania,1206013.0,14.15,40.5
Kurgan,R,Kurganskaya oblast,363000.0,,
Chinandega,NIC,Nicaragua,101211.0,,
Potenza,I,Basilicata,,15.47,40.4
Hakodate,J,Hokkaido,287691.0,140.7,41.8
Tanta,ET,El Gharbiya,374000.0,,
Daxian,TJ,Sichuan,188101.0,,
Blackpool,GB,Lancashire,153600.0,,
Hanoi,VN,Vietnam,3056146.0,105.867,21.0333
Rio Branco,BR,Acre,228907.0,-67.5,-9.5
Maiduguri,WAN,Nigeria,282000.0,,
Lahti,SF,Haeme,94234.0,25.2,60.5
Lyon,F,Rhone Alpes,415487.0,4.78333,45.7
Bottrop,D,Nordrhein Westfalen,119669.0,,
Enugu,WAN,Nigeria,279000.0,,
Noumea,NCA,New Caledonia,,166.27,-22.16
Cochabamba,BOL,Bolivia,304000.0,-66.0,-17.1
Springfield,USA,Illinois,105417.0,-89.6667,39.8333
Lleida,E,Catalonia,114234.0,,
Izmit,TR,Kocaeli,275800.0,,
Hradec Kralove,CZ,Vychodocesky,164000.0,,
Loikaw,MYA,Kayah,,,
Urumqi,TJ,Xinjiang Uygur,1160000.0,88.0,44.0
Guliston,UZB,Sirdare,,,
Maykop,R,Rep. of Adygeya,165000.0,,
La Laguna,E,Canary Islands,125183.0,,
Rajahmundry,IND,Andhra Pradesh,324881.0,,
Karachi,PK,Pakistan,9863000.0,66.98,24.8
Hakkari,TR,Hakkari,,,
Batna,DZ,Algeria,181601.0,,
Gujrat,PK,Pakistan,155058.0,,
Charjew,TM,Leban,166400.0,,
Orebro,S,Orebro,119635.0,15.0,59.2
Dili,TL,Timor-Leste,59069.0,125.6,-8.6
