city,province,country,river,lake,sea
Omdurman,al Khartum,SUD,Blue Nile,,
Shishou,Hubei,TJ,Jangtse,,
Xai Xai,Gaza,MOC,Limpopo,,Indian Ocean
Matsuyama,Ehime,J,,,Pacific Ocean
Halmstad,Halland,S,,,Kattegat
Brighton,East Sussex,GB,,,The Channel
Jonkoping,Jonkoping,S,,Vaettern,
Barcelona,Catalonia,E,,,Mediterranean Sea
Hualien,Taiwan,RC,,,Pacific Ocean
Besancon,Franche Comte,F,Doubs,,
Olomouc,Severomoravsky,CZ,March,,
Manama,Bahrain,BRN,,,Persian Gulf
Napoli,Campania,I,,,Mediterranean Sea
Rouen,Haute Normandie,F,Seine,,
Brazzaville,Congo,RCB,Zaire,,
Penang,Pulau Pinang,MAL,,,Malakka Strait
Oita,Oita,J,,,Sea of Japan
Yokohama,Kanagawa,J,,,Pacific Ocean
West Island,Cocos Islands,COCO,,,Indian Ocean
Dhaka,Bangladesh,BD,Ganges,,
Charlotte Amalie,Virgin Islands,VIRG,,,Caribbean Sea
Reggio di Calabria,Calabria,I,,,Mediterranean Sea
Vienna,Vienna,A,Donau,,
Vlore,Albania,AL,,,Mediterranean Sea
Moulmein,Mon,MYA,Saluen,,Andaman Sea
Kinshasa,Kinshasa,ZRE,Zaire,,
St. Louis,Missouri,USA,Mississippi,,
Kalmar,Kalmar,S,,,Baltic Sea
Myitkyina,Kachin,MYA,Irawaddy,,
Banda Aceh,Indonesia,RI,,,Andaman Sea
Stamford,Connecticut,USA,,,Atlantic Ocean
Port Sudan,ash Sharqiyah,SUD,,,Red Sea
Nizhniy Novgorod,Nizhegorodskaya oblast,R,Volga,,
Thunder Bay,Ontario,CDN,,Lake Superior,
Oran,Algeria,DZ,,,Mediterranean Sea
Banjarmasin,Indonesia,RI,,,Sunda Sea
Shashi,Hubei,TJ,Jangtse,,
Weihai,Shandong,TJ,,,Yellow Sea
Okayama,Okayama,J,,,Pacific Ocean
Pusan,South Korea,ROK,,,Sea of Japan
Sagaing,Sagaing,MYA,Irawaddy,,
Port Moresby,Papua New Guinea,PNG,,,Pacific Ocean
Vadsoe,Finnmark,N,,,Barents Sea
Mombasa,Coast,EAK,,,Indian Ocean
Florianopolis,Santa Catarina,BR,,,Atlantic Ocean
Angarsk,Irkutskaya oblast,R,Angara,,
Livorno,Toscana,I,,,Mediterranean Sea
Beni Suef,Beni Suef,ET,Nile,,
Erzurum,Erzurum,TR,Karasu,,
Cherkasy,Cherkaska,UA,Dnepr,,
Ambon,Indonesia,RI,,,Sunda Sea
Cartagena,Murcia,E,,,Mediterranean Sea
Ciudad Madero,Tamaulipas,MEX,,,Gulf of Mexico
Rawson,Chubut,RA,,,Atlantic Ocean
Springfield,Massachusetts,USA,Connecticut River,,
Concord,New Hampshire,USA,Merrimack River,,
Gauhati,Assam,IND,Brahmaputra,,
Le Havre,Haute Normandie,F,Seine,,The Channel
