country,population_growth,infant_mortality
GR,0.42,7.4
KOS,,
PK,2.24,96.8
PAL,1.71,25.07
ER,2.79,118.9
BD,1.85,102.3
S,0.56,4.5
N,0.48,4.9
TJ,0.98,39.6
CAM,2.89,78.7
CI,2.92,82.4
C,0.44,9.0
ETH,2.72,122.8
IND,1.64,71.1
LAO,2.81,96.8
WAG,3.55,80.5
BI,1.54,102.2
GNB,2.35,115.8
MS,1.23,17.2
RO,-1.21,23.2
KWT,6.65,11.1
ARU,1.478,13.79
MYA,1.84,80.7
WAN,3.05,72.4
LV,-1.39,21.2
TT,0.08,18.2
CAYM,2.39,6.94
RG,1.85,134.1
HCA,2.6,41.8
RMM,2.95,102.7
SVAX,-0.02,
TUCA,2.56,13.89
WD,0.38,9.6
BVIR,1.84,14.65
LT,-0.35,17.0
NEP,2.45,79.0
SA,3.45,46.4
M,1.01,6.9
MW,1.71,139.9
SYR,3.37,40.0
UA,-0.4,22.5
RCA,2.08,111.7
TR,1.67,43.2
CO,1.66,25.8
PNG,2.29,60.1
BRN,2.27,17.1
MAYO,3.32,56.29
AFG,4.78,149.7
DK,0.38,4.8
