desert,country,province
Erg Rebiana,LAR,Libya
Kalahari,ANG,Moxico
Rigestan,PK,Pakistan
Syrian Desert,SA,Saudi Arabia
Kalahari,ANG,Cuando Cubango
Kum Tagh,TJ,Xinjiang Uygur
Ordos,TJ,Shaanxi
Colorado Plateau,USA,Utah
Chihuahua,USA,Arizona
Karakum,TM,Balkan
Red Centre,AUS,Western Australia
Rub Al Chali,UAE,Umm al Qaywayn
Djourab,TCH,Chad
Gobi,TJ,Gansu
Dascht-e-Lut,IR,Yazd
Libyan Desert,LAR,Libya
Libyan Desert,ET,El Wadi el Jadid
Syrian Desert,IRQ,Al Anbar
Mojave,USA,Arizona
Rub Al Chali,UAE,Abu Dhabi
Fesan,LAR,Libya
Syrian Desert,JOR,Jordan
Mujunkum,KAZ,Qyzylorda
Ryn,KAZ,Atyrau
Kalahari,Z,Western
Gibson Desert,AUS,Western Australia
Nullarbor Plain,AUS,Western Australia
Erdi Ennedi,TCH,Chad
Great Basin,USA,Nevada
Syrian Desert,SYR,Syria
Mojave,USA,Utah
Ust Urt,KAZ,Aqtobe
Sonora,MEX,Chihuahua
Dascht-e-Kavir,IR,Semnan
Trarza,RIM,Mauritania
Owyhee,USA,Idaho
Great Victoria Desert,AUS,Western Australia
Erg Isaouane,DZ,Algeria
Namib,NAM,Namibia
Thar,IND,Rajasthan
Erg Igidi,RIM,Mauritania
Rub Al Chali,UAE,Dubayy
Tanami,AUS,Northern Territory
Karakum,TM,Ahal
Thar,IND,Punjab
Kalahari,RB,Botswana
Kysylkum,UZB,Qaraqalpoghiston
Gobi,TJ,Ningxia Huizu
Libyan Desert,ET,El Giza
Tanezrouft,DZ,Algeria
Gobi,TJ,Nei Monggol
Sturt Desert,AUS,Queensland
Negev,IL,South
Owyhee,USA,Nevada
Great Sandy Desert,AUS,Western Australia
Mojave,USA,Nevada
Owyhee,USA,Oregon
TaklaMakan,TJ,Xinjiang Uygur
Atacama,RCH,Chile
Gobi,MNG,Mongolia
Ferlo,SN,Louga
Kalahari,RSA,North West
Simpson Desert,AUS,Northern Territory
Ryn,R,Rep. of Kalmykiya
Hamada du Draa,MA,Morocco
