river,country,province
Yukon River,USA,Alaska
Western Morava,SRB,Serbia
Ticino,I,Lombardia
Kolyma,R,Rep. of Sakha
Tigris,IRQ,Al Anbar
Pjandsh,AFG,Afghanistan
Tennessee,USA,Kentucky
Oesterdalaelv,S,Dalarna
Luvua,ZRE,Shaba/Katanga
Mosel,D,Rheinland Pfalz
Don,R,Rostovskaya oblast
Jubba,SP,Somalia
Arkansas,USA,Arkansas
Semliki,ZRE,Haut Zaire
Lulua,ZRE,Kasai Occidental
Ohio River,USA,Illinois
Ohio River,USA,Kentucky
Murray River,AUS,South Australia
Nile,ET,El Daqahliya
Manicouagan,CDN,Quebec
Umeaelv,S,Vasterbotten
Theiss,SRB,Serbia
Argun,TJ,Heilongjiang
Rio Madeira,BR,Amazonas
Bahr el-Ghasal,SUD,Aali an Nil
Lukenie,ZRE,Bandundu
Schari,TCH,Chad
