country,organization,type
THA,UN,member
BDS,WIPO,member
NAU,WHO,member
KWT,IFC,member
SY,IFRCS,member
THA,ASEAN,member
SF,Interpol,member
CZ,NSG,member
WAG,Interpol,member
GH,WFTU,member
JA,ILO,member
DOM,G-11,member
IRL,UNPREDEP,member
WAN,Interpol,member
COM,IDA,Part II
S,G-9,member
RP,Intelsat,member
YE,AL,member
NZ,IFRCS,member
H,WHO,member
RO,IOC,National Olympic Committee
THA,Interpol,member
RP,IDA,Part II
NZ,WIPO,member
WAG,WToO,member
DJI,UPU,member
GH,UNIKOM,member
CH,EBRD,member
AG,WHO,member
PL,ITU,member
D,PCA,member
MW,IFC,member
ZW,ICAO,member
TAD,ESCAP,member
YV,IBRD,member
RH,IOC,National Olympic Committee
R,MTCR,member
P,PCA,member
E,WHO,member
GCA,UNESCO,member
RG,IFC,member
SME,UNMIH,member
DOM,WMO,member
B,ACCT,member
DK,ISO,member
ROU,IAEA,member
SLB,IBRD,member
WG,LAES,member
MW,UPU,member
RSM,IOM,observer
JOR,IOM,observer
H,WMO,member
MART,WCL,member
RMM,WToO,member
P,ECLAC,member
SRB,CEI,associate member
ROK,WHO,member
I,ECLAC,member
LT,BIS,member
B,AG,observer
IND,ICC,member
KN,WCL,member
RA,IMF,member
R,ZC,member
AL,EBRD,member
RSA,ITU,member
USA,WHO,member
PL,ICAO,member
PK,IDA,Part II
CI,ICAO,member
K,ESCAP,member
MAL,AsDB,regional member
HCA,WMO,member
GB,UNIKOM,member
RH,WCL,member
PY,WCL,member
GNB,FAO,member
CDN,ANC,member
AG,G-77,member
BRU,FAO,member
MOC,WFTU,member
WAN,OAU,member
S,UNIDO,member
PNG,C,member
GB,IAEA,member
SLB,IFC,member
BI,IFRCS,member
DOM,WCL,member
