name,mountains,height,type,longitude,latitude
Grosser Arber,Bayrischer Wald,1456.0,,13.0,49.1
Mt Columbia,Rocky Mountains,3747.0,,-117.44,52.15
Coropuna,Cordillera Volcanica,6425.0,volcano,-72.65,-15.5
Moldoveanu,Karpaten,2544.0,,24.7,45.6
Annapurna,Himalaya,8091.0,,83.8,28.6
Queen Marys Peak,,2060.0,volcano,-12.3,-37.1
Matterhorn,Alps,4478.0,,7.56,46.0
Ben Nevis,Grampians,1344.0,,-5.0,56.8
Haleakala,Hawaii,3055.0,volcano,-156.25,20.7
Mt. Bogong,Snowy Mountains,1986.0,,147.5,-37.0
Jezerce,Balkan,2694.0,,19.4,42.3
Kanlaon,,2435.0,volcano,123.1,10.4
Crap_Sogn_Gion,Alps,2228.0,,9.2,46.85
Nanda Devi,Himalaya,7816.0,,80.0,30.4
Puy De Dome,Cevennes,1465.0,volcanic,3.0,45.8
Mt. Wilhelm,,4509.0,,145.0,-5.8
Krakatau,,813.0,volcano,105.4,-6.1
Jabal Shuayb,,3760.0,,44.0,15.5
Boundary Peak,Sierra Nevada California,4006.0,,-118.3,37.9
Mont Orohena,,2241.0,volcanic,-149.5,-17.6
Blue Mountain Peak,,2256.0,,-76.4,18.1
Musala,Balkan,2925.0,,23.6,42.2
Torre de Cerredo,Cordillera Cantabrica,2648.0,,4.85,43.2
Ras Daschan Terara,Amhara,4533.0,volcanic,38.4,13.2
