island,sea,lake,river
Okinawa,East China Sea,,
Honshu,Sea of Japan,,
Basse-Terre,Atlantic Ocean,,
Nevis,Atlantic Ocean,,
Saint Lucia,Atlantic Ocean,,
Mindoro,South China Sea,,
Panay,Sulawesi Sea,,
Barbados,Atlantic Ocean,,
Gomera,Atlantic Ocean,,
Batam,South China Sea,,
Aust-Vagoey,Norwegian Sea,,
Sulawesi,Sulawesi Sea,,
Lombok,Sunda Sea,,
Hokkaido,Sea of Okhotsk,,
Sri Lanka,Gulf of Bengal,,
Saint Thomas,Atlantic Ocean,,
Manitoulin,,Lake Huron,
Seeland,Baltic Sea,,
Fehmarn,North Sea,,
Cuba,Caribbean Sea,,
Lanai,Pacific Ocean,,
Guam,Pacific Ocean,,
Ikaria,Mediterranean Sea,,
Ameland,North Sea,,
Borneo,Sunda Sea,,
Fongafale,Pacific Ocean,,
San Clemente Island,Pacific Ocean,,
Spiekeroog,North Sea,,
Terschelling,North Sea,,
Ellesmere Island,Arctic Ocean,,
Schiermonnikoog,North Sea,,
Great Britain,The Channel,,
Sri Lanka,Indian Ocean,,
Linosa,Mediterranean Sea,,
Fuenen,Baltic Sea,,
Montserrat,Atlantic Ocean,,
Falster,Baltic Sea,,
Menorca,Mediterranean Sea,,
Little Cayman,Caribbean Sea,,
Streymoy,Norwegian Sea,,
Rhodos,Mediterranean Sea,,
Singapore,South China Sea,,
North Caicos,Atlantic Ocean,,
Niihau,Pacific Ocean,,
Gheschm,Arabian Sea,,
Sachalin,Sea of Japan,,
Tristan Da Cunha,Atlantic Ocean,,
Hoy,North Sea,,
Rhum,Atlantic Ocean,,
Ambon,Sunda Sea,,
Okinawa,Pacific Ocean,,
Kyushu,Sea of Japan,,
Kavaratti,Arabian Sea,,
South Andaman Island,Andaman Sea,,
Jamaica,Caribbean Sea,,
Sylt,North Sea,,
Victoria Island,Arctic Ocean,,
Tongatapu,Pacific Ocean,,
Futuna,Pacific Ocean,,
Sicilia,Mediterranean Sea,,
Gran Canaria,Atlantic Ocean,,
St. Martin,Atlantic Ocean,,
Iceland,Norwegian Sea,,
Texel,North Sea,,
East Falkland,Atlantic Ocean,,
Samosir,,Lake Toba,
