mountain,country,province
Mt Mitchell,USA,North Carolina
Thabana Ntlenyana,LS,Lesotho
Harney Peak,USA,South Dakota
Tahan,MAL,Pahang
Mulhacen,E,Andalusia
Piz Bernina,I,Lombardia
Barbeau Peak,CDN,Northwest Territories
Illimani,BOL,Bolivia
Cerro de Punta,PR,Puerto Rico
Pik Lenina,KGZ,Kyrgyzstan
Monte Rosa,CH,VS
Mt. Bogong,AUS,Victoria
Ausangate,PE,Cuzco
Mantalingajan,RP,Philippines
Mt Columbia,CDN,British Columbia
Pik Lenina,TAD,Badakhshoni Kuni
Pik Pobeda,TJ,Xinjiang Uygur
Fujisan,J,Shizuoka
Pico de Sao Tome,STP,Sao Tome and Principe
Mt. Cook,NZ,New Zealand
Jezerce,AL,Albania
Nevado del Ruiz,CO,Choco
Soufriere,WV,Saint Vincent and the Grenadines
Crap_Sogn_Gion,CH,GR
Olympos,CY,Cyprus
Clingmans Dome,USA,Tennessee
Haleakala,USA,Hawaii
Grosser Arber,D,Bayern
Kljutschewskaja Sopka,R,Kamchatskaya oblast
Pico de los Nieves,E,Canary Islands
Popocatepetl,MEX,Puebla
Popocatepetl,MEX,Morelos
Mt Blackburn,USA,Alaska
Gasherbrum I,PK,Pakistan
Tahat,DZ,Algeria
Piz Bernina,CH,GR
Cotopaxi,EC,Ecuador
Mt. Kosciuszko,AUS,New South Wales
Uluru,AUS,Northern Territory
Piton de la Fournaise,REUN,Reunion
Ruwenzori,ZRE,Kivu
Damavand,IR,Mazandaran
Fako,CAM,Sudoueste
Monte Rosa,I,Lombardia
Mont Orohena,FPOL,French Polynesia
Pik Kommunizma,TAD,Badakhshoni Kuni
Mt Adams,USA,Washington
Mt McKinley,USA,Alaska
Ojos del Salado,RA,Tucuman
Irazu,CR,Cartago
Kinabalu,MAL,Sabah
Semeru,RI,Indonesia
Coropuna,PE,Arequipa
Ojos del Salado,RCH,Chile
Hotaka-Dake,J,Nagano
Changbai Shan,NOK,North Korea
Mt Redoubt,USA,Alaska
Lhotse,TJ,Tibet
Demirkazik,TR,Nigde
Mt Whitney,USA,California
Popomanaseu,SLB,Solomon Islands
Tubkhal,MA,Morocco
