city,province,country,river,lake,sea
Устный,Баты-казакстан,KAZ,Урал,,
Омдурман,Аль-Хартум,СУД,Синий Нил,,
Итаджай,Санта-Катарина,КР,,,Атлантический океан
Монтевидео,Уругвай,Ру,,,Атлантический океан
Фестиваль молотка,Финнмарк,Н,,,Море Баренцев
Буэнос-Айрес,Федеральный департамент,РЭ,Парана,,
Аль-Хиллах,Бабиль,ИРК,Евфрат,,
Бари,Пульья,I,,,Средиземное море
Санто-Доминго,Доминиканская Республика,ДОМ,,,Карибское море
Эль-Ариш,Сина пепел Шамалия,ЕТ,,,Средиземное море
Таллинн,Литва,ЭВ,,,Балтийское море
Сианнинг,Хабэй,ТДж,Янгце,,
Кил,Шлезвиг Гольштейн,D,,,Балтийское море
Аарау,АГ,CH,Aare,,
Ресифи,Пернамбуко,КР,,,Атлантический океан
Хуангши,Хабэй,ТДж,Янгце,,
Бома,Бас Заир,ЗРЕ,Заир,,
Хониара,Соломоновы Острова,SLB,,,Тихоокеанский океан
Аллахабад,Уттар-Прадеш,СИН,Габариты,,
Турку,Турку-Пори,SF,,,Балтийское море
Варанаси,Уттар-Прадеш,СИН,Габариты,,
Эдмонтон,Альберта,КН,Саскачеванская река,,
Галати,Галати,RO,Донау,,
Бандунду,Бандунду,ЗРЕ,Касаи,,
Астрахан,Астраханская область,Р,Волга,,
Ноксвилль,Теннесси,США,Теннесси,,
Бриджтаун,Барбадос,УРБ,,,Атлантический океан
Кингстон,Чили,ДЖА,,,Карибское море
Такамацу,Кагава,J,,,Тихоокеанский океан
&lt; &lt; Ласпезия &gt; &gt;,Лигурия,I,,,Средиземное море
Барранкабермеджа,Сантандер-дель-Сур,CO,Рио Магдалена,,
Вроклоу,Вроклавский,PL,Одер,,
Наталь,&lt; &lt; Рио Гранде до Норте &gt; &gt;,КР,,,Атлантический океан
Канзас-Сити,Канзас,США,Миссури,,
Сетубаль,Сетубаль,Р,,,Атлантический океан
Дивания,Аль-Кадисия,ИРК,Евфрат,,
Порт Блэр,Андаман и Никобар тоже.,СИН,,,Бенгальский залив
Нантонг,Цзянсу,ТДж,Янгце,,
Кызыл,Репозиция Тивы,Р,Джениссдж,,
Виктория,Британская Колумбия,КН,,,Тихоокеанский океан
Эспоо,Уусимаа,SF,,,Балтийское море
Джинан,Шаньдун,ТДж,Хванхо,,
Калуга,Калужская область,Р,Хорошо.,,
Шарджа,Эш Шарика,ОАЭ,,,Персидский залив
Оран,Алжир,DZ,,,Средиземное море
Оффенбах - главный,Гессен,D,Главное,,
Лозанна,VD,CH,,Лак Леман,
Мапуту,Мапуту (муниципалитет),МПК,,,Индийский океан
Малакал,Aali a Nil,СУД,Белый Нил,,
Икитос,Лорето,ПЭ,Амазонки,,
Палермо,Сицилия,I,,,Средиземное море
Вад Мадани,Нил аль-Асрак,СУД,Синий Нил,,
Гаухати,Ассам,СИН,Брахмапутра,,
Братск,Иркутская область,Р,Ангара,,
Эль-Уксур,Кена,ЕТ,Нил,,
Уругайана,Рио-Гранди-ду-Сул,КР,Уругвай,,
Сент-Луис,Миссури,США,Миссури,,
