name,mountains,height,type,longitude,latitude
Псилорит,Крит,2456.0,,24.7,35.2
Пико Кристобал Колон,Сьерра-Невада-де-Санта-Марта,5775.0,,-73.7,10.85
Тирих Мир,Гиндукуш,7690.0,,71.8,36.25
Бабушка Сассо,Апеннин,2912.0,,13.55,42.5
Олимпос,Троодос,1952.0,,32.85,34.9
Касбек,Каукасус,5033.0,вулканическое,44.31,42.42
Гора Эверест,Гималаи,8848.0,,86.9,28.0
Кораб,Балканские острова,2751.0,,20.3,41.4
Гунунг Бинайя,,3027.0,,129.3,-3.1
Дхаулагири,Гималаи,8167.0,,83.5,28.7
Виктория,,1323.0,вулканическое,178.0,-17.8
Пико Руиво,Мадейра,1861.0,вулканическое,-16.0,31.0
Карисимби,Восточноафриканский хребет,4507.0,вулкан,29.45,-1.5
Кинабалу,,4101.0,Гранит,116.5,6.1
Мт Колумбия,Скалистые горы,3747.0,,-117.44,52.15
Торр де Эстрела,Центральный Кордильера,1993.0,,-7.6,40.3
Мт МакКинли,Диапазон Аляски,6193.0,,-151.0,63.1
Канлаон,,2435.0,вулкан,123.1,10.4
Финстераархорн,Альпы,4274.0,,8.1,46.5
Монте Роза,Альпы,4634.0,,7.9,45.9
Концепция,,1700.0,вулкан,-85.6,11.5
Фельдберг,Шварцвальд,1493.0,,7.5,47.5
Piton de la Fournaise,,2631.0,вулкан,55.7,-21.2
Пик Чан-Тенгри,Тянь Шан,6995.0,,80.0,43.0
Leuser,,3466.0,вулканическое,98.0,3.0
Зард Кух,Загрос,4550.0,,50.1,32.35
Канчендзонга,Гималаи,8586.0,,88.1,27.7
Oraefajokull,,2110.0,вулкан,64.0,16.39
Пик Победа,Тянь Шан,7439.0,,80.1,42.0
Пик Москва,Памир,6785.0,,71.5,39.0
Монкайо,Кордильера Иберика,2313.0,,1.85,41.8
Мантальингаджан,,2085.0,вулканическое,118.4,9.7
Фого,Кабо-Верде,2829.0,вулкан,-24.4,14.95
Пуи-де-Коме,Севенны,1465.0,вулканическое,3.0,45.8
Глетертинд,,2452.0,,8.1,61.4
М. Кук,Новозеландские Альпы,3754.0,,170.2,-43.6
Pico de los Nieves,Канарские острова,1949.0,вулкан,-15.6,25.95
Джабель Любнан,Ливан,3088.0,,36.1,34.3
Снэфелл,,1833.0,вулканическое,-15.2,64.5
Барбо Пик,Британская империя,2616.0,,-75.0,81.9
Ганнетт Пик,Скалистые горы,4207.0,,-110.0,43.2
Мавензи,Восточноафриканский хребет,5148.0,вулкан,37.45,-3.1
Демирказик,Таурус,3756.0,,35.2,37.8
Арарат,Курдистан,5165.0,вулканическое,44.3,39.7
Кэткин Пик,Дракенсберг,3181.0,,29.35,-29.1
Шникоппе,Судьбы,1602.0,,15.7,50.7
Макалу,Гималаи,8485.0,,87.1,27.9
Руапеху,,2797.0,вулкан,175.6,-39.3
Пик Револузия,Памир,6974.0,,72.2,38.3
Саджама,Анды,6542.0,вулкан,-68.9,-18.1
Котопакси,Анды,5897.0,вулкан,-78.4,-0.7
Герлаховский Стит,Бескиды,2655.0,,20.1,49.2
Пик Хамфриса,Скалистые горы,3850.0,вулканическое,-111.65,35.3
Г-н Бабель,,952.0,,-68.7,51.45
Альпамайо,Кордильера Бланка,5947.0,,-77.7,-8.9
Пико Туркино,Сьерра-Маестра,1974.0,,-76.8,20.0
Монблан,Альпы,4808.0,,6.8,45.8
Монт-Орохена,,2241.0,вулканическое,-149.5,-17.6
Эльбрус,Каукасус,5642.0,вулканическое,42.26,43.21
Сулитжелма,,1914.0,,16.2,67.1
Додабетта,Западные Гаты,2636.0,,76.7,11.4
Королева Марис Пик,,2060.0,вулкан,-12.3,-37.1
Мусала,Балканские острова,2925.0,,23.6,42.2
Мерапи,,2914.0,вулкан,110.4,-7.5
Gasherbrum II,Каракорум,8034.0,,76.65,35.75
Борах Пик,Скалистые горы,3859.0,,-113.8,44.1
Tarrekaise,,1850.0,,17.3,67.0
Мт Логан,Диапазон Элайаса,5959.0,,-140.4,60.6
Lhotsse,Гималаи,8516.0,,86.9,28.0
Олимп,,2917.0,,22.35,40.1
