name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Днепр,,,Черное море,2201.0,34.0,55.5,Уолдай-Хиллз,220.0,32.252,46.5257
Паатшоки,,,Море Баренцев,145.0,28.3,68.95,,119.0,30.05,60.75
Амазонки,,,Атлантический океан,6448.0,-71.7,-15.5,Анды,5170.0,-50.0,0.0
Лена,,,Сибирианское море,4400.0,107.88,53.99,,1465.0,126.692,72.4005
Джубба,,,Индийский океан,1658.0,,,,,42.7,-0.5
Гвадалкивир,,,Атлантический океан,657.0,-3.0,37.8,Кордильера Бетика,1400.0,-6.35,36.8
Тигр,&lt; &lt; Шатт аль-Араб &gt; &gt;,,,1900.0,41.0,38.3,Антитавр,,47.44,31.0
Реус,Aare,Vierwaldstattersee,,164.0,8.54,46.56,Альпы,2431.0,8.2371,47.4921
Донау,,,Черное море,2845.0,8.52,47.95,Черный лес,686.0,29.65,45.16
Марн,Сена,,,514.0,5.35,47.8,,406.0,2.4,48.8
Мёр,Драу,,,453.0,13.35,47.13,Альпы,1898.0,16.88,46.3
Ривер Огайо,Миссисипи,,,1579.0,-80.0,40.42,,222.0,-89.13,36.98
Синий Нил,Нил,,,1783.0,37.3,12.0,Эфиопские горы,1830.0,32.5,15.6
Заир,,,Атлантический океан,4374.0,25.2,0.5,,,12.0,-6.0
Иордания,,Мертвое море,,251.0,35.7,33.7,Джабель Любнан,,35.5,31.3
Руки,Заир,,,130.0,19.0,-0.3,,,18.0,0.0
Луар,,,Атлантический океан,1013.0,4.22,44.84,Севенны,1408.0,-2.18,47.27
Река Грузовик,,Пирамидское озеро,,225.0,-120.0,39.0,,1900.0,-119.43,39.85
Янгце,,,Восточно-Китайское море,6380.0,91.2,33.5,,5405.0,121.5,32.0
Габариты,,,Бенгальский залив,2511.0,79.5,30.5,,,90.0,22.0
Ориноко,,,Атлантический океан,2140.0,-63.5,2.0,Сьерра-Парима,,-62.0,9.0
Арувими,Заир,,,1287.0,14.7,-11.3,,,29.5,2.5
Бусира,Руки,,,830.0,20.8,-0.2,,,19.0,-0.3
