city,province,country,island
Стратфорд на Эйвоне,Уорвикшир,ГБ,Великобритании
Рошдейл,Большой Манчестер,ГБ,Великобритании
Кита Кюсю,Фукуока,J,Кюсю
Копенгаген,Дания,ДК,Площадь
Вулверхэмптон,Западные Мидленды,ГБ,Великобритании
Валлетта,Мальта,М,Мальта
Ньюарк на Тренте,Ноттингемшир,ГБ,Великобритании
Плангакарайя,Индонезия,РИ,Борнео
Бликр,Индонезия,РИ,Ява
Тсу,Мие,J,Хонсю
Стерлинг,Центральный,ГБ,Великобритании
Феншан,Тайвань,КР,Тайвань
Хаверфорд-запад,Пемброкшир,ГБ,Великобритании
Сага,Сага,J,Кюсю
Паликир,Микронезия,ФШМ,Понапе
Брайтон,Восточный Сассекс,ГБ,Великобритании
Киркли,Западный Йоркшир,ГБ,Великобритании
Агана,Гуам,ГУАМ,Гуам
Оксфорд,Оксфордшир,ГБ,Великобритании
Сэндвелл,Западные Мидленды,ГБ,Великобритании
Манчестер,Большой Манчестер,ГБ,Великобритании
Стой на Тренте,Стаффордшир,ГБ,Великобритании
Бастер,Сент-Китс и Невис,KN,Сент-Китс
Повторить,Суррей,ГБ,Великобритании
Палермо,Сицилия,I,Сицилия
Маланг,Индонезия,РИ,Ява
Пингтунг,Тайвань,КР,Тайвань
Абэристит,Цередигация,ГБ,Великобритании
Горонтало,Индонезия,РИ,Сулавеси
Порт-Вила,Вануату,БУ,Эфат
Довер,Кент,ГБ,Великобритании
Юнго,Тайвань,КР,Тайвань
Саттон в Эшфилде,Дербишир,ГБ,Великобритании
Сент-Джордж,Гренада,РГ,Гренада
Бандар Сери Бегаван,Бруней,БРУ,Борнео
